Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Краски для OSB», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;200;0,0000025;
февраль 2018;211;0,0000027;
март 2018;291;0,0000034;
апрель 2018;626;0,0000082;
май 2018;1 025;0,0000136;
июнь 2018;1 242;0,0000179;
июль 2018;1 513;0,0000216;
август 2018;1 892;0,0000268;
сентябрь 2018;1 636;0,0000206;
октябрь 2018;986;0,0000106;
ноябрь 2018;495;0,0000058;
декабрь 2018;351;0,0000041;
январь 2019;403;0,0000045;
февраль 2019;432;0,0000051;
март 2019;675;0,0000076;
апрель 2019;1 050;0,0000127;
май 2019;1 734;0,0000219;
июнь 2019;1 643;0,0000226;
июль 2019;1 855;0,0000252;
август 2019;1 865;0,0000256;
сентябрь 2019;1 409;0,0000179;
октябрь 2019;905;0,0000102;
ноябрь 2019;549;0,0000061;
декабрь 2019;439;0,0000047;
январь 2020;479;0,0000049;
февраль 2020;638;0,0000069;
март 2020;916;0,0000093;
апрель 2020;1 530;0,0000128;
май 2020;2 730;0,0000254;
июнь 2020;2 572;0,0000288;
июль 2020;2 646;0,0000314;
август 2020;2 743;0,0000327;
сентябрь 2020;2 147;0,0000226;
октябрь 2020;1 396;0,0000129;
ноябрь 2020;822;0,0000071;
декабрь 2020;538;0,0000048;
январь 2021;577;0,0000055;
февраль 2021;516;0,0000051;
март 2021;975;0,0000089;
апрель 2021;1 497;0,0000138;
май 2021;2 065;0,0000200;
июнь 2021;2 101;0,0000211;
июль 2021;2 066;0,0000212;
август 2021;2 370;0,0000236;
сентябрь 2021;1 886;0,0000176;
октябрь 2021;1 409;0,0000123;
ноябрь 2021;938;0,0000080;
декабрь 2021;526;0,0000044;
январь 2022;655;0,0000054;
февраль 2022;782;0,0000066;
март 2022;1 705;0,0000133;
апрель 2022;2 205;0,0000184;
май 2022;3 073;0,0000257;
июнь 2022;3 684;0,0000343;
июль 2022;4 050;0,0000388;
август 2022;4 253;0,0000394;
сентябрь 2022;2 692;0,0000230;
октябрь 2022;2 049;0,0000165;
ноябрь 2022;1 094;0,0000086;
декабрь 2022;702;0,0000055;
январь 2023;817;0,0000066;
февраль 2023;1 111;0,0000097;
март 2023;1 625;0,0000130;
апрель 2023;3 409;0,0000295;
май 2023;3 327;0,0000294;
июнь 2023;4 052;0,0000395;
июль 2023;4 080;0,0000404;
август 2023;3 877;0,0000385;
сентябрь 2023;3 323;0,0000308;
октябрь 2023;2 113;0,0000177;
ноябрь 2023;1 364;0,0000116;
декабрь 2023;845;0,0000070;
январь 2024;945;0,0000078;
февраль 2024;1 121;0,0000099;
март 2024;1 466;0,0000127;
апрель 2024;2 384;0,0000219;
май 2024;2 905;0,0000272;
июнь 2024;2 899;0,0000310;
июль 2024;3 716;0,0000399;
август 2024;3 211;0,0000343;
сентябрь 2024;3 040;0,0000306;
октябрь 2024;1 997;0,0000177;
ноябрь 2024;1 199;0,0000103;
декабрь 2024;806;0,0000067;
январь 2025;974;0,0000082;
февраль 2025;1 036;0,0000090;
март 2025;1 525;0,0000127;
апрель 2025;2 295;0,0000201;
май 2025;2 737;0,0000256;
июнь 2025;3 292;0,0000311;
