Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Фанера», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;701 785;0,0090;
февраль 2018;706 315;0,0091;
март 2018;770 125;0,0091;
апрель 2018;714 064;0,0094;
май 2018;697 367;0,0092;
июнь 2018;670 428;0,0096;
июль 2018;689 424;0,0098;
август 2018;710 883;0,0100;
сентябрь 2018;725 647;0,0091;
октябрь 2018;842 449;0,0091;
ноябрь 2018;802 207;0,0094;
декабрь 2018;733 008;0,0085;
январь 2019;755 742;0,0085;
февраль 2019;771 474;0,0091;
март 2019;827 731;0,0094;
апрель 2019;781 472;0,0094;
май 2019;703 110;0,0088;
июнь 2019;652 062;0,0089;
июль 2019;708 059;0,0096;
август 2019;666 607;0,0091;
сентябрь 2019;705 513;0,0089;
октябрь 2019;818 108;0,0092;
ноябрь 2019;820 888;0,0092;
декабрь 2019;845 441;0,0091;
январь 2020;875 867;0,0090;
февраль 2020;874 550;0,0095;
март 2020;810 418;0,0082;
апрель 2020;831 092;0,0069;
май 2020;934 062;0,0087;
июнь 2020;840 016;0,0094;
июль 2020;793 324;0,0094;
август 2020;764 713;0,0091;
сентябрь 2020;799 003;0,0084;
октябрь 2020;872 718;0,0081;
ноябрь 2020;964 402;0,0084;
декабрь 2020;912 545;0,0082;
январь 2021;842 623;0,0080;
февраль 2021;848 950;0,0084;
март 2021;947 543;0,0087;
апрель 2021;1 008 102;0,0093;
май 2021;965 981;0,0093;
июнь 2021;1 038 257;0,0104;
июль 2021;956 299;0,0098;
август 2021;946 958;0,0094;
сентябрь 2021;945 148;0,0088;
октябрь 2021;900 592;0,0079;
ноябрь 2021;962 353;0,0083;
декабрь 2021;906 743;0,0076;
январь 2022;891 477;0,0074;
февраль 2022;861 571;0,0072;
март 2022;943 688;0,0074;
апрель 2022;933 012;0,0078;
май 2022;921 169;0,0077;
июнь 2022;858 799;0,0080;
июль 2022;826 421;0,0079;
август 2022;840 145;0,0077;
сентябрь 2022;788 090;0,0067;
октябрь 2022;803 644;0,0064;
ноябрь 2022;908 286;0,0071;
декабрь 2022;798 308;0,0063;
январь 2023;808 125;0,0065;
февраль 2023;830 894;0,0072;
март 2023;922 838;0,0074;
апрель 2023;849 352;0,0073;
май 2023;864 847;0,0076;
июнь 2023;801 318;0,0078;
июль 2023;791 373;0,0078;
август 2023;769 124;0,0076;
сентябрь 2023;806 805;0,0075;
октябрь 2023;907 937;0,0076;
ноябрь 2023;887 736;0,0075;
декабрь 2023;771 829;0,0064;
январь 2024;767 584;0,0063;
февраль 2024;803 182;0,0071;
март 2024;828 881;0,0071;
апрель 2024;822 797;0,0075;
май 2024;797 366;0,0074;
июнь 2024;698 424;0,0074;
июль 2024;720 300;0,0077;
август 2024;696 487;0,0074;
сентябрь 2024;703 057;0,0070;
октябрь 2024;807 089;0,0071;
ноябрь 2024;861 583;0,0074;
декабрь 2024;792 341;0,0066;
январь 2025;811 028;0,0068;
февраль 2025;835 984;0,0073;
март 2025;856 153;0,0071;
апрель 2025;836 437;0,0073;
май 2025;772 957;0,0072;
июнь 2025;812 750;0,0076;
