Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Горелки газовые», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;156 885;0,0020;
февраль 2018;153 595;0,0019;
март 2018;154 442;0,0018;
апрель 2018;126 239;0,0016;
май 2018;129 221;0,0017;
июнь 2018;125 965;0,0018;
июль 2018;139 056;0,0019;
август 2018;159 786;0,0022;
сентябрь 2018;157 062;0,0019;
октябрь 2018;193 020;0,0020;
ноябрь 2018;190 896;0,0022;
декабрь 2018;181 006;0,0021;
январь 2019;172 917;0,0019;
февраль 2019;159 556;0,0019;
март 2019;148 951;0,0016;
апрель 2019;139 222;0,0016;
май 2019;129 361;0,0016;
июнь 2019;128 418;0,0017;
июль 2019;145 314;0,0019;
август 2019;146 322;0,0020;
сентябрь 2019;157 570;0,0020;
октябрь 2019;177 898;0,0020;
ноябрь 2019;192 223;0,0021;
декабрь 2019;177 852;0,0019;
январь 2020;167 980;0,0017;
февраль 2020;170 987;0,0018;
март 2020;154 948;0,0015;
апрель 2020;154 271;0,0012;
май 2020;182 611;0,0017;
июнь 2020;187 981;0,0021;
июль 2020;183 163;0,0021;
август 2020;180 742;0,0021;
сентябрь 2020;191 676;0,0020;
октябрь 2020;215 455;0,0020;
ноябрь 2020;242 689;0,0021;
декабрь 2020;247 055;0,0022;
январь 2021;234 767;0,0022;
февраль 2021;238 000;0,0023;
март 2021;216 614;0,0019;
апрель 2021;202 575;0,0018;
май 2021;188 981;0,0018;
июнь 2021;195 621;0,0019;
июль 2021;210 106;0,0021;
август 2021;254 933;0,0025;
сентябрь 2021;250 510;0,0023;
октябрь 2021;242 694;0,0021;
ноябрь 2021;255 107;0,0022;
декабрь 2021;272 948;0,0023;
январь 2022;242 313;0,0020;
февраль 2022;199 178;0,0016;
март 2022;221 128;0,0017;
апрель 2022;213 678;0,0017;
май 2022;222 204;0,0018;
июнь 2022;212 231;0,0019;
июль 2022;215 544;0,0020;
август 2022;218 887;0,0020;
сентябрь 2022;244 373;0,0020;
октябрь 2022;292 778;0,0023;
ноябрь 2022;309 262;0,0024;
декабрь 2022;281 286;0,0022;
январь 2023;257 265;0,0020;
февраль 2023;216 538;0,0018;
март 2023;217 346;0,0017;
апрель 2023;198 366;0,0017;
май 2023;192 369;0,0017;
июнь 2023;187 915;0,0018;
июль 2023;196 028;0,0019;
август 2023;196 218;0,0019;
сентябрь 2023;215 402;0,0020;
октябрь 2023;268 443;0,0022;
ноябрь 2023;271 544;0,0023;
декабрь 2023;273 702;0,0022;
январь 2024;267 504;0,0022;
февраль 2024;215 949;0,0019;
март 2024;200 408;0,0017;
апрель 2024;192 795;0,0017;
май 2024;190 469;0,0017;
июнь 2024;167 302;0,0017;
июль 2024;179 285;0,0019;
август 2024;183 542;0,0019;
сентябрь 2024;189 737;0,0019;
октябрь 2024;234 481;0,0020;
ноябрь 2024;239 000;0,0020;
декабрь 2024;232 344;0,0019;
январь 2025;201 335;0,0016;
февраль 2025;205 558;0,0018;
март 2025;190 712;0,0015;
апрель 2025;179 678;0,0015;
май 2025;168 348;0,0015;
июнь 2025;175 352;0,0016;
