Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Плинтусы под покраску», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;2 333;0,000030;
февраль 2018;2 518;0,000032;
март 2018;2 534;0,000030;
апрель 2018;2 393;0,000031;
май 2018;2 350;0,000031;
июнь 2018;2 466;0,000035;
июль 2018;2 727;0,000039;
август 2018;2 892;0,000040;
сентябрь 2018;2 733;0,000034;
октябрь 2018;3 603;0,000039;
ноябрь 2018;3 132;0,000036;
декабрь 2018;2 952;0,000034;
январь 2019;2 781;0,000031;
февраль 2019;3 065;0,000036;
март 2019;3 489;0,000039;
апрель 2019;2 901;0,000035;
май 2019;2 669;0,000033;
июнь 2019;2 798;0,000038;
июль 2019;3 159;0,000042;
август 2019;3 102;0,000042;
сентябрь 2019;2 926;0,000037;
октябрь 2019;3 553;0,000040;
ноябрь 2019;3 507;0,000039;
декабрь 2019;3 364;0,000036;
январь 2020;3 784;0,000038;
февраль 2020;3 823;0,000041;
март 2020;3 936;0,000040;
апрель 2020;3 954;0,000033;
май 2020;4 306;0,000040;
июнь 2020;3 738;0,000041;
июль 2020;4 209;0,000049;
август 2020;4 227;0,000050;
сентябрь 2020;4 359;0,000045;
октябрь 2020;4 848;0,000045;
ноябрь 2020;5 373;0,000046;
декабрь 2020;5 343;0,000048;
январь 2021;4 716;0,000045;
февраль 2021;5 563;0,000055;
март 2021;6 167;0,000056;
апрель 2021;6 771;0,000062;
май 2021;12 259;0,000118;
июнь 2021;6 152;0,000062;
июль 2021;6 190;0,000063;
август 2021;6 334;0,000063;
сентябрь 2021;6 105;0,000056;
октябрь 2021;7 541;0,000066;
ноябрь 2021;7 057;0,000060;
декабрь 2021;6 920;0,000058;
январь 2022;6 503;0,000054;
февраль 2022;6 559;0,000055;
март 2022;8 656;0,000067;
апрель 2022;6 701;0,000056;
май 2022;6 237;0,000052;
июнь 2022;5 802;0,000054;
июль 2022;5 805;0,000055;
август 2022;6 150;0,000057;
сентябрь 2022;5 239;0,000044;
октябрь 2022;5 614;0,000045;
ноябрь 2022;6 997;0,000055;
декабрь 2022;5 846;0,000046;
январь 2023;5 304;0,000043;
февраль 2023;5 010;0,000043;
март 2023;5 820;0,000046;
апрель 2023;4 998;0,000043;
май 2023;4 793;0,000042;
июнь 2023;4 842;0,000047;
июль 2023;5 220;0,000051;
август 2023;5 722;0,000056;
сентябрь 2023;5 353;0,000049;
октябрь 2023;6 320;0,000052;
ноябрь 2023;6 844;0,000058;
декабрь 2023;5 546;0,000046;
январь 2024;5 124;0,000042;
февраль 2024;5 789;0,000051;
март 2024;5 660;0,000049;
апрель 2024;5 120;0,000047;
май 2024;5 347;0,000050;
июнь 2024;5 842;0,000062;
июль 2024;5 545;0,000059;
август 2024;4 830;0,000051;
сентябрь 2024;4 590;0,000046;
октябрь 2024;5 298;0,000047;
ноябрь 2024;5 810;0,000049;
декабрь 2024;5 746;0,000047;
январь 2025;6 094;0,000051;
февраль 2025;6 171;0,000054;
март 2025;6 782;0,000056;
апрель 2025;6 203;0,000054;
май 2025;5 843;0,000054;
июнь 2025;6 273;0,000059;
