Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Пвх», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;1 504 455;0,019;
февраль 2018;1 565 960;0,020;
март 2018;1 827 141;0,021;
апрель 2018;1 833 902;0,024;
май 2018;1 898 231;0,025;
июнь 2018;1 839 208;0,026;
июль 2018;1 988 010;0,028;
август 2018;2 037 544;0,028;
сентябрь 2018;1 925 044;0,024;
октябрь 2018;2 086 817;0,022;
ноябрь 2018;1 698 524;0,019;
декабрь 2018;1 426 945;0,016;
январь 2019;1 576 998;0,017;
февраль 2019;1 669 944;0,019;
март 2019;1 991 023;0,022;
апрель 2019;1 820 741;0,022;
май 2019;1 700 458;0,021;
июнь 2019;1 817 893;0,025;
июль 2019;1 951 876;0,026;
август 2019;1 755 309;0,024;
сентябрь 2019;1 656 059;0,021;
октябрь 2019;1 745 364;0,019;
ноябрь 2019;1 574 160;0,017;
декабрь 2019;1 636 533;0,017;
январь 2020;1 781 535;0,018;
февраль 2020;1 715 518;0,018;
март 2020;1 822 013;0,018;
апрель 2020;1 785 333;0,014;
май 2020;2 181 950;0,020;
июнь 2020;2 431 231;0,027;
июль 2020;2 399 798;0,028;
август 2020;2 149 891;0,025;
сентябрь 2020;1 973 185;0,020;
октябрь 2020;2 008 729;0,018;
ноябрь 2020;1 926 670;0,016;
декабрь 2020;1 696 088;0,015;
январь 2021;1 724 663;0,016;
февраль 2021;1 823 775;0,018;
март 2021;2 137 978;0,019;
апрель 2021;2 260 616;0,020;
май 2021;2 170 133;0,021;
июнь 2021;2 491 863;0,025;
июль 2021;2 568 504;0,026;
август 2021;2 537 400;0,025;
сентябрь 2021;2 278 365;0,021;
октябрь 2021;2 109 600;0,018;
ноябрь 2021;2 086 666;0,018;
декабрь 2021;1 896 642;0,016;
январь 2022;1 853 310;0,015;
февраль 2022;1 909 134;0,016;
март 2022;2 235 836;0,017;
апрель 2022;2 285 511;0,019;
май 2022;2 320 794;0,019;
июнь 2022;2 505 074;0,023;
июль 2022;2 477 712;0,023;
август 2022;2 423 073;0,022;
сентябрь 2022;1 942 821;0,016;
октябрь 2022;1 847 180;0,014;
ноябрь 2022;1 900 031;0,015;
декабрь 2022;1 577 621;0,012;
январь 2023;1 697 888;0,013;
февраль 2023;1 778 949;0,015;
март 2023;2 177 152;0,017;
апрель 2023;2 026 756;0,017;
май 2023;2 092 740;0,018;
июнь 2023;2 258 733;0,022;
июль 2023;2 328 722;0,023;
август 2023;2 207 518;0,021;
сентябрь 2023;1 970 543;0,018;
октябрь 2023;2 085 006;0,017;
ноябрь 2023;1 890 194;0,016;
декабрь 2023;1 524 145;0,012;
январь 2024;1 626 008;0,013;
февраль 2024;1 799 150;0,016;
март 2024;1 923 475;0,016;
апрель 2024;2 029 969;0,018;
май 2024;2 020 589;0,018;
июнь 2024;2 103 329;0,022;
июль 2024;2 253 346;0,024;
август 2024;2 025 426;0,021;
сентябрь 2024;1 862 266;0,018;
октябрь 2024;1 966 517;0,017;
ноябрь 2024;1 883 704;0,016;
декабрь 2024;1 709 096;0,014;
январь 2025;1 753 299;0,014;
февраль 2025;1 880 877;0,016;
март 2025;2 027 561;0,016;
апрель 2025;2 013 129;0,017;
май 2025;1 940 078;0,018;
июнь 2025;2 365 532;0,022;
