Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Пьедесталы», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;35 538;0,00045;
февраль 2018;49 538;0,00063;
март 2018;41 625;0,00049;
апрель 2018;36 741;0,00048;
май 2018;34 912;0,00046;
июнь 2018;29 111;0,00041;
июль 2018;29 495;0,00042;
август 2018;31 488;0,00044;
сентябрь 2018;36 743;0,00046;
октябрь 2018;51 571;0,00055;
ноябрь 2018;46 109;0,00054;
декабрь 2018;43 754;0,00051;
январь 2019;48 780;0,00055;
февраль 2019;48 875;0,00058;
март 2019;54 047;0,00061;
апрель 2019;45 618;0,00055;
май 2019;43 271;0,00054;
июнь 2019;37 105;0,00051;
июль 2019;35 553;0,00048;
август 2019;35 164;0,00048;
сентябрь 2019;42 298;0,00053;
октябрь 2019;52 735;0,00059;
ноябрь 2019;50 853;0,00057;
декабрь 2019;53 842;0,00058;
январь 2020;54 234;0,00055;
февраль 2020;54 356;0,00059;
март 2020;51 309;0,00052;
апрель 2020;65 765;0,00055;
май 2020;61 308;0,00057;
июнь 2020;49 412;0,00055;
июль 2020;43 480;0,00051;
август 2020;39 751;0,00047;
сентябрь 2020;45 074;0,00047;
октябрь 2020;54 717;0,00050;
ноябрь 2020;59 561;0,00051;
декабрь 2020;64 190;0,00058;
январь 2021;64 142;0,00061;
февраль 2021;61 390;0,00061;
март 2021;81 078;0,00074;
апрель 2021;71 563;0,00066;
май 2021;59 665;0,00057;
июнь 2021;56 911;0,00057;
июль 2021;52 452;0,00054;
август 2021;58 815;0,00058;
сентябрь 2021;57 468;0,00053;
октябрь 2021;66 341;0,00058;
ноябрь 2021;72 219;0,00062;
декабрь 2021;72 740;0,00061;
январь 2022;75 456;0,00063;
февраль 2022;110 723;0,00093;
март 2022;75 706;0,00059;
апрель 2022;75 002;0,00062;
май 2022;69 528;0,00058;
июнь 2022;53 586;0,00049;
июль 2022;50 301;0,00048;
август 2022;51 367;0,00047;
сентябрь 2022;56 036;0,00047;
октябрь 2022;70 064;0,00056;
ноябрь 2022;73 718;0,00058;
декабрь 2022;75 046;0,00059;
январь 2023;65 868;0,00053;
февраль 2023;69 157;0,00060;
март 2023;72 825;0,00058;
апрель 2023;70 652;0,00061;
май 2023;68 891;0,00060;
июнь 2023;52 211;0,00050;
июль 2023;49 358;0,00048;
август 2023;50 885;0,00050;
сентябрь 2023;60 559;0,00056;
октябрь 2023;78 317;0,00065;
ноябрь 2023;71 126;0,00060;
декабрь 2023;66 200;0,00055;
январь 2024;64 726;0,00053;
февраль 2024;71 139;0,00063;
март 2024;68 414;0,00059;
апрель 2024;69 894;0,00064;
май 2024;70 955;0,00066;
июнь 2024;47 045;0,00050;
июль 2024;48 723;0,00052;
август 2024;48 836;0,00052;
сентябрь 2024;58 460;0,00058;
октябрь 2024;76 292;0,00067;
ноябрь 2024;75 527;0,00064;
декабрь 2024;72 160;0,00060;
январь 2025;69 660;0,00058;
февраль 2025;78 159;0,00068;
март 2025;77 985;0,00065;
апрель 2025;77 417;0,00067;
май 2025;70 559;0,00066;
июнь 2025;57 200;0,00054;
