Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Трубогибы», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;73 020;0,00094;
февраль 2018;82 352;0,00106;
март 2018;100 327;0,00119;
апрель 2018;89 813;0,00118;
май 2018;82 087;0,00109;
июнь 2018;76 616;0,00110;
июль 2018;73 959;0,00105;
август 2018;71 758;0,00101;
сентябрь 2018;71 823;0,00090;
октябрь 2018;95 891;0,00104;
ноябрь 2018;72 314;0,00085;
декабрь 2018;63 555;0,00074;
январь 2019;77 029;0,00087;
февраль 2019;90 350;0,00107;
март 2019;99 288;0,00113;
апрель 2019;94 577;0,00114;
май 2019;88 853;0,00112;
июнь 2019;85 184;0,00117;
июль 2019;82 319;0,00111;
август 2019;81 327;0,00111;
сентябрь 2019;79 608;0,00101;
октябрь 2019;90 925;0,00102;
ноябрь 2019;85 853;0,00096;
декабрь 2019;84 694;0,00091;
январь 2020;104 040;0,00106;
февраль 2020;120 084;0,00130;
март 2020;128 823;0,00131;
апрель 2020;132 189;0,00110;
май 2020;144 974;0,00135;
июнь 2020;131 963;0,00147;
июль 2020;115 572;0,00137;
август 2020;110 748;0,00132;
сентябрь 2020;105 458;0,00111;
октябрь 2020;109 734;0,00101;
ноябрь 2020;102 609;0,00089;
декабрь 2020;91 852;0,00083;
январь 2021;99 768;0,00095;
февраль 2021;108 324;0,00108;
март 2021;132 408;0,00121;
апрель 2021;133 876;0,00124;
май 2021;110 171;0,00106;
июнь 2021;95 767;0,00096;
июль 2021;87 720;0,00090;
август 2021;89 560;0,00089;
сентябрь 2021;85 905;0,00080;
октябрь 2021;85 621;0,00075;
ноябрь 2021;85 971;0,00074;
декабрь 2021;78 899;0,00066;
январь 2022;94 745;0,00079;
февраль 2022;99 752;0,00084;
март 2022;116 363;0,00091;
апрель 2022;124 340;0,00104;
май 2022;118 608;0,00099;
июнь 2022;108 370;0,00101;
июль 2022;96 890;0,00092;
август 2022;96 970;0,00090;
сентябрь 2022;80 992;0,00069;
октябрь 2022;81 684;0,00066;
ноябрь 2022;83 655;0,00066;
декабрь 2022;72 589;0,00057;
январь 2023;84 759;0,00068;
февраль 2023;94 828;0,00083;
март 2023;112 996;0,00090;
апрель 2023;103 522;0,00089;
май 2023;97 045;0,00085;
июнь 2023;85 999;0,00083;
июль 2023;80 865;0,00080;
август 2023;74 149;0,00073;
сентябрь 2023;73 596;0,00068;
октябрь 2023;77 776;0,00065;
ноябрь 2023;79 927;0,00068;
декабрь 2023;65 089;0,00054;
январь 2024;78 528;0,00065;
февраль 2024;93 430;0,00083;
март 2024;99 778;0,00086;
апрель 2024;101 108;0,00093;
май 2024;98 424;0,00092;
июнь 2024;79 984;0,00085;
июль 2024;77 204;0,00082;
август 2024;68 540;0,00073;
сентябрь 2024;66 223;0,00066;
октябрь 2024;73 252;0,00065;
ноябрь 2024;71 608;0,00061;
декабрь 2024;66 486;0,00055;
январь 2025;84 661;0,00071;
февраль 2025;92 822;0,00081;
март 2025;97 072;0,00080;
апрель 2025;94 667;0,00083;
май 2025;87 362;0,00081;
июнь 2025;86 034;0,00081;
