Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Умный свет», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;4 603;0,000059;
февраль 2018;3 764;0,000048;
март 2018;4 085;0,000048;
апрель 2018;3 277;0,000043;
май 2018;3 056;0,000040;
июнь 2018;2 980;0,000042;
июль 2018;3 086;0,000044;
август 2018;2 891;0,000040;
сентябрь 2018;4 362;0,000055;
октябрь 2018;5 846;0,000063;
ноябрь 2018;4 922;0,000057;
декабрь 2018;5 213;0,000060;
январь 2019;5 472;0,000062;
февраль 2019;4 576;0,000054;
март 2019;4 771;0,000054;
апрель 2019;4 002;0,000048;
май 2019;3 834;0,000048;
июнь 2019;3 370;0,000046;
июль 2019;3 338;0,000045;
август 2019;5 703;0,000078;
сентябрь 2019;7 810;0,000099;
октябрь 2019;8 352;0,000094;
ноябрь 2019;7 352;0,000082;
декабрь 2019;8 895;0,000095;
январь 2020;8 439;0,000086;
февраль 2020;7 610;0,000082;
март 2020;7 325;0,000074;
апрель 2020;14 006;0,000117;
май 2020;14 097;0,000131;
июнь 2020;8 023;0,000089;
июль 2020;6 025;0,000071;
август 2020;5 720;0,000068;
сентябрь 2020;8 570;0,000090;
октябрь 2020;13 175;0,000122;
ноябрь 2020;17 075;0,000148;
декабрь 2020;16 663;0,000150;
январь 2021;13 367;0,000128;
февраль 2021;11 250;0,000112;
март 2021;10 564;0,000097;
апрель 2021;8 633;0,000080;
май 2021;7 821;0,000075;
июнь 2021;6 712;0,000067;
июль 2021;6 819;0,000070;
август 2021;7 934;0,000079;
сентябрь 2021;22 251;0,000207;
октябрь 2021;12 984;0,000114;
ноябрь 2021;15 372;0,000132;
декабрь 2021;18 343;0,000154;
январь 2022;16 356;0,000137;
февраль 2022;13 253;0,000112;
март 2022;11 059;0,000086;
апрель 2022;10 363;0,000086;
май 2022;10 062;0,000084;
июнь 2022;8 643;0,000080;
июль 2022;9 532;0,000091;
август 2022;10 481;0,000097;
сентябрь 2022;12 800;0,000109;
октябрь 2022;15 103;0,000122;
ноябрь 2022;18 938;0,000150;
декабрь 2022;22 938;0,000182;
январь 2023;20 404;0,000165;
февраль 2023;16 844;0,000147;
март 2023;16 535;0,000132;
апрель 2023;13 918;0,000120;
май 2023;14 137;0,000124;
июнь 2023;11 591;0,000113;
июль 2023;11 372;0,000112;
август 2023;14 115;0,000140;
сентябрь 2023;19 686;0,000183;
октябрь 2023;21 476;0,000180;
ноябрь 2023;24 571;0,000209;
декабрь 2023;25 296;0,000211;
январь 2024;20 444;0,000169;
февраль 2024;16 047;0,000142;
март 2024;13 484;0,000116;
апрель 2024;11 440;0,000105;
май 2024;10 800;0,000101;
июнь 2024;7 569;0,000081;
июль 2024;7 980;0,000085;
август 2024;8 665;0,000092;
сентябрь 2024;10 331;0,000103;
октябрь 2024;14 214;0,000126;
ноябрь 2024;18 050;0,000155;
декабрь 2024;21 079;0,000175;
январь 2025;21 318;0,000179;
февраль 2025;16 283;0,000142;
март 2025;15 224;0,000127;
апрель 2025;16 553;0,000145;
май 2025;12 369;0,000115;
июнь 2025;9 570;0,000090;
