Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Бокалы и фужеры», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;1 075;0,0000138;
февраль 2018;805;0,0000103;
март 2018;722;0,0000085;
апрель 2018;569;0,0000075;
май 2018;538;0,0000071;
июнь 2018;488;0,0000070;
июль 2018;476;0,0000068;
август 2018;508;0,0000071;
сентябрь 2018;444;0,0000056;
октябрь 2018;697;0,0000075;
ноябрь 2018;740;0,0000087;
декабрь 2018;1 211;0,0000141;
январь 2019;1 154;0,0000131;
февраль 2019;761;0,0000090;
март 2019;725;0,0000082;
апрель 2019;591;0,0000071;
май 2019;551;0,0000069;
июнь 2019;571;0,0000078;
июль 2019;676;0,0000091;
август 2019;658;0,0000090;
сентябрь 2019;588;0,0000074;
октябрь 2019;789;0,0000089;
ноябрь 2019;1 030;0,0000116;
декабрь 2019;1 577;0,0000170;
январь 2020;1 381;0,0000142;
февраль 2020;933;0,0000101;
март 2020;837;0,0000085;
апрель 2020;745;0,0000062;
май 2020;981;0,0000091;
июнь 2020;892;0,0000100;
июль 2020;838;0,0000099;
август 2020;766;0,0000091;
сентябрь 2020;858;0,0000090;
октябрь 2020;1 012;0,0000094;
ноябрь 2020;1 408;0,0000122;
декабрь 2020;1 768;0,0000159;
январь 2021;1 571;0,0000150;
февраль 2021;1 111;0,0000111;
март 2021;1 149;0,0000105;
апрель 2021;1 261;0,0000116;
май 2021;1 175;0,0000113;
июнь 2021;1 090;0,0000109;
июль 2021;1 500;0,0000154;
август 2021;1 847;0,0000184;
сентябрь 2021;1 947;0,0000181;
октябрь 2021;2 083;0,0000183;
ноябрь 2021;1 961;0,0000169;
декабрь 2021;2 570;0,0000216;
январь 2022;2 319;0,0000194;
февраль 2022;1 905;0,0000161;
март 2022;1 279;0,0000100;
апрель 2022;1 083;0,0000090;
май 2022;994;0,0000083;
июнь 2022;971;0,0000090;
июль 2022;1 123;0,0000107;
август 2022;1 037;0,0000096;
сентябрь 2022;1 012;0,0000086;
октябрь 2022;1 114;0,0000090;
ноябрь 2022;1 639;0,0000129;
декабрь 2022;2 220;0,0000176;
январь 2023;1 882;0,0000152;
февраль 2023;1 260;0,0000110;
март 2023;1 369;0,0000110;
апрель 2023;999;0,0000086;
май 2023;946;0,0000083;
июнь 2023;958;0,0000093;
июль 2023;1 023;0,0000101;
август 2023;1 047;0,0000104;
сентябрь 2023;963;0,0000089;
октябрь 2023;1 195;0,0000100;
ноябрь 2023;1 417;0,0000120;
декабрь 2023;1 922;0,0000161;
январь 2024;1 564;0,0000129;
февраль 2024;1 212;0,0000107;
март 2024;1 183;0,0000102;
апрель 2024;837;0,0000077;
май 2024;926;0,0000086;
июнь 2024;764;0,0000081;
июль 2024;863;0,0000092;
август 2024;878;0,0000093;
сентябрь 2024;723;0,0000072;
октябрь 2024;1 015;0,0000090;
ноябрь 2024;1 187;0,0000102;
декабрь 2024;1 965;0,0000163;
январь 2025;1 820;0,0000153;
февраль 2025;1 066;0,0000093;
март 2025;1 151;0,0000096;
апрель 2025;933;0,0000081;
май 2025;1 026;0,0000096;
июнь 2025;868;0,0000082;
