Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Строительные блоки», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;16 383;0,00021;
февраль 2018;16 347;0,00021;
март 2018;17 390;0,00020;
апрель 2018;17 173;0,00022;
май 2018;19 375;0,00025;
июнь 2018;17 710;0,00025;
июль 2018;16 971;0,00024;
август 2018;17 675;0,00025;
сентябрь 2018;15 953;0,00020;
октябрь 2018;17 386;0,00018;
ноябрь 2018;14 726;0,00017;
декабрь 2018;13 344;0,00015;
январь 2019;16 220;0,00018;
февраль 2019;16 468;0,00019;
март 2019;18 318;0,00020;
апрель 2019;18 438;0,00022;
май 2019;18 129;0,00022;
июнь 2019;16 379;0,00022;
июль 2019;17 499;0,00023;
август 2019;15 653;0,00021;
сентябрь 2019;14 893;0,00018;
октябрь 2019;14 770;0,00016;
ноябрь 2019;14 251;0,00016;
декабрь 2019;13 704;0,00014;
январь 2020;16 206;0,00016;
февраль 2020;16 600;0,00018;
март 2020;18 732;0,00019;
апрель 2020;22 456;0,00018;
май 2020;27 123;0,00025;
июнь 2020;22 803;0,00025;
июль 2020;19 940;0,00023;
август 2020;17 958;0,00021;
сентябрь 2020;17 841;0,00018;
октябрь 2020;18 428;0,00017;
ноябрь 2020;18 454;0,00016;
декабрь 2020;16 715;0,00015;
январь 2021;17 755;0,00017;
февраль 2021;16 929;0,00016;
март 2021;20 310;0,00018;
апрель 2021;24 027;0,00022;
май 2021;23 413;0,00022;
июнь 2021;23 184;0,00023;
июль 2021;22 249;0,00022;
август 2021;24 436;0,00024;
сентябрь 2021;22 656;0,00021;
октябрь 2021;21 327;0,00018;
ноябрь 2021;21 437;0,00018;
декабрь 2021;18 704;0,00015;
январь 2022;21 061;0,00017;
февраль 2022;21 358;0,00018;
март 2022;25 485;0,00019;
апрель 2022;26 515;0,00022;
май 2022;28 164;0,00023;
июнь 2022;24 636;0,00022;
июль 2022;23 303;0,00022;
август 2022;22 755;0,00021;
сентябрь 2022;17 622;0,00015;
октябрь 2022;17 869;0,00014;
ноябрь 2022;19 437;0,00015;
декабрь 2022;17 199;0,00013;
январь 2023;17 855;0,00014;
февраль 2023;17 298;0,00015;
март 2023;21 016;0,00016;
апрель 2023;21 438;0,00018;
май 2023;22 812;0,00020;
июнь 2023;20 360;0,00019;
июль 2023;19 619;0,00019;
август 2023;18 695;0,00018;
сентябрь 2023;17 431;0,00016;
октябрь 2023;18 327;0,00015;
ноябрь 2023;17 671;0,00015;
декабрь 2023;17 029;0,00014;
январь 2024;18 201;0,00015;
февраль 2024;19 143;0,00017;
март 2024;20 116;0,00017;
апрель 2024;23 722;0,00021;
май 2024;22 702;0,00021;
июнь 2024;19 288;0,00020;
июль 2024;18 322;0,00019;
август 2024;17 242;0,00018;
сентябрь 2024;16 799;0,00016;
октябрь 2024;17 888;0,00015;
ноябрь 2024;17 461;0,00015;
декабрь 2024;18 844;0,00015;
январь 2025;18 774;0,00015;
февраль 2025;18 697;0,00016;
март 2025;20 665;0,00017;
апрель 2025;20 953;0,00018;
май 2025;20 952;0,00019;
июнь 2025;20 559;0,00019;
