Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Подоконники», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;320 969;0,0041;
февраль 2018;364 013;0,0046;
март 2018;462 054;0,0054;
апрель 2018;410 414;0,0054;
май 2018;372 191;0,0049;
июнь 2018;323 719;0,0046;
июль 2018;341 649;0,0048;
август 2018;353 151;0,0050;
сентябрь 2018;394 657;0,0049;
октябрь 2018;502 705;0,0054;
ноябрь 2018;433 896;0,0051;
декабрь 2018;361 699;0,0042;
январь 2019;398 497;0,0045;
февраль 2019;478 155;0,0057;
март 2019;578 445;0,0065;
апрель 2019;530 106;0,0064;
май 2019;453 718;0,0057;
июнь 2019;397 014;0,0054;
июль 2019;419 073;0,0056;
август 2019;415 732;0,0057;
сентябрь 2019;428 450;0,0054;
октябрь 2019;506 005;0,0057;
ноябрь 2019;498 575;0,0056;
декабрь 2019;450 369;0,0048;
январь 2020;507 383;0,0052;
февраль 2020;552 749;0,0060;
март 2020;630 539;0,0064;
апрель 2020;767 470;0,0064;
май 2020;790 958;0,0073;
июнь 2020;597 279;0,0066;
июль 2020;524 887;0,0062;
август 2020;510 998;0,0060;
сентябрь 2020;545 995;0,0057;
октябрь 2020;666 335;0,0061;
ноябрь 2020;732 264;0,0063;
декабрь 2020;609 333;0,0055;
январь 2021;574 144;0,0055;
февраль 2021;647 569;0,0064;
март 2021;815 695;0,0074;
апрель 2021;810 591;0,0075;
май 2021;668 918;0,0064;
июнь 2021;581 794;0,0058;
июль 2021;557 722;0,0057;
август 2021;599 382;0,0059;
сентябрь 2021;639 954;0,0059;
октябрь 2021;681 561;0,0059;
ноябрь 2021;723 618;0,0062;
декабрь 2021;638 572;0,0053;
январь 2022;670 413;0,0056;
февраль 2022;767 728;0,0065;
март 2022;1 017 349;0,0079;
апрель 2022;1 024 985;0,0085;
май 2022;855 567;0,0071;
июнь 2022;654 463;0,0061;
июль 2022;614 750;0,0058;
август 2022;620 572;0,0057;
сентябрь 2022;612 593;0,0052;
октябрь 2022;670 865;0,0054;
ноябрь 2022;719 349;0,0057;
декабрь 2022;585 503;0,0046;
январь 2023;634 602;0,0051;
февраль 2023;713 403;0,0062;
март 2023;944 237;0,0075;
апрель 2023;827 890;0,0071;
май 2023;702 145;0,0062;
июнь 2023;569 640;0,0055;
июль 2023;580 386;0,0057;
август 2023;569 222;0,0056;
сентябрь 2023;586 117;0,0054;
октябрь 2023;722 872;0,0060;
ноябрь 2023;704 279;0,0060;
декабрь 2023;592 719;0,0049;
январь 2024;620 139;0,0051;
февраль 2024;721 097;0,0064;
март 2024;870 945;0,0075;
апрель 2024;830 289;0,0076;
май 2024;712 911;0,0066;
июнь 2024;547 525;0,0058;
июль 2024;538 640;0,0057;
август 2024;527 766;0,0056;
сентябрь 2024;557 135;0,0056;
октябрь 2024;696 593;0,0062;
ноябрь 2024;744 916;0,0064;
декабрь 2024;660 248;0,0055;
январь 2025;658 203;0,0055;
февраль 2025;728 901;0,0063;
март 2025;884 547;0,0073;
апрель 2025;801 001;0,0070;
май 2025;677 663;0,0063;
июнь 2025;620 957;0,0058;
