Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Шумо», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;4 571;0,000058;
февраль 2018;4 525;0,000058;
март 2018;6 729;0,000080;
апрель 2018;4 932;0,000065;
май 2018;4 621;0,000061;
июнь 2018;4 249;0,000061;
июль 2018;4 256;0,000060;
август 2018;4 220;0,000059;
сентябрь 2018;4 845;0,000061;
октябрь 2018;5 105;0,000055;
ноябрь 2018;4 540;0,000053;
декабрь 2018;4 358;0,000050;
январь 2019;4 934;0,000056;
февраль 2019;4 733;0,000056;
март 2019;5 382;0,000061;
апрель 2019;5 029;0,000060;
май 2019;4 896;0,000061;
июнь 2019;4 676;0,000064;
июль 2019;4 379;0,000059;
август 2019;4 513;0,000062;
сентябрь 2019;4 697;0,000059;
октябрь 2019;5 529;0,000062;
ноябрь 2019;5 493;0,000061;
декабрь 2019;4 888;0,000052;
январь 2020;5 344;0,000054;
февраль 2020;5 743;0,000062;
март 2020;5 937;0,000060;
апрель 2020;5 747;0,000048;
май 2020;6 747;0,000062;
июнь 2020;5 327;0,000059;
июль 2020;5 568;0,000066;
август 2020;5 000;0,000059;
сентябрь 2020;5 307;0,000055;
октябрь 2020;5 628;0,000052;
ноябрь 2020;6 163;0,000053;
декабрь 2020;5 543;0,000050;
январь 2021;5 954;0,000057;
февраль 2021;5 485;0,000054;
март 2021;6 600;0,000060;
апрель 2021;6 495;0,000060;
май 2021;6 147;0,000059;
июнь 2021;5 447;0,000054;
июль 2021;5 327;0,000054;
август 2021;5 883;0,000058;
сентябрь 2021;6 252;0,000058;
октябрь 2021;6 591;0,000057;
ноябрь 2021;7 062;0,000060;
декабрь 2021;6 965;0,000058;
январь 2022;6 474;0,000054;
февраль 2022;8 045;0,000068;
март 2022;7 890;0,000061;
апрель 2022;7 659;0,000064;
май 2022;7 624;0,000063;
июнь 2022;6 320;0,000058;
июль 2022;6 535;0,000062;
август 2022;6 418;0,000059;
сентябрь 2022;6 480;0,000055;
октябрь 2022;6 602;0,000053;
ноябрь 2022;7 324;0,000058;
декабрь 2022;5 950;0,000047;
январь 2023;6 305;0,000051;
февраль 2023;6 399;0,000056;
март 2023;7 995;0,000064;
апрель 2023;6 679;0,000057;
май 2023;6 881;0,000060;
июнь 2023;8 947;0,000087;
июль 2023;8 771;0,000086;
август 2023;8 248;0,000082;
сентябрь 2023;8 788;0,000081;
октябрь 2023;8 728;0,000073;
ноябрь 2023;8 454;0,000072;
декабрь 2023;8 435;0,000070;
январь 2024;8 324;0,000069;
февраль 2024;7 534;0,000067;
март 2024;7 791;0,000067;
апрель 2024;8 049;0,000074;
май 2024;7 580;0,000071;
июнь 2024;6 852;0,000073;
июль 2024;6 570;0,000070;
август 2024;6 879;0,000073;
сентябрь 2024;6 954;0,000070;
октябрь 2024;7 572;0,000067;
ноябрь 2024;7 492;0,000064;
декабрь 2024;8 105;0,000067;
январь 2025;8 153;0,000068;
февраль 2025;7 988;0,000070;
март 2025;8 603;0,000071;
апрель 2025;7 699;0,000067;
май 2025;7 645;0,000071;
июнь 2025;7 319;0,000069;
