Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Отбойные молотки», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;40 750;0,00052;
февраль 2018;47 107;0,00060;
март 2018;50 996;0,00060;
апрель 2018;46 431;0,00061;
май 2018;47 259;0,00062;
июнь 2018;47 733;0,00068;
июль 2018;51 782;0,00074;
август 2018;54 546;0,00077;
сентябрь 2018;49 781;0,00062;
октябрь 2018;57 200;0,00062;
ноябрь 2018;48 685;0,00057;
декабрь 2018;43 932;0,00051;
январь 2019;46 577;0,00052;
февраль 2019;50 776;0,00060;
март 2019;49 998;0,00056;
апрель 2019;52 148;0,00063;
май 2019;48 081;0,00060;
июнь 2019;46 772;0,00064;
июль 2019;49 910;0,00067;
август 2019;57 452;0,00079;
сентябрь 2019;55 360;0,00070;
октябрь 2019;57 575;0,00065;
ноябрь 2019;54 347;0,00061;
декабрь 2019;55 322;0,00059;
январь 2020;59 835;0,00061;
февраль 2020;59 205;0,00064;
март 2020;57 272;0,00058;
апрель 2020;53 987;0,00045;
май 2020;62 852;0,00058;
июнь 2020;61 080;0,00068;
июль 2020;58 380;0,00069;
август 2020;56 260;0,00067;
сентябрь 2020;55 514;0,00058;
октябрь 2020;59 020;0,00054;
ноябрь 2020;58 713;0,00051;
декабрь 2020;62 641;0,00056;
январь 2021;57 871;0,00055;
февраль 2021;61 904;0,00061;
март 2021;71 178;0,00065;
апрель 2021;69 632;0,00064;
май 2021;63 280;0,00061;
июнь 2021;70 133;0,00070;
июль 2021;69 511;0,00071;
август 2021;71 131;0,00070;
сентябрь 2021;67 813;0,00063;
октябрь 2021;65 345;0,00057;
ноябрь 2021;64 869;0,00055;
декабрь 2021;63 358;0,00053;
январь 2022;63 868;0,00053;
февраль 2022;68 673;0,00058;
март 2022;73 442;0,00057;
апрель 2022;71 633;0,00059;
май 2022;73 673;0,00061;
июнь 2022;73 150;0,00068;
июль 2022;69 861;0,00066;
август 2022;73 962;0,00068;
сентябрь 2022;63 816;0,00054;
октябрь 2022;61 768;0,00049;
ноябрь 2022;64 404;0,00051;
декабрь 2022;63 499;0,00050;
январь 2023;68 380;0,00055;
февраль 2023;72 694;0,00063;
март 2023;78 403;0,00063;
апрель 2023;72 829;0,00063;
май 2023;75 160;0,00066;
июнь 2023;74 877;0,00073;
июль 2023;70 577;0,00069;
август 2023;69 876;0,00069;
сентябрь 2023;68 847;0,00064;
октябрь 2023;75 649;0,00063;
ноябрь 2023;71 442;0,00060;
декабрь 2023;63 561;0,00053;
январь 2024;68 234;0,00056;
февраль 2024;73 591;0,00065;
март 2024;74 837;0,00064;
апрель 2024;73 595;0,00067;
май 2024;75 821;0,00071;
июнь 2024;68 228;0,00073;
июль 2024;70 670;0,00075;
август 2024;63 823;0,00068;
сентябрь 2024;61 107;0,00061;
октябрь 2024;63 420;0,00056;
ноябрь 2024;61 825;0,00053;
декабрь 2024;61 449;0,00051;
январь 2025;63 034;0,00053;
февраль 2025;73 314;0,00064;
март 2025;73 717;0,00061;
апрель 2025;69 622;0,00061;
май 2025;71 195;0,00066;
июнь 2025;69 638;0,00065;
