Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Кольца для занавесок», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;434;0,0000055;
февраль 2018;346;0,0000044;
март 2018;362;0,0000043;
апрель 2018;376;0,0000049;
май 2018;323;0,0000042;
июнь 2018;273;0,0000039;
июль 2018;264;0,0000037;
август 2018;251;0,0000035;
сентябрь 2018;269;0,0000033;
октябрь 2018;540;0,0000058;
ноябрь 2018;619;0,0000072;
декабрь 2018;416;0,0000048;
январь 2019;386;0,0000043;
февраль 2019;351;0,0000041;
март 2019;352;0,0000040;
апрель 2019;345;0,0000041;
май 2019;335;0,0000042;
июнь 2019;284;0,0000039;
июль 2019;305;0,0000041;
август 2019;327;0,0000044;
сентябрь 2019;305;0,0000038;
октябрь 2019;589;0,0000066;
ноябрь 2019;663;0,0000074;
декабрь 2019;495;0,0000053;
январь 2020;402;0,0000041;
февраль 2020;425;0,0000046;
март 2020;375;0,0000038;
апрель 2020;385;0,0000032;
май 2020;502;0,0000046;
июнь 2020;394;0,0000044;
июль 2020;403;0,0000047;
август 2020;386;0,0000046;
сентябрь 2020;397;0,0000041;
октябрь 2020;744;0,0000069;
ноябрь 2020;868;0,0000075;
декабрь 2020;530;0,0000047;
январь 2021;496;0,0000047;
февраль 2021;421;0,0000042;
март 2021;434;0,0000039;
апрель 2021;404;0,0000037;
май 2021;455;0,0000044;
июнь 2021;433;0,0000043;
июль 2021;439;0,0000045;
август 2021;474;0,0000047;
сентябрь 2021;524;0,0000048;
октябрь 2021;726;0,0000063;
ноябрь 2021;909;0,0000078;
декабрь 2021;649;0,0000054;
январь 2022;538;0,0000045;
февраль 2022;385;0,0000032;
март 2022;493;0,0000038;
апрель 2022;490;0,0000040;
май 2022;565;0,0000047;
июнь 2022;513;0,0000047;
июль 2022;502;0,0000048;
август 2022;463;0,0000042;
сентябрь 2022;402;0,0000034;
октябрь 2022;846;0,0000068;
ноябрь 2022;831;0,0000065;
декабрь 2022;536;0,0000042;
январь 2023;537;0,0000043;
февраль 2023;419;0,0000036;
март 2023;493;0,0000039;
апрель 2023;434;0,0000037;
май 2023;449;0,0000039;
июнь 2023;444;0,0000043;
июль 2023;479;0,0000047;
август 2023;489;0,0000048;
сентябрь 2023;461;0,0000042;
октябрь 2023;654;0,0000054;
ноябрь 2023;618;0,0000052;
декабрь 2023;538;0,0000045;
январь 2024;468;0,0000038;
февраль 2024;383;0,0000034;
март 2024;415;0,0000035;
апрель 2024;459;0,0000042;
май 2024;435;0,0000040;
июнь 2024;378;0,0000040;
июль 2024;412;0,0000044;
август 2024;390;0,0000041;
сентябрь 2024;352;0,0000035;
октябрь 2024;540;0,0000048;
ноябрь 2024;739;0,0000063;
декабрь 2024;554;0,0000046;
январь 2025;449;0,0000037;
февраль 2025;424;0,0000037;
март 2025;413;0,0000034;
апрель 2025;411;0,0000036;
май 2025;417;0,0000039;
июнь 2025;426;0,0000040;
