Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Доводчики», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;154 083;0,0019;
февраль 2018;164 592;0,0021;
март 2018;173 190;0,0020;
апрель 2018;165 100;0,0021;
май 2018;166 145;0,0022;
июнь 2018;151 170;0,0021;
июль 2018;181 089;0,0025;
август 2018;199 911;0,0028;
сентябрь 2018;177 418;0,0022;
октябрь 2018;256 891;0,0027;
ноябрь 2018;221 744;0,0026;
декабрь 2018;199 688;0,0023;
январь 2019;185 104;0,0021;
февраль 2019;195 379;0,0023;
март 2019;207 686;0,0023;
апрель 2019;207 420;0,0025;
май 2019;189 342;0,0023;
июнь 2019;180 413;0,0024;
июль 2019;188 426;0,0025;
август 2019;190 669;0,0026;
сентябрь 2019;208 823;0,0026;
октябрь 2019;233 275;0,0026;
ноябрь 2019;243 994;0,0027;
декабрь 2019;269 811;0,0029;
январь 2020;260 065;0,0026;
февраль 2020;230 185;0,0025;
март 2020;224 026;0,0022;
апрель 2020;187 466;0,0015;
май 2020;227 317;0,0021;
июнь 2020;226 836;0,0025;
июль 2020;220 723;0,0026;
август 2020;215 257;0,0025;
сентябрь 2020;239 590;0,0025;
октябрь 2020;247 808;0,0023;
ноябрь 2020;264 795;0,0023;
декабрь 2020;254 106;0,0022;
январь 2021;243 875;0,0023;
февраль 2021;245 780;0,0024;
март 2021;267 025;0,0024;
апрель 2021;255 808;0,0023;
май 2021;246 963;0,0023;
июнь 2021;234 008;0,0023;
июль 2021;227 167;0,0023;
август 2021;247 988;0,0024;
сентябрь 2021;263 432;0,0024;
октябрь 2021;270 005;0,0023;
ноябрь 2021;289 489;0,0024;
декабрь 2021;291 933;0,0024;
январь 2022;277 572;0,0023;
февраль 2022;249 793;0,0021;
март 2022;280 899;0,0022;
апрель 2022;271 617;0,0022;
май 2022;270 642;0,0022;
июнь 2022;254 784;0,0023;
июль 2022;253 895;0,0024;
август 2022;271 897;0,0025;
сентябрь 2022;256 888;0,0021;
октябрь 2022;269 983;0,0021;
ноябрь 2022;311 455;0,0024;
декабрь 2022;280 656;0,0022;
январь 2023;278 634;0,0022;
февраль 2023;258 944;0,0022;
март 2023;292 966;0,0023;
апрель 2023;269 157;0,0023;
май 2023;268 217;0,0023;
июнь 2023;248 074;0,0024;
июль 2023;253 842;0,0025;
август 2023;254 779;0,0025;
сентябрь 2023;252 089;0,0023;
октябрь 2023;306 231;0,0025;
ноябрь 2023;308 800;0,0026;
декабрь 2023;288 075;0,0024;
январь 2024;292 587;0,0024;
февраль 2024;286 974;0,0025;
март 2024;282 686;0,0024;
апрель 2024;279 145;0,0025;
май 2024;283 789;0,0026;
июнь 2024;242 432;0,0025;
июль 2024;248 242;0,0026;
август 2024;246 138;0,0026;
сентябрь 2024;259 049;0,0026;
октябрь 2024;309 743;0,0027;
ноябрь 2024;323 810;0,0027;
декабрь 2024;312 616;0,0026;
январь 2025;295 635;0,0024;
февраль 2025;299 082;0,0026;
март 2025;298 341;0,0024;
апрель 2025;285 042;0,0025;
май 2025;272 173;0,0025;
июнь 2025;280 270;0,0026;
