Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Столовые приборы», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;105 325;0,00135;
февраль 2018;102 331;0,00132;
март 2018;107 562;0,00127;
апрель 2018;86 900;0,00114;
май 2018;79 700;0,00106;
июнь 2018;76 074;0,00109;
июль 2018;87 162;0,00124;
август 2018;99 144;0,00140;
сентябрь 2018;96 363;0,00121;
октябрь 2018;121 028;0,00131;
ноябрь 2018;109 921;0,00129;
декабрь 2018;120 542;0,00140;
январь 2019;117 753;0,00133;
февраль 2019;107 097;0,00127;
март 2019;110 657;0,00126;
апрель 2019;93 110;0,00112;
май 2019;86 897;0,00109;
июнь 2019;79 534;0,00109;
июль 2019;92 640;0,00125;
август 2019;96 631;0,00132;
сентябрь 2019;93 762;0,00119;
октябрь 2019;115 046;0,00130;
ноябрь 2019;117 457;0,00132;
декабрь 2019;138 301;0,00149;
январь 2020;134 782;0,00138;
февраль 2020;124 099;0,00134;
март 2020;116 320;0,00118;
апрель 2020;116 866;0,00097;
май 2020;126 813;0,00118;
июнь 2020;106 049;0,00118;
июль 2020;112 953;0,00134;
август 2020;119 397;0,00142;
сентябрь 2020;127 198;0,00133;
октябрь 2020;148 332;0,00137;
ноябрь 2020;170 851;0,00149;
декабрь 2020;186 672;0,00168;
январь 2021;173 969;0,00166;
февраль 2021;153 988;0,00154;
март 2021;166 713;0,00153;
апрель 2021;151 048;0,00140;
май 2021;134 412;0,00130;
июнь 2021;131 030;0,00132;
июль 2021;138 134;0,00142;
август 2021;157 286;0,00156;
сентябрь 2021;160 753;0,00150;
октябрь 2021;163 525;0,00143;
ноябрь 2021;185 439;0,00160;
декабрь 2021;207 280;0,00174;
январь 2022;195 680;0,00164;
февраль 2022;171 797;0,00145;
март 2022;174 476;0,00136;
апрель 2022;162 883;0,00136;
май 2022;152 477;0,00127;
июнь 2022;133 312;0,00124;
июль 2022;144 695;0,00138;
август 2022;160 568;0,00149;
сентябрь 2022;144 623;0,00123;
октябрь 2022;154 823;0,00125;
ноябрь 2022;173 697;0,00137;
декабрь 2022;181 892;0,00144;
январь 2023;164 506;0,00133;
февраль 2023;149 920;0,00131;
март 2023;169 717;0,00136;
апрель 2023;132 587;0,00114;
май 2023;129 636;0,00114;
июнь 2023;120 960;0,00117;
июль 2023;124 053;0,00122;
август 2023;133 128;0,00132;
сентябрь 2023;136 278;0,00126;
октябрь 2023;166 912;0,00139;
ноябрь 2023;173 687;0,00147;
декабрь 2023;182 537;0,00152;
январь 2024;173 056;0,00143;
февраль 2024;156 096;0,00139;
март 2024;156 820;0,00135;
апрель 2024;131 807;0,00121;
май 2024;132 580;0,00124;
июнь 2024;107 364;0,00114;
июль 2024;113 630;0,00122;
август 2024;120 870;0,00129;
сентябрь 2024;114 517;0,00115;
октябрь 2024;141 439;0,00125;
ноябрь 2024;165 321;0,00142;
декабрь 2024;182 455;0,00152;
январь 2025;165 649;0,00139;
февраль 2025;151 846;0,00133;
март 2025;154 478;0,00128;
апрель 2025;129 135;0,00113;
май 2025;123 398;0,00115;
июнь 2025;122 789;0,00116;
