Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Цепи», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;1 655 951;0,021;
февраль 2018;1 763 393;0,022;
март 2018;1 971 303;0,023;
апрель 2018;1 943 132;0,025;
май 2018;2 089 481;0,027;
июнь 2018;1 702 605;0,024;
июль 2018;1 349 939;0,019;
август 2018;1 345 711;0,019;
сентябрь 2018;1 702 440;0,021;
октябрь 2018;2 114 564;0,022;
ноябрь 2018;2 097 596;0,024;
декабрь 2018;2 178 431;0,025;
январь 2019;2 068 332;0,023;
февраль 2019;2 145 128;0,025;
март 2019;2 357 674;0,026;
апрель 2019;2 476 287;0,029;
май 2019;2 343 096;0,029;
июнь 2019;1 956 898;0,027;
июль 2019;1 562 712;0,021;
август 2019;1 448 293;0,019;
сентябрь 2019;1 783 195;0,022;
октябрь 2019;2 173 290;0,024;
ноябрь 2019;2 322 712;0,026;
декабрь 2019;2 526 855;0,027;
январь 2020;2 343 850;0,024;
февраль 2020;2 475 792;0,026;
март 2020;2 910 590;0,029;
апрель 2020;5 437 294;0,045;
май 2020;4 603 648;0,042;
июнь 2020;3 112 234;0,034;
июль 2020;2 081 121;0,024;
август 2020;1 862 098;0,022;
сентябрь 2020;2 662 424;0,028;
октябрь 2020;3 403 668;0,031;
ноябрь 2020;3 790 378;0,033;
декабрь 2020;3 851 747;0,034;
январь 2021;3 127 420;0,029;
февраль 2021;3 239 284;0,032;
март 2021;3 736 585;0,034;
апрель 2021;3 819 718;0,035;
май 2021;3 438 539;0,033;
июнь 2021;3 007 735;0,030;
июль 2021;2 161 121;0,022;
август 2021;2 140 996;0,021;
сентябрь 2021;2 720 341;0,025;
октябрь 2021;3 092 330;0,027;
ноябрь 2021;3 344 872;0,028;
декабрь 2021;3 571 762;0,030;
январь 2022;3 263 984;0,027;
февраль 2022;3 744 794;0,031;
март 2022;3 897 497;0,030;
апрель 2022;3 872 503;0,032;
май 2022;3 894 516;0,032;
июнь 2022;3 142 314;0,029;
июль 2022;2 360 009;0,022;
август 2022;2 325 249;0,021;
сентябрь 2022;2 741 606;0,023;
октябрь 2022;3 188 038;0,025;
ноябрь 2022;3 375 847;0,026;
декабрь 2022;3 519 644;0,027;
январь 2023;3 218 761;0,026;
февраль 2023;3 412 660;0,029;
март 2023;4 213 284;0,033;
апрель 2023;4 056 043;0,035;
май 2023;3 926 045;0,034;
июнь 2023;3 010 125;0,029;
июль 2023;2 306 495;0,022;
август 2023;2 176 329;0,021;
сентябрь 2023;2 752 150;0,025;
октябрь 2023;3 193 759;0,026;
ноябрь 2023;3 278 988;0,027;
декабрь 2023;3 438 442;0,028;
январь 2024;3 052 956;0,025;
февраль 2024;3 558 047;0,031;
март 2024;3 988 718;0,034;
апрель 2024;4 350 017;0,040;
май 2024;3 920 622;0,036;
июнь 2024;2 837 654;0,030;
июль 2024;2 329 566;0,025;
август 2024;2 152 311;0,023;
сентябрь 2024;2 563 109;0,025;
октябрь 2024;3 252 987;0,028;
ноябрь 2024;3 442 402;0,029;
декабрь 2024;3 709 273;0,030;
январь 2025;3 180 154;0,026;
февраль 2025;3 764 169;0,032;
март 2025;4 450 526;0,037;
апрель 2025;4 654 668;0,040;
май 2025;3 888 093;0,036;
июнь 2025;3 195 070;0,030;
