Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Модульные кухни», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;50 750;0,00065;
февраль 2018;48 342;0,00062;
март 2018;52 451;0,00062;
апрель 2018;45 587;0,00060;
май 2018;43 633;0,00058;
июнь 2018;43 389;0,00062;
июль 2018;50 438;0,00072;
август 2018;53 687;0,00076;
сентябрь 2018;49 994;0,00063;
октябрь 2018;60 565;0,00065;
ноябрь 2018;55 107;0,00064;
декабрь 2018;46 321;0,00054;
январь 2019;54 871;0,00062;
февраль 2019;50 135;0,00059;
март 2019;51 680;0,00058;
апрель 2019;42 972;0,00051;
май 2019;41 548;0,00052;
июнь 2019;39 395;0,00054;
июль 2019;47 147;0,00064;
август 2019;45 372;0,00062;
сентябрь 2019;43 448;0,00055;
октябрь 2019;52 507;0,00059;
ноябрь 2019;57 150;0,00064;
декабрь 2019;67 783;0,00073;
январь 2020;76 142;0,00078;
февраль 2020;55 658;0,00060;
март 2020;53 121;0,00054;
апрель 2020;49 010;0,00041;
май 2020;62 917;0,00058;
июнь 2020;60 900;0,00068;
июль 2020;61 649;0,00073;
август 2020;61 332;0,00073;
сентябрь 2020;56 515;0,00059;
октябрь 2020;66 925;0,00062;
ноябрь 2020;74 325;0,00064;
декабрь 2020;64 685;0,00058;
январь 2021;72 109;0,00069;
февраль 2021;61 632;0,00061;
март 2021;68 742;0,00063;
апрель 2021;64 247;0,00059;
май 2021;62 732;0,00060;
июнь 2021;64 462;0,00064;
июль 2021;74 843;0,00077;
август 2021;81 765;0,00081;
сентябрь 2021;74 728;0,00069;
октябрь 2021;71 826;0,00063;
ноябрь 2021;82 457;0,00071;
декабрь 2021;74 037;0,00062;
январь 2022;82 012;0,00068;
февраль 2022;85 375;0,00072;
март 2022;93 765;0,00073;
апрель 2022;75 885;0,00063;
май 2022;69 353;0,00058;
июнь 2022;60 622;0,00056;
июль 2022;68 372;0,00065;
август 2022;74 215;0,00068;
сентябрь 2022;67 226;0,00057;
октябрь 2022;57 884;0,00046;
ноябрь 2022;61 751;0,00048;
декабрь 2022;51 431;0,00040;
январь 2023;61 815;0,00050;
февраль 2023;56 429;0,00049;
март 2023;63 080;0,00050;
апрель 2023;52 789;0,00045;
май 2023;52 348;0,00046;
июнь 2023;51 887;0,00050;
июль 2023;60 290;0,00059;
август 2023;59 376;0,00059;
сентябрь 2023;55 582;0,00051;
октябрь 2023;63 893;0,00053;
ноябрь 2023;64 777;0,00055;
декабрь 2023;49 695;0,00041;
январь 2024;62 873;0,00052;
февраль 2024;57 948;0,00051;
март 2024;56 377;0,00048;
апрель 2024;51 406;0,00047;
май 2024;51 182;0,00048;
июнь 2024;46 275;0,00049;
июль 2024;50 360;0,00054;
август 2024;52 288;0,00055;
сентябрь 2024;47 121;0,00047;
октябрь 2024;54 443;0,00048;
ноябрь 2024;59 447;0,00051;
декабрь 2024;52 378;0,00043;
январь 2025;64 314;0,00054;
февраль 2025;57 043;0,00049;
март 2025;55 832;0,00046;
апрель 2025;50 450;0,00044;
май 2025;49 530;0,00046;
июнь 2025;55 124;0,00052;
