Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Калитки и ворота», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;12 327;0,000158;
февраль 2018;13 444;0,000173;
март 2018;16 462;0,000195;
апрель 2018;24 202;0,000319;
май 2018;30 843;0,000410;
июнь 2018;28 680;0,000413;
июль 2018;28 619;0,000409;
август 2018;28 251;0,000400;
сентябрь 2018;25 498;0,000321;
октябрь 2018;26 843;0,000291;
ноябрь 2018;15 490;0,000182;
декабрь 2018;9 800;0,000114;
январь 2019;9 663;0,000109;
февраль 2019;11 455;0,000136;
март 2019;16 746;0,000190;
апрель 2019;25 188;0,000304;
май 2019;27 394;0,000346;
июнь 2019;26 921;0,000371;
июль 2019;24 936;0,000339;
август 2019;20 871;0,000287;
сентябрь 2019;20 294;0,000257;
октябрь 2019;17 300;0,000195;
ноябрь 2019;12 110;0,000136;
декабрь 2019;9 677;0,000104;
январь 2020;13 535;0,000139;
февраль 2020;13 444;0,000146;
март 2020;19 618;0,000199;
апрель 2020;26 044;0,000218;
май 2020;38 812;0,000361;
июнь 2020;34 778;0,000389;
июль 2020;30 647;0,000363;
август 2020;29 103;0,000347;
сентябрь 2020;24 788;0,000261;
октябрь 2020;23 190;0,000215;
ноябрь 2020;17 897;0,000156;
декабрь 2020;11 483;0,000103;
январь 2021;12 917;0,000123;
февраль 2021;13 071;0,000130;
март 2021;18 727;0,000172;
апрель 2021;30 497;0,000282;
май 2021;34 557;0,000334;
июнь 2021;31 974;0,000322;
июль 2021;29 142;0,000300;
август 2021;27 448;0,000273;
сентябрь 2021;23 294;0,000217;
октябрь 2021;20 951;0,000184;
ноябрь 2021;15 446;0,000133;
декабрь 2021;11 197;0,000094;
январь 2022;11 459;0,000096;
февраль 2022;13 505;0,000114;
март 2022;19 049;0,000149;
апрель 2022;25 574;0,000213;
май 2022;33 055;0,000277;
июнь 2022;29 859;0,000278;
июль 2022;28 597;0,000274;
август 2022;27 217;0,000252;
сентябрь 2022;22 614;0,000193;
октябрь 2022;15 852;0,000128;
ноябрь 2022;11 624;0,000092;
декабрь 2022;7 696;0,000061;
январь 2023;10 153;0,000082;
февраль 2023;10 908;0,000095;
март 2023;17 788;0,000142;
апрель 2023;23 877;0,000206;
май 2023;27 852;0,000246;
июнь 2023;25 649;0,000250;
июль 2023;25 127;0,000249;
август 2023;23 261;0,000231;
сентябрь 2023;20 102;0,000186;
октябрь 2023;16 478;0,000138;
ноябрь 2023;11 470;0,000097;
декабрь 2023;8 509;0,000071;
январь 2024;15 992;0,000132;
февраль 2024;10 933;0,000097;
март 2024;14 931;0,000129;
апрель 2024;23 011;0,000212;
май 2024;25 592;0,000240;
июнь 2024;21 354;0,000228;
июль 2024;21 899;0,000235;
август 2024;20 106;0,000215;
сентябрь 2024;17 795;0,000179;
октябрь 2024;15 467;0,000137;
ноябрь 2024;10 650;0,000091;
декабрь 2024;8 054;0,000067;
январь 2025;9 817;0,000082;
февраль 2025;10 419;0,000091;
март 2025;16 401;0,000136;
апрель 2025;19 754;0,000173;
май 2025;22 293;0,000208;
июнь 2025;23 732;0,000224;
