Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Крестики для плитки», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;4 946;0,000063;
февраль 2018;5 373;0,000069;
март 2018;5 722;0,000068;
апрель 2018;5 301;0,000069;
май 2018;4 951;0,000065;
июнь 2018;5 553;0,000080;
июль 2018;5 952;0,000085;
август 2018;6 463;0,000091;
сентябрь 2018;5 938;0,000074;
октябрь 2018;6 585;0,000071;
ноябрь 2018;6 067;0,000071;
декабрь 2018;5 669;0,000066;
январь 2019;5 993;0,000068;
февраль 2019;6 314;0,000075;
март 2019;6 482;0,000073;
апрель 2019;6 060;0,000073;
май 2019;6 360;0,000080;
июнь 2019;6 313;0,000087;
июль 2019;7 171;0,000097;
август 2019;6 968;0,000095;
сентябрь 2019;6 606;0,000083;
октябрь 2019;7 094;0,000080;
ноябрь 2019;7 178;0,000080;
декабрь 2019;6 376;0,000068;
январь 2020;6 755;0,000069;
февраль 2020;7 147;0,000077;
март 2020;7 280;0,000074;
апрель 2020;8 143;0,000068;
май 2020;8 378;0,000078;
июнь 2020;8 465;0,000094;
июль 2020;9 287;0,000110;
август 2020;9 254;0,000110;
сентябрь 2020;8 684;0,000091;
октябрь 2020;8 995;0,000083;
ноябрь 2020;9 677;0,000084;
декабрь 2020;8 668;0,000078;
январь 2021;8 056;0,000077;
февраль 2021;8 808;0,000088;
март 2021;9 432;0,000086;
апрель 2021;9 653;0,000089;
май 2021;8 716;0,000084;
июнь 2021;10 068;0,000101;
июль 2021;11 028;0,000113;
август 2021;12 784;0,000127;
сентябрь 2021;11 913;0,000111;
октябрь 2021;11 820;0,000103;
ноябрь 2021;10 985;0,000094;
декабрь 2021;9 538;0,000080;
январь 2022;9 431;0,000079;
февраль 2022;10 039;0,000085;
март 2022;10 788;0,000084;
апрель 2022;10 386;0,000086;
май 2022;9 953;0,000083;
июнь 2022;10 584;0,000098;
июль 2022;10 964;0,000105;
август 2022;11 218;0,000104;
сентябрь 2022;9 137;0,000078;
октябрь 2022;8 370;0,000067;
ноябрь 2022;8 536;0,000067;
декабрь 2022;7 588;0,000060;
январь 2023;7 095;0,000057;
февраль 2023;7 710;0,000067;
март 2023;8 545;0,000068;
апрель 2023;8 350;0,000072;
май 2023;8 417;0,000074;
июнь 2023;9 383;0,000091;
июль 2023;9 771;0,000096;
август 2023;9 895;0,000098;
сентябрь 2023;8 628;0,000080;
октябрь 2023;8 960;0,000075;
ноябрь 2023;8 236;0,000070;
декабрь 2023;6 921;0,000057;
январь 2024;6 905;0,000057;
февраль 2024;7 587;0,000067;
март 2024;8 085;0,000070;
апрель 2024;8 187;0,000075;
май 2024;8 334;0,000078;
июнь 2024;7 725;0,000082;
июль 2024;8 627;0,000092;
август 2024;8 347;0,000089;
сентябрь 2024;7 312;0,000073;
октябрь 2024;7 318;0,000065;
ноябрь 2024;7 175;0,000061;
декабрь 2024;6 467;0,000053;
январь 2025;6 734;0,000056;
февраль 2025;7 075;0,000062;
март 2025;7 200;0,000060;
апрель 2025;7 146;0,000062;
май 2025;7 239;0,000067;
июнь 2025;7 931;0,000075;
