Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Петли дверные», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;28 670;0,00036;
февраль 2018;28 060;0,00036;
март 2018;31 539;0,00037;
апрель 2018;29 861;0,00039;
май 2018;30 295;0,00040;
июнь 2018;29 075;0,00041;
июль 2018;32 400;0,00046;
август 2018;33 075;0,00046;
сентябрь 2018;33 039;0,00041;
октябрь 2018;39 190;0,00042;
ноябрь 2018;35 940;0,00042;
декабрь 2018;32 402;0,00037;
январь 2019;32 037;0,00036;
февраль 2019;32 542;0,00038;
март 2019;36 086;0,00041;
апрель 2019;33 757;0,00040;
май 2019;33 546;0,00042;
июнь 2019;31 236;0,00043;
июль 2019;34 504;0,00046;
август 2019;34 964;0,00048;
сентябрь 2019;33 787;0,00042;
октябрь 2019;37 188;0,00042;
ноябрь 2019;37 274;0,00042;
декабрь 2019;36 262;0,00039;
январь 2020;36 792;0,00037;
февраль 2020;37 933;0,00041;
март 2020;37 682;0,00038;
апрель 2020;46 477;0,00038;
май 2020;46 417;0,00043;
июнь 2020;43 701;0,00049;
июль 2020;41 852;0,00049;
август 2020;42 816;0,00051;
сентябрь 2020;42 561;0,00044;
октябрь 2020;46 221;0,00042;
ноябрь 2020;46 517;0,00040;
декабрь 2020;43 071;0,00038;
январь 2021;40 651;0,00038;
февраль 2021;39 980;0,00039;
март 2021;46 675;0,00042;
апрель 2021;47 273;0,00043;
май 2021;45 551;0,00044;
июнь 2021;47 197;0,00047;
июль 2021;47 022;0,00048;
август 2021;52 399;0,00052;
сентябрь 2021;51 489;0,00048;
октябрь 2021;51 478;0,00045;
ноябрь 2021;52 897;0,00045;
декабрь 2021;50 287;0,00042;
январь 2022;48 754;0,00040;
февраль 2022;47 004;0,00039;
март 2022;54 619;0,00042;
апрель 2022;57 409;0,00048;
май 2022;58 597;0,00049;
июнь 2022;56 762;0,00052;
июль 2022;57 907;0,00055;
август 2022;56 803;0,00052;
сентябрь 2022;52 042;0,00044;
октябрь 2022;54 412;0,00043;
ноябрь 2022;55 488;0,00043;
декабрь 2022;49 284;0,00039;
январь 2023;50 526;0,00040;
февраль 2023;49 532;0,00043;
март 2023;57 070;0,00045;
апрель 2023;54 020;0,00046;
май 2023;55 478;0,00049;
июнь 2023;52 477;0,00051;
июль 2023;56 589;0,00056;
август 2023;57 084;0,00056;
сентябрь 2023;55 556;0,00051;
октябрь 2023;59 475;0,00049;
ноябрь 2023;58 118;0,00049;
декабрь 2023;51 238;0,00042;
январь 2024;52 555;0,00043;
февраль 2024;52 606;0,00046;
март 2024;55 482;0,00048;
апрель 2024;55 646;0,00051;
май 2024;55 181;0,00051;
июнь 2024;52 402;0,00056;
июль 2024;54 682;0,00058;
август 2024;57 041;0,00061;
сентябрь 2024;55 214;0,00055;
октябрь 2024;63 157;0,00056;
ноябрь 2024;60 241;0,00051;
декабрь 2024;57 623;0,00048;
январь 2025;59 019;0,00049;
февраль 2025;58 298;0,00051;
март 2025;60 872;0,00050;
апрель 2025;58 621;0,00051;
май 2025;57 398;0,00053;
июнь 2025;62 694;0,00059;
