Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Гнезда электрические», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;583;0,0000075;
февраль 2018;751;0,0000096;
март 2018;822;0,0000097;
апрель 2018;809;0,0000106;
май 2018;862;0,0000114;
июнь 2018;769;0,0000110;
июль 2018;768;0,0000109;
август 2018;758;0,0000107;
сентябрь 2018;655;0,0000082;
октябрь 2018;1 068;0,0000115;
ноябрь 2018;981;0,0000115;
декабрь 2018;765;0,0000089;
январь 2019;757;0,0000085;
февраль 2019;765;0,0000091;
март 2019;880;0,0000100;
апрель 2019;891;0,0000107;
май 2019;751;0,0000094;
июнь 2019;736;0,0000101;
июль 2019;772;0,0000104;
август 2019;725;0,0000099;
сентябрь 2019;749;0,0000095;
октябрь 2019;971;0,0000109;
ноябрь 2019;1 011;0,0000113;
декабрь 2019;1 042;0,0000112;
январь 2020;846;0,0000087;
февраль 2020;1 000;0,0000108;
март 2020;986;0,0000100;
апрель 2020;1 017;0,0000085;
май 2020;1 158;0,0000107;
июнь 2020;1 126;0,0000126;
июль 2020;1 050;0,0000124;
август 2020;951;0,0000113;
сентябрь 2020;1 063;0,0000111;
октябрь 2020;1 175;0,0000109;
ноябрь 2020;1 523;0,0000132;
декабрь 2020;1 120;0,0000101;
январь 2021;925;0,0000088;
февраль 2021;972;0,0000097;
март 2021;1 167;0,0000107;
апрель 2021;1 231;0,0000114;
май 2021;1 193;0,0000115;
июнь 2021;1 190;0,0000119;
июль 2021;1 079;0,0000111;
август 2021;1 278;0,0000127;
сентябрь 2021;1 273;0,0000118;
октябрь 2021;1 239;0,0000108;
ноябрь 2021;1 211;0,0000104;
декабрь 2021;1 296;0,0000109;
январь 2022;1 190;0,0000099;
февраль 2022;1 296;0,0000109;
март 2022;1 435;0,0000112;
апрель 2022;1 330;0,0000111;
май 2022;1 407;0,0000117;
июнь 2022;1 323;0,0000123;
июль 2022;1 264;0,0000121;
август 2022;1 307;0,0000121;
сентябрь 2022;1 311;0,0000112;
октябрь 2022;1 227;0,0000099;
ноябрь 2022;1 303;0,0000103;
декабрь 2022;1 379;0,0000109;
январь 2023;1 207;0,0000097;
февраль 2023;1 221;0,0000106;
март 2023;1 563;0,0000125;
апрель 2023;1 278;0,0000110;
май 2023;1 402;0,0000123;
июнь 2023;1 348;0,0000131;
июль 2023;1 269;0,0000125;
август 2023;1 243;0,0000123;
сентябрь 2023;1 200;0,0000111;
октябрь 2023;1 432;0,0000120;
ноябрь 2023;1 545;0,0000131;
декабрь 2023;1 451;0,0000121;
январь 2024;1 347;0,0000111;
февраль 2024;1 364;0,0000121;
март 2024;1 536;0,0000133;
апрель 2024;1 492;0,0000137;
май 2024;1 410;0,0000132;
июнь 2024;1 331;0,0000142;
июль 2024;1 366;0,0000146;
август 2024;1 270;0,0000135;
сентябрь 2024;1 173;0,0000118;
октябрь 2024;1 470;0,0000130;
ноябрь 2024;1 416;0,0000121;
декабрь 2024;1 357;0,0000113;
январь 2025;1 307;0,0000110;
февраль 2025;1 371;0,0000120;
март 2025;1 452;0,0000121;
апрель 2025;1 445;0,0000126;
май 2025;1 451;0,0000135;
июнь 2025;1 214;0,0000114;
