Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Плиты ДСП», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;6 836;0,000088;
февраль 2018;6 975;0,000089;
март 2018;7 632;0,000090;
апрель 2018;6 789;0,000089;
май 2018;7 113;0,000094;
июнь 2018;7 679;0,000110;
июль 2018;7 872;0,000112;
август 2018;7 811;0,000110;
сентябрь 2018;7 391;0,000093;
октябрь 2018;8 589;0,000093;
ноябрь 2018;7 610;0,000089;
декабрь 2018;6 763;0,000079;
январь 2019;7 264;0,000082;
февраль 2019;7 238;0,000086;
март 2019;7 779;0,000088;
апрель 2019;6 962;0,000084;
май 2019;6 939;0,000087;
июнь 2019;6 794;0,000093;
июль 2019;7 600;0,000103;
август 2019;6 901;0,000094;
сентябрь 2019;6 632;0,000084;
октябрь 2019;7 224;0,000081;
ноябрь 2019;7 336;0,000082;
декабрь 2019;6 977;0,000075;
январь 2020;7 577;0,000077;
февраль 2020;7 417;0,000080;
март 2020;7 762;0,000078;
апрель 2020;9 201;0,000077;
май 2020;9 957;0,000092;
июнь 2020;9 806;0,000109;
июль 2020;9 044;0,000107;
август 2020;8 340;0,000099;
сентябрь 2020;8 564;0,000090;
октябрь 2020;9 846;0,000091;
ноябрь 2020;11 446;0,000099;
декабрь 2020;8 987;0,000081;
январь 2021;9 124;0,000087;
февраль 2021;8 137;0,000081;
март 2021;9 682;0,000088;
апрель 2021;11 107;0,000103;
май 2021;11 809;0,000114;
июнь 2021;15 604;0,000157;
июль 2021;13 985;0,000144;
август 2021;13 725;0,000136;
сентябрь 2021;12 159;0,000113;
октябрь 2021;10 289;0,000090;
ноябрь 2021;10 786;0,000093;
декабрь 2021;8 770;0,000074;
январь 2022;10 023;0,000084;
февраль 2022;10 420;0,000088;
март 2022;12 269;0,000096;
апрель 2022;10 630;0,000088;
май 2022;9 917;0,000083;
июнь 2022;9 158;0,000085;
июль 2022;8 649;0,000082;
август 2022;8 383;0,000077;
сентябрь 2022;7 337;0,000062;
октябрь 2022;7 648;0,000061;
ноябрь 2022;8 320;0,000065;
декабрь 2022;6 800;0,000054;
январь 2023;6 851;0,000055;
февраль 2023;7 472;0,000065;
март 2023;8 011;0,000064;
апрель 2023;6 933;0,000060;
май 2023;7 284;0,000064;
июнь 2023;7 556;0,000073;
июль 2023;7 561;0,000074;
август 2023;7 092;0,000070;
сентябрь 2023;6 759;0,000062;
октябрь 2023;7 896;0,000066;
ноябрь 2023;7 685;0,000065;
декабрь 2023;6 238;0,000052;
январь 2024;6 653;0,000055;
февраль 2024;7 041;0,000062;
март 2024;7 471;0,000064;
апрель 2024;7 425;0,000068;
май 2024;7 648;0,000071;
июнь 2024;6 792;0,000072;
июль 2024;7 020;0,000075;
август 2024;6 754;0,000072;
сентябрь 2024;6 751;0,000067;
октябрь 2024;7 477;0,000066;
ноябрь 2024;8 104;0,000069;
декабрь 2024;7 031;0,000058;
январь 2025;7 726;0,000065;
февраль 2025;7 884;0,000069;
март 2025;8 050;0,000067;
апрель 2025;7 823;0,000068;
май 2025;7 765;0,000072;
июнь 2025;8 496;0,000080;
