Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Гидроаккумуляторы для водоснабжения», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;6 962;0,000089;
февраль 2018;6 474;0,000083;
март 2018;8 006;0,000095;
апрель 2018;9 838;0,000129;
май 2018;12 504;0,000166;
июнь 2018;10 751;0,000154;
июль 2018;10 141;0,000145;
август 2018;9 562;0,000135;
сентябрь 2018;8 540;0,000107;
октябрь 2018;9 646;0,000104;
ноябрь 2018;7 745;0,000091;
декабрь 2018;6 258;0,000073;
январь 2019;6 981;0,000079;
февраль 2019;6 351;0,000075;
март 2019;7 081;0,000080;
апрель 2019;10 476;0,000126;
май 2019;12 205;0,000154;
июнь 2019;10 878;0,000150;
июль 2019;9 112;0,000123;
август 2019;7 932;0,000109;
сентябрь 2019;7 186;0,000091;
октябрь 2019;7 396;0,000083;
ноябрь 2019;6 570;0,000074;
декабрь 2019;6 527;0,000070;
январь 2020;8 080;0,000083;
февраль 2020;7 359;0,000080;
март 2020;9 628;0,000097;
апрель 2020;12 770;0,000106;
май 2020;17 435;0,000162;
июнь 2020;16 037;0,000179;
июль 2020;13 179;0,000156;
август 2020;10 622;0,000126;
сентябрь 2020;9 572;0,000100;
октябрь 2020;8 661;0,000080;
ноябрь 2020;8 670;0,000075;
декабрь 2020;7 127;0,000064;
январь 2021;7 373;0,000070;
февраль 2021;6 535;0,000065;
март 2021;8 490;0,000077;
апрель 2021;10 735;0,000099;
май 2021;11 334;0,000109;
июнь 2021;10 587;0,000106;
июль 2021;10 801;0,000111;
август 2021;10 212;0,000101;
сентябрь 2021;9 301;0,000086;
октябрь 2021;8 877;0,000078;
ноябрь 2021;7 977;0,000068;
декабрь 2021;7 049;0,000059;
январь 2022;7 657;0,000064;
февраль 2022;6 998;0,000059;
март 2022;9 753;0,000076;
апрель 2022;10 439;0,000087;
май 2022;12 015;0,000100;
июнь 2022;10 713;0,000099;
июль 2022;10 765;0,000103;
август 2022;9 890;0,000091;
сентябрь 2022;8 691;0,000074;
октябрь 2022;7 502;0,000060;
ноябрь 2022;6 744;0,000053;
декабрь 2022;4 980;0,000039;
январь 2023;5 313;0,000043;
февраль 2023;4 959;0,000043;
март 2023;5 933;0,000047;
апрель 2023;7 677;0,000066;
май 2023;9 138;0,000080;
июнь 2023;8 961;0,000087;
июль 2023;7 579;0,000075;
август 2023;7 867;0,000078;
сентябрь 2023;8 125;0,000075;
октябрь 2023;10 528;0,000088;
ноябрь 2023;8 467;0,000072;
декабрь 2023;5 916;0,000049;
январь 2024;6 608;0,000054;
февраль 2024;5 785;0,000051;
март 2024;6 145;0,000053;
апрель 2024;8 288;0,000076;
май 2024;9 363;0,000087;
июнь 2024;8 146;0,000087;
июль 2024;8 704;0,000093;
август 2024;7 326;0,000078;
сентябрь 2024;6 518;0,000065;
октябрь 2024;7 680;0,000068;
ноябрь 2024;6 774;0,000058;
декабрь 2024;5 588;0,000046;
январь 2025;6 416;0,000054;
февраль 2025;6 022;0,000052;
март 2025;6 473;0,000054;
апрель 2025;7 393;0,000064;
май 2025;7 896;0,000073;
июнь 2025;7 968;0,000075;
