Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Счетчики электроэнергии», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;431 755;0,0055;
февраль 2018;430 446;0,0055;
март 2018;447 219;0,0053;
апрель 2018;408 630;0,0053;
май 2018;403 027;0,0053;
июнь 2018;423 163;0,0060;
июль 2018;443 725;0,0063;
август 2018;392 957;0,0055;
сентябрь 2018;480 034;0,0060;
октябрь 2018;582 382;0,0063;
ноябрь 2018;516 055;0,0060;
декабрь 2018;474 385;0,0055;
январь 2019;491 430;0,0055;
февраль 2019;483 073;0,0057;
март 2019;432 377;0,0049;
апрель 2019;453 636;0,0054;
май 2019;426 921;0,0053;
июнь 2019;438 033;0,0060;
июль 2019;462 688;0,0062;
август 2019;475 884;0,0065;
сентябрь 2019;470 413;0,0059;
октябрь 2019;474 866;0,0053;
ноябрь 2019;491 331;0,0055;
декабрь 2019;503 829;0,0054;
январь 2020;526 816;0,0054;
февраль 2020;527 561;0,0057;
март 2020;498 283;0,0050;
апрель 2020;465 952;0,0039;
май 2020;457 556;0,0042;
июнь 2020;458 532;0,0051;
июль 2020;468 446;0,0055;
август 2020;468 018;0,0055;
сентябрь 2020;470 590;0,0049;
октябрь 2020;499 011;0,0046;
ноябрь 2020;516 431;0,0045;
декабрь 2020;527 589;0,0047;
январь 2021;518 595;0,0049;
февраль 2021;546 070;0,0054;
март 2021;592 089;0,0054;
апрель 2021;590 339;0,0054;
май 2021;574 389;0,0055;
июнь 2021;585 541;0,0059;
июль 2021;609 737;0,0062;
август 2021;625 547;0,0062;
сентябрь 2021;613 352;0,0057;
октябрь 2021;628 870;0,0055;
ноябрь 2021;663 419;0,0057;
декабрь 2021;668 475;0,0056;
январь 2022;674 055;0,0056;
февраль 2022;622 127;0,0052;
март 2022;665 452;0,0052;
апрель 2022;618 745;0,0051;
май 2022;628 475;0,0052;
июнь 2022;619 044;0,0057;
июль 2022;644 305;0,0061;
август 2022;723 600;0,0067;
сентябрь 2022;637 773;0,0054;
октябрь 2022;631 170;0,0051;
ноябрь 2022;643 417;0,0050;
декабрь 2022;662 310;0,0052;
январь 2023;648 021;0,0052;
февраль 2023;616 534;0,0054;
март 2023;645 906;0,0051;
апрель 2023;598 659;0,0051;
май 2023;565 820;0,0050;
июнь 2023;559 559;0,0054;
июль 2023;560 910;0,0055;
август 2023;569 525;0,0056;
сентябрь 2023;575 803;0,0053;
октябрь 2023;639 284;0,0053;
ноябрь 2023;648 318;0,0055;
декабрь 2023;625 684;0,0052;
январь 2024;610 522;0,0050;
февраль 2024;582 139;0,0051;
март 2024;585 359;0,0050;
апрель 2024;583 386;0,0053;
май 2024;547 271;0,0051;
июнь 2024;537 944;0,0057;
июль 2024;550 733;0,0059;
август 2024;540 466;0,0057;
сентябрь 2024;659 944;0,0066;
октябрь 2024;639 718;0,0056;
ноябрь 2024;659 052;0,0056;
декабрь 2024;750 058;0,0062;
январь 2025;688 285;0,0058;
февраль 2025;659 348;0,0057;
март 2025;585 015;0,0048;
апрель 2025;522 806;0,0045;
май 2025;537 476;0,0050;
июнь 2025;590 428;0,0055;
