Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Ножи строительные», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;3 636;0,000046;
февраль 2018;3 875;0,000049;
март 2018;4 007;0,000047;
апрель 2018;3 383;0,000044;
май 2018;3 463;0,000046;
июнь 2018;3 699;0,000053;
июль 2018;3 647;0,000052;
август 2018;3 993;0,000056;
сентябрь 2018;4 083;0,000051;
октябрь 2018;5 150;0,000055;
ноябрь 2018;4 486;0,000052;
декабрь 2018;4 030;0,000047;
январь 2019;4 383;0,000049;
февраль 2019;4 359;0,000051;
март 2019;4 343;0,000049;
апрель 2019;3 978;0,000048;
май 2019;3 928;0,000049;
июнь 2019;3 691;0,000050;
июль 2019;4 224;0,000057;
август 2019;4 285;0,000058;
сентябрь 2019;4 331;0,000055;
октябрь 2019;5 119;0,000057;
ноябрь 2019;4 930;0,000055;
декабрь 2019;4 773;0,000051;
январь 2020;4 485;0,000046;
февраль 2020;5 268;0,000057;
март 2020;4 882;0,000049;
апрель 2020;4 851;0,000040;
май 2020;5 816;0,000054;
июнь 2020;5 516;0,000061;
июль 2020;5 455;0,000064;
август 2020;5 714;0,000068;
сентябрь 2020;6 183;0,000065;
октябрь 2020;6 367;0,000059;
ноябрь 2020;6 416;0,000055;
декабрь 2020;6 787;0,000061;
январь 2021;6 041;0,000057;
февраль 2021;6 228;0,000062;
март 2021;7 570;0,000069;
апрель 2021;7 993;0,000074;
май 2021;7 711;0,000074;
июнь 2021;7 228;0,000072;
июль 2021;7 713;0,000079;
август 2021;9 999;0,000099;
сентябрь 2021;10 017;0,000093;
октябрь 2021;10 044;0,000088;
ноябрь 2021;10 704;0,000092;
декабрь 2021;10 452;0,000088;
январь 2022;10 182;0,000085;
февраль 2022;10 352;0,000087;
март 2022;8 941;0,000070;
апрель 2022;9 237;0,000077;
май 2022;9 539;0,000079;
июнь 2022;9 235;0,000086;
июль 2022;9 211;0,000088;
август 2022;9 580;0,000088;
сентябрь 2022;9 393;0,000080;
октябрь 2022;9 963;0,000080;
ноябрь 2022;11 038;0,000087;
декабрь 2022;9 646;0,000076;
январь 2023;9 402;0,000076;
февраль 2023;10 164;0,000089;
март 2023;11 521;0,000092;
апрель 2023;10 723;0,000092;
май 2023;11 165;0,000098;
июнь 2023;11 104;0,000108;
июль 2023;11 146;0,000110;
август 2023;11 717;0,000116;
сентябрь 2023;12 361;0,000114;
октябрь 2023;14 695;0,000123;
ноябрь 2023;14 532;0,000123;
декабрь 2023;11 848;0,000099;
январь 2024;12 534;0,000103;
февраль 2024;13 859;0,000123;
март 2024;13 252;0,000114;
апрель 2024;13 345;0,000123;
май 2024;13 891;0,000130;
июнь 2024;11 230;0,000120;
июль 2024;12 016;0,000129;
август 2024;11 844;0,000126;
сентябрь 2024;11 487;0,000115;
октябрь 2024;14 053;0,000125;
ноябрь 2024;15 072;0,000129;
декабрь 2024;13 911;0,000115;
январь 2025;13 046;0,000109;
февраль 2025;14 644;0,000128;
март 2025;14 010;0,000116;
апрель 2025;13 593;0,000119;
май 2025;12 657;0,000118;
июнь 2025;12 857;0,000121;
