Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Пластиковая кровля», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;519;0,0000066;
февраль 2018;639;0,0000082;
март 2018;749;0,0000089;
апрель 2018;963;0,0000127;
май 2018;1 166;0,0000155;
июнь 2018;1 246;0,0000179;
июль 2018;1 262;0,0000180;
август 2018;1 397;0,0000197;
сентябрь 2018;1 140;0,0000143;
октябрь 2018;1 178;0,0000127;
ноябрь 2018;743;0,0000087;
декабрь 2018;544;0,0000063;
январь 2019;605;0,0000068;
февраль 2019;779;0,0000092;
март 2019;1 076;0,0000122;
апрель 2019;1 214;0,0000146;
май 2019;1 161;0,0000146;
июнь 2019;1 081;0,0000149;
июль 2019;1 429;0,0000194;
август 2019;1 292;0,0000177;
сентябрь 2019;1 160;0,0000147;
октябрь 2019;1 044;0,0000118;
ноябрь 2019;783;0,0000088;
декабрь 2019;661;0,0000071;
январь 2020;632;0,0000064;
февраль 2020;689;0,0000074;
март 2020;867;0,0000088;
апрель 2020;1 101;0,0000092;
май 2020;1 556;0,0000145;
июнь 2020;1 558;0,0000174;
июль 2020;1 481;0,0000175;
август 2020;1 441;0,0000171;
сентябрь 2020;1 288;0,0000135;
октябрь 2020;1 224;0,0000113;
ноябрь 2020;985;0,0000085;
декабрь 2020;762;0,0000068;
январь 2021;561;0,0000053;
февраль 2021;802;0,0000080;
март 2021;1 224;0,0000112;
апрель 2021;1 647;0,0000152;
май 2021;1 825;0,0000176;
июнь 2021;2 755;0,0000277;
июль 2021;3 410;0,0000351;
август 2021;2 854;0,0000284;
сентябрь 2021;2 313;0,0000215;
октябрь 2021;1 890;0,0000166;
ноябрь 2021;1 403;0,0000121;
декабрь 2021;1 008;0,0000085;
январь 2022;1 075;0,0000090;
февраль 2022;1 243;0,0000105;
март 2022;1 754;0,0000137;
апрель 2022;2 071;0,0000173;
май 2022;2 312;0,0000193;
июнь 2022;2 613;0,0000243;
июль 2022;2 654;0,0000254;
август 2022;2 806;0,0000260;
сентябрь 2022;2 417;0,0000206;
октябрь 2022;2 048;0,0000165;
ноябрь 2022;1 622;0,0000128;
декабрь 2022;987;0,0000078;
январь 2023;1 057;0,0000085;
февраль 2023;1 420;0,0000124;
март 2023;2 186;0,0000175;
апрель 2023;2 436;0,0000211;
май 2023;2 545;0,0000224;
июнь 2023;2 873;0,0000280;
июль 2023;2 668;0,0000264;
август 2023;2 839;0,0000282;
сентябрь 2023;2 520;0,0000234;
октябрь 2023;2 170;0,0000181;
ноябрь 2023;1 660;0,0000141;
декабрь 2023;1 097;0,0000091;
январь 2024;1 069;0,0000088;
февраль 2024;1 379;0,0000122;
март 2024;1 761;0,0000152;
апрель 2024;2 648;0,0000244;
май 2024;2 725;0,0000255;
июнь 2024;2 685;0,0000287;
июль 2024;3 048;0,0000327;
август 2024;3 168;0,0000338;
сентябрь 2024;2 904;0,0000292;
октябрь 2024;2 335;0,0000208;
ноябрь 2024;1 913;0,0000164;
декабрь 2024;1 423;0,0000118;
январь 2025;1 490;0,0000125;
февраль 2025;1 478;0,0000129;
март 2025;1 903;0,0000158;
апрель 2025;2 301;0,0000201;
май 2025;2 834;0,0000265;
июнь 2025;3 586;0,0000339;
