Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Валики», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;189 023;0,0024;
февраль 2018;209 378;0,0027;
март 2018;221 621;0,0026;
апрель 2018;202 699;0,0026;
май 2018;204 803;0,0027;
июнь 2018;210 830;0,0030;
июль 2018;221 223;0,0031;
август 2018;235 488;0,0033;
сентябрь 2018;224 483;0,0028;
октябрь 2018;254 213;0,0027;
ноябрь 2018;233 092;0,0027;
декабрь 2018;231 690;0,0027;
январь 2019;246 903;0,0028;
февраль 2019;280 737;0,0033;
март 2019;278 796;0,0031;
апрель 2019;262 912;0,0031;
май 2019;252 696;0,0031;
июнь 2019;244 020;0,0033;
июль 2019;261 030;0,0035;
август 2019;268 757;0,0036;
сентябрь 2019;257 387;0,0032;
октябрь 2019;284 427;0,0032;
ноябрь 2019;276 130;0,0031;
декабрь 2019;269 843;0,0029;
январь 2020;285 619;0,0029;
февраль 2020;345 545;0,0037;
март 2020;319 521;0,0032;
апрель 2020;367 295;0,0030;
май 2020;382 666;0,0035;
июнь 2020;345 631;0,0038;
июль 2020;319 586;0,0037;
август 2020;306 928;0,0036;
сентябрь 2020;301 914;0,0031;
октябрь 2020;332 651;0,0030;
ноябрь 2020;340 776;0,0029;
декабрь 2020;324 744;0,0029;
январь 2021;313 291;0,0030;
февраль 2021;350 864;0,0035;
март 2021;376 284;0,0034;
апрель 2021;373 613;0,0034;
май 2021;345 693;0,0033;
июнь 2021;354 321;0,0035;
июль 2021;341 049;0,0035;
август 2021;360 691;0,0035;
сентябрь 2021;328 302;0,0030;
октябрь 2021;341 713;0,0030;
ноябрь 2021;360 512;0,0031;
декабрь 2021;358 450;0,0030;
январь 2022;367 177;0,0030;
февраль 2022;403 820;0,0034;
март 2022;390 955;0,0030;
апрель 2022;401 540;0,0033;
май 2022;397 759;0,0033;
июнь 2022;391 414;0,0036;
июль 2022;383 458;0,0036;
август 2022;388 836;0,0036;
сентябрь 2022;330 959;0,0028;
октябрь 2022;349 146;0,0028;
ноябрь 2022;386 355;0,0030;
декабрь 2022;330 512;0,0026;
январь 2023;344 563;0,0027;
февраль 2023;387 696;0,0033;
март 2023;433 144;0,0034;
апрель 2023;399 024;0,0034;
май 2023;376 047;0,0033;
июнь 2023;380 589;0,0037;
июль 2023;384 949;0,0038;
август 2023;374 959;0,0037;
сентябрь 2023;342 246;0,0031;
октябрь 2023;372 061;0,0031;
ноябрь 2023;375 760;0,0032;
декабрь 2023;328 011;0,0027;
январь 2024;341 076;0,0028;
февраль 2024;374 196;0,0033;
март 2024;413 682;0,0035;
апрель 2024;415 904;0,0038;
май 2024;375 660;0,0035;
июнь 2024;349 343;0,0037;
июль 2024;360 315;0,0038;
август 2024;356 103;0,0038;
сентябрь 2024;344 532;0,0034;
октябрь 2024;367 250;0,0032;
ноябрь 2024;389 359;0,0033;
декабрь 2024;376 011;0,0031;
январь 2025;376 907;0,0031;
февраль 2025;399 711;0,0035;
март 2025;445 782;0,0037;
апрель 2025;433 911;0,0038;
май 2025;400 390;0,0037;
июнь 2025;429 542;0,0040;
