Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Термопоты», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;90 231;0,00116;
февраль 2018;91 467;0,00118;
март 2018;97 286;0,00115;
апрель 2018;74 540;0,00098;
май 2018;70 574;0,00093;
июнь 2018;67 155;0,00096;
июль 2018;67 202;0,00096;
август 2018;77 683;0,00110;
сентябрь 2018;85 043;0,00107;
октябрь 2018;103 649;0,00112;
ноябрь 2018;102 990;0,00121;
декабрь 2018;114 007;0,00133;
январь 2019;110 138;0,00125;
февраль 2019;104 409;0,00124;
март 2019;104 446;0,00118;
апрель 2019;85 013;0,00102;
май 2019;80 529;0,00101;
июнь 2019;74 869;0,00103;
июль 2019;82 097;0,00111;
август 2019;86 521;0,00119;
сентябрь 2019;95 341;0,00121;
октябрь 2019;104 040;0,00117;
ноябрь 2019;110 001;0,00123;
декабрь 2019;123 628;0,00133;
январь 2020;123 608;0,00127;
февраль 2020;121 948;0,00132;
март 2020;109 877;0,00111;
апрель 2020;89 224;0,00074;
май 2020;104 670;0,00097;
июнь 2020;94 797;0,00106;
июль 2020;92 804;0,00110;
август 2020;98 475;0,00117;
сентябрь 2020;106 880;0,00112;
октябрь 2020;118 747;0,00110;
ноябрь 2020;127 297;0,00111;
декабрь 2020;141 452;0,00127;
январь 2021;133 212;0,00127;
февраль 2021;126 256;0,00126;
март 2021;129 385;0,00118;
апрель 2021;112 174;0,00104;
май 2021;106 548;0,00103;
июнь 2021;112 590;0,00113;
июль 2021;112 292;0,00115;
август 2021;132 005;0,00131;
сентябрь 2021;132 001;0,00123;
октябрь 2021;129 503;0,00113;
ноябрь 2021;143 829;0,00124;
декабрь 2021;160 539;0,00135;
январь 2022;155 027;0,00130;
февраль 2022;138 859;0,00117;
март 2022;143 189;0,00112;
апрель 2022;125 859;0,00105;
май 2022;127 293;0,00106;
июнь 2022;112 476;0,00104;
июль 2022;110 302;0,00105;
август 2022;118 479;0,00109;
сентябрь 2022;124 103;0,00106;
октябрь 2022;134 979;0,00109;
ноябрь 2022;150 381;0,00119;
декабрь 2022;158 219;0,00125;
январь 2023;150 678;0,00122;
февраль 2023;138 240;0,00121;
март 2023;140 466;0,00112;
апрель 2023;115 587;0,00100;
май 2023;116 157;0,00102;
июнь 2023;115 539;0,00112;
июль 2023;107 108;0,00106;
август 2023;113 306;0,00112;
сентябрь 2023;122 676;0,00114;
октябрь 2023;152 260;0,00127;
ноябрь 2023;146 589;0,00124;
декабрь 2023;149 977;0,00125;
январь 2024;149 550;0,00124;
февраль 2024;143 091;0,00127;
март 2024;133 752;0,00115;
апрель 2024;111 612;0,00102;
май 2024;119 286;0,00111;
июнь 2024;92 095;0,00098;
июль 2024;94 629;0,00101;
август 2024;95 460;0,00102;
сентябрь 2024;101 401;0,00102;
октябрь 2024;117 804;0,00104;
ноябрь 2024;126 786;0,00109;
декабрь 2024;135 921;0,00113;
январь 2025;128 520;0,00108;
февраль 2025;127 784;0,00111;
март 2025;120 885;0,00100;
апрель 2025;100 955;0,00088;
май 2025;98 405;0,00092;
июнь 2025;97 478;0,00092;
