Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Металлические профили», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;29 904;0,00038;
февраль 2018;32 315;0,00041;
март 2018;37 509;0,00044;
апрель 2018;41 976;0,00055;
май 2018;45 924;0,00061;
июнь 2018;41 417;0,00059;
июль 2018;43 162;0,00061;
август 2018;44 324;0,00062;
сентябрь 2018;41 384;0,00052;
октябрь 2018;45 795;0,00049;
ноябрь 2018;37 342;0,00043;
декабрь 2018;29 109;0,00034;
январь 2019;33 403;0,00037;
февраль 2019;36 817;0,00043;
март 2019;43 397;0,00049;
апрель 2019;49 651;0,00060;
май 2019;48 789;0,00061;
июнь 2019;44 556;0,00061;
июль 2019;47 137;0,00064;
август 2019;43 643;0,00060;
сентябрь 2019;40 770;0,00051;
октябрь 2019;43 209;0,00048;
ноябрь 2019;39 063;0,00044;
декабрь 2019;34 894;0,00037;
январь 2020;40 139;0,00041;
февраль 2020;42 270;0,00045;
март 2020;48 884;0,00049;
апрель 2020;57 134;0,00047;
май 2020;68 763;0,00064;
июнь 2020;67 423;0,00075;
июль 2020;64 462;0,00076;
август 2020;58 487;0,00069;
сентябрь 2020;56 964;0,00059;
октябрь 2020;55 038;0,00051;
ноябрь 2020;51 552;0,00044;
декабрь 2020;41 407;0,00037;
январь 2021;42 218;0,00040;
февраль 2021;46 289;0,00046;
март 2021;57 733;0,00053;
апрель 2021;73 106;0,00067;
май 2021;70 821;0,00068;
июнь 2021;70 099;0,00070;
июль 2021;65 461;0,00067;
август 2021;68 514;0,00068;
сентябрь 2021;62 338;0,00058;
октябрь 2021;59 538;0,00052;
ноябрь 2021;57 614;0,00049;
декабрь 2021;47 515;0,00040;
январь 2022;51 468;0,00043;
февраль 2022;56 264;0,00047;
март 2022;71 544;0,00056;
апрель 2022;80 908;0,00067;
май 2022;89 367;0,00074;
июнь 2022;81 170;0,00075;
июль 2022;71 459;0,00068;
август 2022;69 004;0,00064;
сентябрь 2022;58 020;0,00049;
октябрь 2022;55 321;0,00044;
ноябрь 2022;54 570;0,00043;
декабрь 2022;42 653;0,00033;
январь 2023;47 538;0,00038;
февраль 2023;52 461;0,00045;
март 2023;70 728;0,00056;
апрель 2023;79 990;0,00069;
май 2023;79 552;0,00070;
июнь 2023;72 543;0,00070;
июль 2023;71 111;0,00070;
август 2023;67 727;0,00067;
сентябрь 2023;64 051;0,00059;
октябрь 2023;63 482;0,00053;
ноябрь 2023;56 102;0,00047;
декабрь 2023;42 246;0,00035;
январь 2024;46 723;0,00038;
февраль 2024;55 062;0,00049;
март 2024;65 902;0,00057;
апрель 2024;80 650;0,00074;
май 2024;79 897;0,00075;
июнь 2024;67 714;0,00072;
июль 2024;69 144;0,00074;
август 2024;66 415;0,00071;
сентябрь 2024;63 214;0,00063;
октябрь 2024;62 550;0,00055;
ноябрь 2024;57 944;0,00049;
декабрь 2024;50 002;0,00041;
январь 2025;53 682;0,00045;
февраль 2025;60 309;0,00052;
март 2025;71 494;0,00059;
апрель 2025;77 767;0,00068;
май 2025;73 523;0,00068;
июнь 2025;77 066;0,00073;
