Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Труборезы», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;17 815;0,00022;
февраль 2018;19 819;0,00025;
март 2018;24 213;0,00028;
апрель 2018;20 398;0,00026;
май 2018;19 999;0,00026;
июнь 2018;18 844;0,00027;
июль 2018;22 454;0,00032;
август 2018;19 330;0,00027;
сентябрь 2018;19 335;0,00024;
октябрь 2018;22 377;0,00024;
ноябрь 2018;20 603;0,00024;
декабрь 2018;17 843;0,00020;
январь 2019;19 331;0,00021;
февраль 2019;20 523;0,00024;
март 2019;21 467;0,00024;
апрель 2019;20 133;0,00024;
май 2019;16 761;0,00021;
июнь 2019;17 216;0,00023;
июль 2019;18 605;0,00025;
август 2019;17 585;0,00024;
сентябрь 2019;18 909;0,00024;
октябрь 2019;21 018;0,00023;
ноябрь 2019;20 274;0,00022;
декабрь 2019;19 705;0,00021;
январь 2020;21 312;0,00021;
февраль 2020;23 466;0,00025;
март 2020;20 577;0,00020;
апрель 2020;17 950;0,00015;
май 2020;21 111;0,00019;
июнь 2020;21 075;0,00023;
июль 2020;21 229;0,00025;
август 2020;20 050;0,00023;
сентябрь 2020;22 106;0,00023;
октябрь 2020;23 279;0,00021;
ноябрь 2020;22 832;0,00019;
декабрь 2020;22 606;0,00020;
январь 2021;20 179;0,00019;
февраль 2021;23 144;0,00023;
март 2021;26 399;0,00024;
апрель 2021;26 317;0,00024;
май 2021;23 354;0,00022;
июнь 2021;24 663;0,00024;
июль 2021;23 865;0,00024;
август 2021;26 762;0,00026;
сентябрь 2021;30 332;0,00028;
октябрь 2021;28 742;0,00025;
ноябрь 2021;29 483;0,00025;
декабрь 2021;28 866;0,00024;
январь 2022;27 710;0,00023;
февраль 2022;28 022;0,00023;
март 2022;27 100;0,00021;
апрель 2022;28 369;0,00023;
май 2022;29 399;0,00024;
июнь 2022;28 274;0,00026;
июль 2022;27 092;0,00025;
август 2022;26 837;0,00024;
сентябрь 2022;27 057;0,00023;
октябрь 2022;27 023;0,00021;
ноябрь 2022;29 393;0,00023;
декабрь 2022;25 564;0,00020;
январь 2023;28 669;0,00023;
февраль 2023;30 377;0,00026;
март 2023;33 374;0,00026;
апрель 2023;29 901;0,00025;
май 2023;31 472;0,00027;
июнь 2023;29 968;0,00029;
июль 2023;28 319;0,00028;
август 2023;29 210;0,00029;
сентябрь 2023;29 371;0,00027;
октябрь 2023;34 189;0,00028;
ноябрь 2023;32 132;0,00027;
декабрь 2023;28 479;0,00023;
январь 2024;29 434;0,00024;
февраль 2024;35 197;0,00031;
март 2024;33 758;0,00029;
апрель 2024;33 788;0,00031;
май 2024;33 409;0,00031;
июнь 2024;30 903;0,00033;
июль 2024;32 765;0,00035;
август 2024;28 045;0,00029;
сентябрь 2024;29 317;0,00029;
октябрь 2024;34 587;0,00030;
ноябрь 2024;34 776;0,00029;
декабрь 2024;32 675;0,00027;
январь 2025;31 490;0,00026;
февраль 2025;36 191;0,00031;
март 2025;37 734;0,00031;
апрель 2025;34 722;0,00030;
май 2025;32 219;0,00030;
июнь 2025;35 869;0,00033;
