Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Крючки», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;3 978 711;0,051;
февраль 2018;4 017 287;0,051;
март 2018;4 529 989;0,053;
апрель 2018;3 374 020;0,044;
май 2018;3 312 880;0,044;
июнь 2018;2 704 191;0,038;
июль 2018;2 673 791;0,038;
август 2018;2 550 493;0,036;
сентябрь 2018;2 827 605;0,035;
октябрь 2018;3 852 345;0,041;
ноябрь 2018;4 164 911;0,049;
декабрь 2018;3 994 564;0,046;
январь 2019;4 324 158;0,049;
февраль 2019;4 300 627;0,051;
март 2019;4 118 891;0,046;
апрель 2019;3 355 351;0,040;
май 2019;3 096 657;0,039;
июнь 2019;2 760 964;0,038;
июль 2019;2 880 532;0,039;
август 2019;2 807 934;0,038;
сентябрь 2019;3 051 927;0,038;
октябрь 2019;3 730 349;0,042;
ноябрь 2019;4 008 041;0,045;
декабрь 2019;4 101 703;0,044;
январь 2020;4 195 848;0,043;
февраль 2020;3 962 519;0,043;
март 2020;3 871 950;0,039;
апрель 2020;4 429 484;0,037;
май 2020;3 815 846;0,035;
июнь 2020;3 056 517;0,034;
июль 2020;2 618 912;0,031;
август 2020;2 451 505;0,029;
сентябрь 2020;2 545 371;0,026;
октябрь 2020;3 309 672;0,030;
ноябрь 2020;3 999 293;0,034;
декабрь 2020;3 846 715;0,034;
январь 2021;3 818 550;0,036;
февраль 2021;3 616 777;0,036;
март 2021;3 705 019;0,034;
апрель 2021;3 300 128;0,030;
май 2021;2 879 409;0,027;
июнь 2021;2 722 077;0,027;
июль 2021;2 745 451;0,028;
август 2021;2 759 582;0,027;
сентябрь 2021;3 069 184;0,028;
октябрь 2021;3 584 145;0,031;
ноябрь 2021;4 216 651;0,036;
декабрь 2021;4 297 106;0,036;
январь 2022;4 415 905;0,037;
февраль 2022;4 141 699;0,035;
март 2022;4 137 963;0,032;
апрель 2022;3 693 000;0,030;
май 2022;3 473 214;0,029;
июнь 2022;3 057 051;0,028;
июль 2022;3 038 212;0,029;
август 2022;2 913 095;0,027;
сентябрь 2022;3 071 803;0,026;
октябрь 2022;3 730 562;0,030;
ноябрь 2022;4 417 094;0,035;
декабрь 2022;4 256 834;0,033;
январь 2023;4 121 532;0,033;
февраль 2023;3 821 834;0,033;
март 2023;3 963 633;0,031;
апрель 2023;3 050 629;0,026;
май 2023;2 827 409;0,024;
июнь 2023;2 688 055;0,026;
июль 2023;2 754 624;0,027;
август 2023;2 539 409;0,025;
сентябрь 2023;2 667 467;0,024;
октябрь 2023;3 453 461;0,028;
ноябрь 2023;3 958 880;0,033;
декабрь 2023;3 729 422;0,031;
январь 2024;3 704 740;0,030;
февраль 2024;3 529 610;0,031;
март 2024;3 327 185;0,028;
апрель 2024;2 834 800;0,026;
май 2024;2 656 687;0,024;
июнь 2024;2 380 097;0,025;
июль 2024;2 494 838;0,026;
август 2024;2 576 734;0,027;
сентябрь 2024;2 599 140;0,026;
октябрь 2024;3 469 353;0,030;
ноябрь 2024;3 957 524;0,034;
декабрь 2024;4 009 700;0,033;
январь 2025;4 009 040;0,033;
февраль 2025;3 781 395;0,033;
март 2025;3 629 871;0,030;
апрель 2025;3 016 331;0,026;
май 2025;2 883 060;0,027;
июнь 2025;3 091 558;0,029;
