Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Душевые стойки с верхним душем», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;403;0,0000051;
февраль 2018;359;0,0000046;
март 2018;410;0,0000048;
апрель 2018;257;0,0000033;
май 2018;291;0,0000038;
июнь 2018;483;0,0000069;
июль 2018;398;0,0000056;
август 2018;510;0,0000072;
сентябрь 2018;369;0,0000046;
октябрь 2018;656;0,0000071;
ноябрь 2018;407;0,0000047;
декабрь 2018;327;0,0000038;
январь 2019;460;0,0000052;
февраль 2019;558;0,0000066;
март 2019;725;0,0000082;
апрель 2019;800;0,0000096;
май 2019;822;0,0000103;
июнь 2019;670;0,0000092;
июль 2019;783;0,0000106;
август 2019;691;0,0000095;
сентябрь 2019;642;0,0000081;
октябрь 2019;551;0,0000062;
ноябрь 2019;402;0,0000045;
декабрь 2019;475;0,0000051;
январь 2020;460;0,0000047;
февраль 2020;575;0,0000062;
март 2020;577;0,0000058;
апрель 2020;328;0,0000027;
май 2020;414;0,0000038;
июнь 2020;559;0,0000062;
июль 2020;771;0,0000091;
август 2020;681;0,0000081;
сентябрь 2020;703;0,0000074;
октябрь 2020;798;0,0000074;
ноябрь 2020;773;0,0000067;
декабрь 2020;841;0,0000076;
январь 2021;668;0,0000063;
февраль 2021;732;0,0000073;
март 2021;723;0,0000066;
апрель 2021;575;0,0000053;
май 2021;485;0,0000047;
июнь 2021;672;0,0000067;
июль 2021;734;0,0000075;
август 2021;751;0,0000074;
сентябрь 2021;604;0,0000056;
октябрь 2021;558;0,0000049;
ноябрь 2021;684;0,0000059;
декабрь 2021;676;0,0000057;
январь 2022;593;0,0000049;
февраль 2022;620;0,0000052;
март 2022;679;0,0000053;
апрель 2022;467;0,0000039;
май 2022;478;0,0000040;
июнь 2022;437;0,0000040;
июль 2022;389;0,0000037;
август 2022;476;0,0000044;
сентябрь 2022;395;0,0000033;
октябрь 2022;520;0,0000042;
ноябрь 2022;492;0,0000038;
декабрь 2022;401;0,0000031;
январь 2023;405;0,0000032;
февраль 2023;389;0,0000034;
март 2023;433;0,0000034;
апрель 2023;456;0,0000039;
май 2023;402;0,0000035;
июнь 2023;401;0,0000039;
июль 2023;415;0,0000041;
август 2023;410;0,0000040;
сентябрь 2023;420;0,0000039;
октябрь 2023;426;0,0000035;
ноябрь 2023;508;0,0000043;
декабрь 2023;395;0,0000033;
январь 2024;433;0,0000035;
февраль 2024;442;0,0000039;
март 2024;436;0,0000037;
апрель 2024;347;0,0000031;
май 2024;428;0,0000040;
июнь 2024;273;0,0000029;
июль 2024;354;0,0000038;
август 2024;311;0,0000033;
сентябрь 2024;340;0,0000034;
октябрь 2024;380;0,0000033;
ноябрь 2024;388;0,0000033;
декабрь 2024;435;0,0000036;
январь 2025;320;0,0000026;
февраль 2025;373;0,0000032;
март 2025;396;0,0000033;
апрель 2025;418;0,0000036;
май 2025;368;0,0000034;
июнь 2025;370;0,0000035;
