Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Мембраны», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;279 869;0,0036;
февраль 2018;270 440;0,0034;
март 2018;306 465;0,0036;
апрель 2018;282 883;0,0037;
май 2018;288 323;0,0038;
июнь 2018;253 467;0,0036;
июль 2018;237 143;0,0033;
август 2018;259 537;0,0036;
сентябрь 2018;452 264;0,0057;
октябрь 2018;565 100;0,0061;
ноябрь 2018;459 613;0,0054;
декабрь 2018;358 224;0,0041;
январь 2019;320 628;0,0036;
февраль 2019;328 527;0,0039;
март 2019;339 325;0,0038;
апрель 2019;331 853;0,0040;
май 2019;309 755;0,0039;
июнь 2019;290 605;0,0040;
июль 2019;268 737;0,0036;
август 2019;302 178;0,0041;
сентябрь 2019;482 261;0,0061;
октябрь 2019;595 167;0,0067;
ноябрь 2019;502 756;0,0056;
декабрь 2019;425 736;0,0045;
январь 2020;367 043;0,0037;
февраль 2020;372 256;0,0040;
март 2020;406 704;0,0041;
апрель 2020;558 590;0,0046;
май 2020;624 478;0,0058;
июнь 2020;463 720;0,0051;
июль 2020;330 778;0,0039;
август 2020;311 112;0,0037;
сентябрь 2020;670 229;0,0070;
октябрь 2020;895 618;0,0083;
ноябрь 2020;932 249;0,0081;
декабрь 2020;730 682;0,0066;
январь 2021;474 290;0,0045;
февраль 2021;476 158;0,0047;
март 2021;518 494;0,0047;
апрель 2021;520 419;0,0048;
май 2021;491 780;0,0047;
июнь 2021;479 537;0,0048;
июль 2021;376 344;0,0038;
август 2021;395 343;0,0039;
сентябрь 2021;799 414;0,0074;
октябрь 2021;941 422;0,0082;
ноябрь 2021;842 960;0,0072;
декабрь 2021;687 064;0,0057;
январь 2022;528 338;0,0044;
февраль 2022;546 647;0,0046;
март 2022;568 739;0,0044;
апрель 2022;535 083;0,0044;
май 2022;550 872;0,0046;
июнь 2022;503 601;0,0046;
июль 2022;402 201;0,0038;
август 2022;423 985;0,0039;
сентябрь 2022;838 693;0,0071;
октябрь 2022;1 016 402;0,0082;
ноябрь 2022;844 314;0,0066;
декабрь 2022;675 872;0,0053;
январь 2023;515 699;0,0041;
февраль 2023;508 766;0,0044;
март 2023;581 361;0,0046;
апрель 2023;537 731;0,0046;
май 2023;551 567;0,0048;
июнь 2023;480 804;0,0046;
июль 2023;406 373;0,0040;
август 2023;411 403;0,0040;
сентябрь 2023;832 553;0,0077;
октябрь 2023;1 099 987;0,0092;
ноябрь 2023;867 915;0,0073;
декабрь 2023;745 623;0,0062;
январь 2024;557 759;0,0046;
февраль 2024;567 442;0,0050;
март 2024;571 572;0,0049;
апрель 2024;579 530;0,0053;
май 2024;564 166;0,0052;
июнь 2024;486 902;0,0052;
июль 2024;423 432;0,0045;
август 2024;411 688;0,0044;
сентябрь 2024;900 733;0,0090;
октябрь 2024;1 140 422;0,0101;
ноябрь 2024;992 080;0,0085;
декабрь 2024;883 023;0,0073;
январь 2025;635 492;0,0053;
февраль 2025;667 223;0,0058;
март 2025;669 992;0,0055;
апрель 2025;665 278;0,0058;
май 2025;617 855;0,0057;
июнь 2025;593 821;0,0056;
