Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Мотоблоки», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;855 440;0,0110;
февраль 2018;1 017 926;0,0131;
март 2018;1 293 147;0,0153;
апрель 2018;1 703 345;0,0224;
май 2018;2 215 980;0,0294;
июнь 2018;1 058 107;0,0152;
июль 2018;771 270;0,0110;
август 2018;903 949;0,0128;
сентябрь 2018;1 176 243;0,0148;
октябрь 2018;1 189 919;0,0129;
ноябрь 2018;842 465;0,0099;
декабрь 2018;815 621;0,0095;
январь 2019;1 111 501;0,0126;
февраль 2019;1 124 370;0,0134;
март 2019;1 380 565;0,0157;
апрель 2019;1 884 846;0,0228;
май 2019;2 123 320;0,0268;
июнь 2019;1 039 658;0,0143;
июль 2019;777 931;0,0105;
август 2019;879 707;0,0121;
сентябрь 2019;1 118 433;0,0142;
октябрь 2019;1 097 372;0,0124;
ноябрь 2019;831 251;0,0093;
декабрь 2019;852 243;0,0091;
январь 2020;1 058 863;0,0108;
февраль 2020;1 137 793;0,0123;
март 2020;1 518 634;0,0154;
апрель 2020;2 214 521;0,0185;
май 2020;3 076 854;0,0286;
июнь 2020;1 541 050;0,0172;
июль 2020;1 021 382;0,0121;
август 2020;1 141 388;0,0136;
сентябрь 2020;1 468 763;0,0154;
октябрь 2020;1 515 326;0,0140;
ноябрь 2020;1 154 315;0,0100;
декабрь 2020;936 173;0,0084;
январь 2021;1 253 690;0,0120;
февраль 2021;1 356 600;0,0135;
март 2021;1 619 129;0,0148;
апрель 2021;2 318 067;0,0215;
май 2021;3 243 041;0,0314;
июнь 2021;1 628 330;0,0164;
июль 2021;1 113 187;0,0114;
август 2021;1 327 234;0,0132;
сентябрь 2021;1 621 089;0,0151;
октябрь 2021;1 597 139;0,0140;
ноябрь 2021;1 251 267;0,0107;
декабрь 2021;1 214 624;0,0102;
январь 2022;1 598 188;0,0134;
февраль 2022;1 447 796;0,0122;
март 2022;2 014 637;0,0158;
апрель 2022;2 808 838;0,0234;
май 2022;4 069 233;0,0341;
июнь 2022;1 913 997;0,0178;
июль 2022;1 270 644;0,0121;
август 2022;1 420 207;0,0131;
сентябрь 2022;1 571 632;0,0134;
октябрь 2022;1 421 871;0,0114;
ноябрь 2022;1 211 244;0,0095;
декабрь 2022;1 163 609;0,0092;
январь 2023;1 188 321;0,0096;
февраль 2023;1 226 780;0,0107;
март 2023;1 805 014;0,0145;
апрель 2023;2 848 920;0,0246;
май 2023;3 249 659;0,0287;
июнь 2023;1 460 618;0,0142;
июль 2023;1 088 644;0,0107;
август 2023;1 270 368;0,0126;
сентябрь 2023;1 642 428;0,0152;
октябрь 2023;1 479 245;0,0124;
ноябрь 2023;1 206 950;0,0102;
декабрь 2023;1 208 704;0,0101;
январь 2024;1 272 948;0,0105;
февраль 2024;1 318 031;0,0117;
март 2024;1 588 106;0,0137;
апрель 2024;2 553 074;0,0235;
май 2024;3 086 359;0,0289;
июнь 2024;1 493 138;0,0159;
июль 2024;1 050 257;0,0112;
август 2024;1 164 015;0,0124;
сентябрь 2024;1 499 506;0,0150;
октябрь 2024;1 412 812;0,0125;
ноябрь 2024;1 031 656;0,0088;
декабрь 2024;958 287;0,0079;
январь 2025;1 084 109;0,0091;
февраль 2025;1 053 442;0,0092;
март 2025;1 600 422;0,0133;
апрель 2025;2 322 372;0,0203;
май 2025;3 242 701;0,0303;
июнь 2025;1 705 156;0,0161;
