Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Тумбы под раковину», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;39 925;0,00051;
февраль 2018;37 977;0,00048;
март 2018;41 867;0,00049;
апрель 2018;36 632;0,00048;
май 2018;37 594;0,00050;
июнь 2018;38 444;0,00055;
июль 2018;46 450;0,00066;
август 2018;48 393;0,00068;
сентябрь 2018;45 208;0,00057;
октябрь 2018;54 867;0,00059;
ноябрь 2018;52 323;0,00061;
декабрь 2018;45 536;0,00053;
январь 2019;56 934;0,00064;
февраль 2019;64 384;0,00076;
март 2019;69 428;0,00079;
апрель 2019;61 960;0,00074;
май 2019;57 520;0,00072;
июнь 2019;59 315;0,00081;
июль 2019;66 902;0,00090;
август 2019;66 795;0,00091;
сентябрь 2019;62 133;0,00078;
октябрь 2019;74 757;0,00084;
ноябрь 2019;86 473;0,00097;
декабрь 2019;114 506;0,00123;
январь 2020;113 876;0,00117;
февраль 2020;67 140;0,00073;
март 2020;66 321;0,00067;
апрель 2020;58 688;0,00049;
май 2020;73 546;0,00068;
июнь 2020;76 399;0,00085;
июль 2020;84 057;0,00099;
август 2020;84 466;0,00100;
сентябрь 2020;81 927;0,00086;
октябрь 2020;96 149;0,00089;
ноябрь 2020;107 862;0,00094;
декабрь 2020;93 200;0,00084;
январь 2021;105 431;0,00101;
февраль 2021;100 737;0,00100;
март 2021;103 630;0,00095;
апрель 2021;95 479;0,00088;
май 2021;92 581;0,00089;
июнь 2021;93 261;0,00094;
июль 2021;106 254;0,00109;
август 2021;120 913;0,00120;
сентябрь 2021;113 750;0,00106;
октябрь 2021;111 316;0,00097;
ноябрь 2021;126 417;0,00109;
декабрь 2021;110 781;0,00093;
январь 2022;123 291;0,00103;
февраль 2022;112 937;0,00095;
март 2022;135 704;0,00106;
апрель 2022;106 767;0,00089;
май 2022;96 827;0,00081;
июнь 2022;88 635;0,00082;
июль 2022;94 974;0,00091;
август 2022;96 647;0,00089;
сентябрь 2022;83 719;0,00071;
октябрь 2022;92 376;0,00074;
ноябрь 2022;100 966;0,00080;
декабрь 2022;86 665;0,00068;
январь 2023;105 013;0,00085;
февраль 2023;96 846;0,00084;
март 2023;96 408;0,00077;
апрель 2023;80 863;0,00070;
май 2023;82 760;0,00073;
июнь 2023;91 009;0,00088;
июль 2023;96 501;0,00095;
август 2023;99 158;0,00098;
сентябрь 2023;96 518;0,00089;
октябрь 2023;119 544;0,00100;
ноябрь 2023;118 412;0,00100;
декабрь 2023;86 839;0,00072;
январь 2024;101 465;0,00084;
февраль 2024;99 149;0,00088;
март 2024;97 836;0,00084;
апрель 2024;86 101;0,00079;
май 2024;82 507;0,00077;
июнь 2024;76 063;0,00081;
июль 2024;85 778;0,00092;
август 2024;90 429;0,00096;
сентябрь 2024;79 551;0,00080;
октябрь 2024;89 999;0,00080;
ноябрь 2024;101 663;0,00087;
декабрь 2024;89 896;0,00074;
январь 2025;99 483;0,00083;
февраль 2025;90 083;0,00078;
март 2025;89 585;0,00074;
апрель 2025;80 843;0,00070;
май 2025;80 618;0,00075;
июнь 2025;94 897;0,00089;
