Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Цемент», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;270 747;0,0034;
февраль 2018;306 068;0,0039;
март 2018;380 783;0,0045;
апрель 2018;494 652;0,0065;
май 2018;626 336;0,0083;
июнь 2018;623 905;0,0089;
июль 2018;582 206;0,0083;
август 2018;555 989;0,0078;
сентябрь 2018;491 195;0,0061;
октябрь 2018;473 285;0,0051;
ноябрь 2018;337 217;0,0039;
декабрь 2018;276 527;0,0032;
январь 2019;303 641;0,0034;
февраль 2019;348 052;0,0041;
март 2019;446 129;0,0050;
апрель 2019;582 811;0,0070;
май 2019;655 555;0,0082;
июнь 2019;636 698;0,0087;
июль 2019;651 345;0,0088;
август 2019;554 827;0,0076;
сентябрь 2019;502 046;0,0063;
октябрь 2019;463 389;0,0052;
ноябрь 2019;369 548;0,0041;
декабрь 2019;346 830;0,0037;
январь 2020;379 324;0,0039;
февраль 2020;407 167;0,0044;
март 2020;514 408;0,0052;
апрель 2020;855 649;0,0071;
май 2020;1 028 321;0,0095;
июнь 2020;907 826;0,0101;
июль 2020;750 599;0,0089;
август 2020;682 718;0,0081;
сентябрь 2020;627 820;0,0066;
октябрь 2020;580 843;0,0053;
ноябрь 2020;489 177;0,0042;
декабрь 2020;411 928;0,0037;
январь 2021;386 616;0,0037;
февраль 2021;401 742;0,0040;
март 2021;538 443;0,0049;
апрель 2021;749 602;0,0069;
май 2021;867 393;0,0084;
июнь 2021;941 067;0,0094;
июль 2021;857 977;0,0088;
август 2021;834 671;0,0083;
сентябрь 2021;729 546;0,0068;
октябрь 2021;677 648;0,0059;
ноябрь 2021;541 003;0,0046;
декабрь 2021;440 162;0,0037;
январь 2022;426 205;0,0035;
февраль 2022;480 426;0,0040;
март 2022;728 534;0,0057;
апрель 2022;918 738;0,0076;
май 2022;1 120 358;0,0093;
июнь 2022;1 108 991;0,0103;
июль 2022;1 025 846;0,0098;
август 2022;938 399;0,0087;
сентябрь 2022;721 335;0,0061;
октябрь 2022;632 714;0,0051;
ноябрь 2022;524 515;0,0041;
декабрь 2022;401 418;0,0031;
январь 2023;419 465;0,0034;
февраль 2023;443 965;0,0038;
март 2023;635 266;0,0051;
апрель 2023;840 958;0,0072;
май 2023;1 009 733;0,0089;
июнь 2023;1 044 922;0,0101;
июль 2023;962 701;0,0095;
август 2023;869 231;0,0086;
сентябрь 2023;790 229;0,0073;
октябрь 2023;707 725;0,0059;
ноябрь 2023;512 217;0,0043;
декабрь 2023;393 147;0,0032;
январь 2024;391 168;0,0032;
февраль 2024;461 857;0,0041;
март 2024;575 610;0,0049;
апрель 2024;826 578;0,0076;
май 2024;906 600;0,0085;
июнь 2024;839 533;0,0089;
июль 2024;814 523;0,0087;
август 2024;742 641;0,0079;
сентябрь 2024;712 266;0,0071;
октябрь 2024;651 891;0,0058;
ноябрь 2024;513 230;0,0044;
декабрь 2024;435 864;0,0036;
январь 2025;432 684;0,0036;
февраль 2025;486 249;0,0042;
март 2025;631 211;0,0052;
апрель 2025;811 456;0,0071;
май 2025;898 015;0,0084;
июнь 2025;932 118;0,0088;
