Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Масла и присадки», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;1 843;0,000023;
февраль 2018;1 854;0,000023;
март 2018;2 022;0,000024;
апрель 2018;2 110;0,000027;
май 2018;2 062;0,000027;
июнь 2018;1 871;0,000026;
июль 2018;1 861;0,000026;
август 2018;1 840;0,000026;
сентябрь 2018;1 905;0,000024;
октябрь 2018;2 487;0,000026;
ноябрь 2018;1 935;0,000022;
декабрь 2018;1 914;0,000022;
январь 2019;1 767;0,000020;
февраль 2019;2 114;0,000025;
март 2019;2 150;0,000024;
апрель 2019;2 524;0,000030;
май 2019;1 805;0,000022;
июнь 2019;1 813;0,000025;
июль 2019;1 857;0,000025;
август 2019;1 593;0,000021;
сентябрь 2019;2 022;0,000025;
октябрь 2019;2 199;0,000024;
ноябрь 2019;2 005;0,000022;
декабрь 2019;2 036;0,000021;
январь 2020;2 058;0,000021;
февраль 2020;1 998;0,000021;
март 2020;2 125;0,000021;
апрель 2020;2 281;0,000019;
май 2020;2 218;0,000020;
июнь 2020;2 152;0,000024;
июль 2020;1 671;0,000019;
август 2020;1 747;0,000020;
сентябрь 2020;2 094;0,000022;
октябрь 2020;2 157;0,000020;
ноябрь 2020;2 212;0,000019;
декабрь 2020;2 158;0,000019;
январь 2021;1 650;0,000015;
февраль 2021;1 804;0,000018;
март 2021;2 209;0,000020;
апрель 2021;2 514;0,000023;
май 2021;2 369;0,000022;
июнь 2021;2 376;0,000023;
июль 2021;1 826;0,000018;
август 2021;2 039;0,000020;
сентябрь 2021;2 068;0,000019;
октябрь 2021;2 304;0,000020;
ноябрь 2021;2 305;0,000019;
декабрь 2021;2 310;0,000019;
январь 2022;2 125;0,000017;
февраль 2022;2 392;0,000020;
март 2022;3 225;0,000025;
апрель 2022;2 790;0,000023;
май 2022;2 976;0,000024;
июнь 2022;2 868;0,000026;
июль 2022;2 578;0,000024;
август 2022;2 390;0,000022;
сентябрь 2022;2 323;0,000019;
октябрь 2022;2 755;0,000022;
ноябрь 2022;2 957;0,000023;
декабрь 2022;2 672;0,000021;
январь 2023;2 286;0,000018;
февраль 2023;2 685;0,000023;
март 2023;3 025;0,000024;
апрель 2023;3 069;0,000026;
май 2023;2 859;0,000025;
июнь 2023;2 427;0,000023;
июль 2023;2 439;0,000024;
август 2023;2 376;0,000023;
сентябрь 2023;2 493;0,000023;
октябрь 2023;2 563;0,000021;
ноябрь 2023;2 757;0,000023;
декабрь 2023;2 416;0,000020;
январь 2024;2 176;0,000018;
февраль 2024;2 598;0,000023;
март 2024;2 849;0,000024;
апрель 2024;2 641;0,000024;
май 2024;2 826;0,000026;
июнь 2024;2 401;0,000025;
июль 2024;2 286;0,000024;
август 2024;2 294;0,000024;
сентябрь 2024;2 318;0,000023;
октябрь 2024;3 043;0,000027;
ноябрь 2024;3 308;0,000028;
декабрь 2024;3 265;0,000027;
январь 2025;2 643;0,000022;
февраль 2025;2 877;0,000025;
март 2025;3 049;0,000025;
апрель 2025;3 123;0,000027;
май 2025;3 014;0,000028;
июнь 2025;3 037;0,000028;
