Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Строительные добавки», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;675;0,0000086;
февраль 2018;714;0,0000092;
март 2018;823;0,0000097;
апрель 2018;952;0,0000125;
май 2018;926;0,0000123;
июнь 2018;749;0,0000107;
июль 2018;613;0,0000087;
август 2018;592;0,0000083;
сентябрь 2018;792;0,0000099;
октябрь 2018;1 043;0,0000113;
ноябрь 2018;2 492;0,0000293;
декабрь 2018;913;0,0000106;
январь 2019;811;0,0000092;
февраль 2019;706;0,0000084;
март 2019;744;0,0000084;
апрель 2019;882;0,0000106;
май 2019;765;0,0000096;
июнь 2019;904;0,0000124;
июль 2019;691;0,0000093;
август 2019;580;0,0000079;
сентябрь 2019;652;0,0000082;
октябрь 2019;875;0,0000098;
ноябрь 2019;946;0,0000106;
декабрь 2019;813;0,0000087;
январь 2020;762;0,0000078;
февраль 2020;718;0,0000078;
март 2020;850;0,0000086;
апрель 2020;1 347;0,0000112;
май 2020;1 521;0,0000141;
июнь 2020;1 317;0,0000147;
июль 2020;906;0,0000107;
август 2020;715;0,0000085;
сентябрь 2020;948;0,0000099;
октябрь 2020;1 268;0,0000117;
ноябрь 2020;1 321;0,0000115;
декабрь 2020;2 307;0,0000208;
январь 2021;957;0,0000091;
февраль 2021;923;0,0000092;
март 2021;1 011;0,0000092;
апрель 2021;1 234;0,0000114;
май 2021;856;0,0000082;
июнь 2021;1 138;0,0000114;
июль 2021;704;0,0000072;
август 2021;769;0,0000076;
сентябрь 2021;844;0,0000078;
октябрь 2021;1 042;0,0000091;
ноябрь 2021;1 165;0,0000100;
декабрь 2021;1 414;0,0000119;
январь 2022;890;0,0000074;
февраль 2022;1 001;0,0000084;
март 2022;1 301;0,0000102;
апрель 2022;1 108;0,0000092;
май 2022;1 234;0,0000103;
июнь 2022;1 185;0,0000110;
июль 2022;806;0,0000077;
август 2022;752;0,0000069;
сентябрь 2022;914;0,0000078;
октябрь 2022;1 164;0,0000094;
ноябрь 2022;1 641;0,0000130;
декабрь 2022;1 374;0,0000109;
январь 2023;916;0,0000074;
февраль 2023;829;0,0000072;
март 2023;1 056;0,0000084;
апрель 2023;1 034;0,0000089;
май 2023;994;0,0000087;
июнь 2023;1 060;0,0000103;
июль 2023;710;0,0000070;
август 2023;696;0,0000069;
сентябрь 2023;734;0,0000068;
октябрь 2023;1 162;0,0000097;
ноябрь 2023;1 310;0,0000111;
декабрь 2023;1 288;0,0000107;
январь 2024;829;0,0000068;
февраль 2024;983;0,0000087;
март 2024;1 006;0,0000087;
апрель 2024;974;0,0000089;
май 2024;1 142;0,0000107;
июнь 2024;1 044;0,0000111;
июль 2024;804;0,0000086;
август 2024;667;0,0000071;
сентябрь 2024;799;0,0000080;
октябрь 2024;1 379;0,0000122;
ноябрь 2024;1 465;0,0000126;
декабрь 2024;1 612;0,0000134;
январь 2025;1 310;0,0000110;
февраль 2025;1 245;0,0000109;
март 2025;1 343;0,0000112;
апрель 2025;1 369;0,0000120;
май 2025;1 448;0,0000135;
июнь 2025;1 205;0,0000114;
