Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Крючки мебельные», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;2 226;0,000028;
февраль 2018;2 504;0,000032;
март 2018;2 619;0,000031;
апрель 2018;2 343;0,000030;
май 2018;2 423;0,000032;
июнь 2018;2 047;0,000029;
июль 2018;2 298;0,000032;
август 2018;2 759;0,000039;
сентябрь 2018;2 520;0,000031;
октябрь 2018;3 467;0,000037;
ноябрь 2018;2 986;0,000035;
декабрь 2018;2 555;0,000029;
январь 2019;2 461;0,000027;
февраль 2019;2 906;0,000034;
март 2019;2 768;0,000031;
апрель 2019;2 262;0,000027;
май 2019;1 956;0,000024;
июнь 2019;2 044;0,000028;
июль 2019;2 588;0,000035;
август 2019;2 524;0,000034;
сентябрь 2019;2 603;0,000033;
октябрь 2019;3 308;0,000037;
ноябрь 2019;2 869;0,000032;
декабрь 2019;3 084;0,000033;
январь 2020;3 093;0,000031;
февраль 2020;3 233;0,000035;
март 2020;2 894;0,000029;
апрель 2020;2 364;0,000019;
май 2020;2 831;0,000026;
июнь 2020;3 033;0,000034;
июль 2020;3 216;0,000038;
август 2020;3 269;0,000038;
сентябрь 2020;3 988;0,000042;
октябрь 2020;4 026;0,000037;
ноябрь 2020;4 650;0,000040;
декабрь 2020;4 146;0,000037;
январь 2021;3 693;0,000035;
февраль 2021;3 931;0,000039;
март 2021;4 264;0,000039;
апрель 2021;4 144;0,000038;
май 2021;3 420;0,000033;
июнь 2021;3 450;0,000034;
июль 2021;4 086;0,000042;
август 2021;4 122;0,000041;
сентябрь 2021;5 340;0,000049;
октябрь 2021;5 109;0,000044;
ноябрь 2021;5 265;0,000045;
декабрь 2021;5 464;0,000046;
январь 2022;5 505;0,000046;
февраль 2022;5 363;0,000045;
март 2022;5 740;0,000045;
апрель 2022;6 380;0,000053;
май 2022;5 270;0,000044;
июнь 2022;4 527;0,000042;
июль 2022;4 417;0,000042;
август 2022;5 285;0,000049;
сентябрь 2022;5 429;0,000046;
октябрь 2022;5 544;0,000044;
ноябрь 2022;6 150;0,000048;
декабрь 2022;5 664;0,000045;
январь 2023;5 463;0,000044;
февраль 2023;5 725;0,000050;
март 2023;6 231;0,000050;
апрель 2023;5 056;0,000043;
май 2023;4 923;0,000043;
июнь 2023;4 762;0,000046;
июль 2023;4 546;0,000045;
август 2023;5 056;0,000050;
сентябрь 2023;4 803;0,000044;
октябрь 2023;5 767;0,000048;
ноябрь 2023;6 204;0,000052;
декабрь 2023;5 570;0,000046;
январь 2024;5 774;0,000047;
февраль 2024;5 514;0,000049;
март 2024;5 901;0,000051;
апрель 2024;5 111;0,000047;
май 2024;4 437;0,000041;
июнь 2024;3 946;0,000042;
июль 2024;4 037;0,000043;
август 2024;4 345;0,000046;
сентябрь 2024;4 491;0,000045;
октябрь 2024;5 345;0,000047;
ноябрь 2024;6 035;0,000051;
декабрь 2024;5 831;0,000048;
январь 2025;5 572;0,000046;
февраль 2025;5 899;0,000051;
март 2025;5 284;0,000044;
апрель 2025;4 771;0,000041;
май 2025;4 008;0,000037;
июнь 2025;4 500;0,000042;
