Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Счетчики для газа», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;9 369;0,000120;
февраль 2018;8 817;0,000113;
март 2018;9 004;0,000107;
апрель 2018;6 982;0,000092;
май 2018;6 210;0,000082;
июнь 2018;6 916;0,000099;
июль 2018;11 035;0,000157;
август 2018;10 601;0,000150;
сентябрь 2018;9 101;0,000114;
октябрь 2018;12 826;0,000139;
ноябрь 2018;11 702;0,000137;
декабрь 2018;11 357;0,000132;
январь 2019;16 216;0,000184;
февраль 2019;12 216;0,000145;
март 2019;9 704;0,000110;
апрель 2019;7 249;0,000087;
май 2019;5 910;0,000074;
июнь 2019;6 350;0,000087;
июль 2019;9 956;0,000135;
август 2019;9 331;0,000128;
сентябрь 2019;7 785;0,000098;
октябрь 2019;9 010;0,000101;
ноябрь 2019;9 511;0,000107;
декабрь 2019;9 378;0,000101;
январь 2020;9 971;0,000102;
февраль 2020;9 376;0,000101;
март 2020;7 223;0,000073;
апрель 2020;7 121;0,000059;
май 2020;6 688;0,000062;
июнь 2020;6 340;0,000071;
июль 2020;9 869;0,000117;
август 2020;11 955;0,000142;
сентябрь 2020;9 626;0,000101;
октябрь 2020;9 803;0,000091;
ноябрь 2020;10 698;0,000093;
декабрь 2020;11 368;0,000102;
январь 2021;11 718;0,000112;
февраль 2021;11 721;0,000117;
март 2021;11 279;0,000103;
апрель 2021;9 995;0,000092;
май 2021;7 591;0,000073;
июнь 2021;8 826;0,000088;
июль 2021;14 207;0,000146;
август 2021;14 744;0,000147;
сентябрь 2021;13 440;0,000125;
октябрь 2021;15 704;0,000138;
ноябрь 2021;14 687;0,000126;
декабрь 2021;15 256;0,000128;
январь 2022;16 280;0,000136;
февраль 2022;13 933;0,000117;
март 2022;16 637;0,000130;
апрель 2022;13 663;0,000114;
май 2022;11 900;0,000099;
июнь 2022;13 219;0,000123;
июль 2022;21 671;0,000207;
август 2022;19 172;0,000177;
сентябрь 2022;16 310;0,000139;
октябрь 2022;17 136;0,000138;
ноябрь 2022;20 526;0,000162;
декабрь 2022;27 945;0,000222;
январь 2023;22 464;0,000182;
февраль 2023;16 557;0,000145;
март 2023;15 723;0,000126;
апрель 2023;12 801;0,000110;
май 2023;11 380;0,000100;
июнь 2023;10 399;0,000101;
июль 2023;11 534;0,000114;
август 2023;10 970;0,000109;
сентябрь 2023;11 660;0,000108;
октябрь 2023;15 747;0,000132;
ноябрь 2023;16 839;0,000143;
декабрь 2023;16 603;0,000139;
январь 2024;16 395;0,000135;
февраль 2024;14 848;0,000132;
март 2024;12 740;0,000110;
апрель 2024;11 403;0,000105;
май 2024;10 617;0,000099;
июнь 2024;11 069;0,000118;
июль 2024;17 883;0,000192;
август 2024;14 645;0,000156;
сентябрь 2024;11 944;0,000120;
октябрь 2024;15 522;0,000138;
ноябрь 2024;16 405;0,000141;
декабрь 2024;15 797;0,000131;
январь 2025;14 921;0,000125;
февраль 2025;13 647;0,000119;
март 2025;11 602;0,000096;
апрель 2025;10 068;0,000088;
май 2025;8 638;0,000080;
июнь 2025;10 157;0,000096;
