Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Электролобзики», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;64 821;0,00083;
февраль 2018;63 500;0,00081;
март 2018;65 311;0,00077;
апрель 2018;55 838;0,00073;
май 2018;58 443;0,00077;
июнь 2018;59 207;0,00085;
июль 2018;64 548;0,00092;
август 2018;66 068;0,00093;
сентябрь 2018;68 512;0,00086;
октябрь 2018;82 252;0,00089;
ноябрь 2018;74 943;0,00088;
декабрь 2018;70 452;0,00082;
январь 2019;72 006;0,00081;
февраль 2019;77 337;0,00092;
март 2019;74 718;0,00085;
апрель 2019;66 052;0,00079;
май 2019;66 510;0,00084;
июнь 2019;62 794;0,00086;
июль 2019;68 866;0,00093;
август 2019;70 364;0,00096;
сентябрь 2019;69 342;0,00088;
октябрь 2019;75 130;0,00084;
ноябрь 2019;78 018;0,00087;
декабрь 2019;78 498;0,00084;
январь 2020;80 479;0,00082;
февраль 2020;83 386;0,00090;
март 2020;75 944;0,00077;
апрель 2020;77 666;0,00065;
май 2020;99 313;0,00092;
июнь 2020;94 174;0,00105;
июль 2020;86 769;0,00103;
август 2020;85 849;0,00102;
сентябрь 2020;82 680;0,00087;
октябрь 2020;91 240;0,00084;
ноябрь 2020;100 147;0,00087;
декабрь 2020;93 240;0,00084;
январь 2021;86 582;0,00082;
февраль 2021;87 531;0,00087;
март 2021;88 555;0,00081;
апрель 2021;85 832;0,00079;
май 2021;83 216;0,00080;
июнь 2021;82 424;0,00083;
июль 2021;81 256;0,00083;
август 2021;91 759;0,00091;
сентябрь 2021;88 526;0,00082;
октябрь 2021;89 727;0,00078;
ноябрь 2021;93 390;0,00080;
декабрь 2021;91 645;0,00077;
январь 2022;89 710;0,00075;
февраль 2022;89 133;0,00075;
март 2022;92 267;0,00072;
апрель 2022;85 386;0,00071;
май 2022;92 073;0,00077;
июнь 2022;82 974;0,00077;
июль 2022;83 120;0,00079;
август 2022;84 767;0,00078;
сентябрь 2022;75 287;0,00064;
октябрь 2022;79 212;0,00064;
ноябрь 2022;88 274;0,00069;
декабрь 2022;80 180;0,00063;
январь 2023;75 768;0,00061;
февраль 2023;82 411;0,00072;
март 2023;84 136;0,00067;
апрель 2023;73 296;0,00063;
май 2023;75 544;0,00066;
июнь 2023;74 448;0,00072;
июль 2023;76 395;0,00075;
август 2023;73 589;0,00073;
сентябрь 2023;73 833;0,00068;
октябрь 2023;82 992;0,00069;
ноябрь 2023;79 619;0,00067;
декабрь 2023;70 017;0,00058;
январь 2024;66 306;0,00055;
февраль 2024;73 345;0,00065;
март 2024;68 293;0,00059;
апрель 2024;64 253;0,00059;
май 2024;64 033;0,00060;
июнь 2024;57 503;0,00061;
июль 2024;59 030;0,00063;
август 2024;58 513;0,00062;
сентябрь 2024;57 131;0,00057;
октябрь 2024;62 960;0,00056;
ноябрь 2024;67 099;0,00057;
декабрь 2024;63 570;0,00052;
январь 2025;60 696;0,00051;
февраль 2025;65 316;0,00057;
март 2025;60 029;0,00050;
апрель 2025;56 889;0,00049;
май 2025;57 222;0,00053;
июнь 2025;55 988;0,00053;
