Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Плитка напольная», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;152 808;0,00196;
февраль 2018;148 930;0,00192;
март 2018;168 709;0,00200;
апрель 2018;154 164;0,00203;
май 2018;152 580;0,00203;
июнь 2018;149 279;0,00215;
июль 2018;165 931;0,00237;
август 2018;173 370;0,00245;
сентябрь 2018;147 234;0,00185;
октябрь 2018;179 199;0,00194;
ноябрь 2018;161 812;0,00190;
декабрь 2018;136 610;0,00159;
январь 2019;149 671;0,00169;
февраль 2019;153 720;0,00183;
март 2019;170 892;0,00194;
апрель 2019;145 044;0,00175;
май 2019;141 744;0,00179;
июнь 2019;143 731;0,00198;
июль 2019;166 446;0,00226;
август 2019;149 732;0,00205;
сентябрь 2019;138 125;0,00175;
октябрь 2019;146 714;0,00165;
ноябрь 2019;138 748;0,00156;
декабрь 2019;127 828;0,00137;
январь 2020;151 563;0,00155;
февраль 2020;146 376;0,00159;
март 2020;141 279;0,00143;
апрель 2020;143 134;0,00119;
май 2020;172 304;0,00160;
июнь 2020;170 416;0,00191;
июль 2020;175 994;0,00208;
август 2020;169 443;0,00202;
сентябрь 2020;159 482;0,00167;
октябрь 2020;180 865;0,00168;
ноябрь 2020;191 965;0,00167;
декабрь 2020;166 922;0,00151;
январь 2021;179 243;0,00171;
февраль 2021;165 674;0,00165;
март 2021;188 886;0,00173;
апрель 2021;177 005;0,00164;
май 2021;173 871;0,00168;
июнь 2021;178 511;0,00179;
июль 2021;192 254;0,00198;
август 2021;212 981;0,00212;
сентябрь 2021;194 487;0,00181;
октябрь 2021;183 848;0,00161;
ноябрь 2021;188 341;0,00162;
декабрь 2021;158 472;0,00133;
январь 2022;170 041;0,00142;
февраль 2022;160 916;0,00136;
март 2022;197 755;0,00155;
апрель 2022;167 489;0,00140;
май 2022;158 832;0,00133;
июнь 2022;153 367;0,00143;
июль 2022;162 517;0,00155;
август 2022;167 158;0,00155;
сентябрь 2022;137 005;0,00117;
октябрь 2022;137 618;0,00111;
ноябрь 2022;140 413;0,00111;
декабрь 2022;110 143;0,00087;
январь 2023;126 727;0,00102;
февраль 2023;123 234;0,00107;
март 2023;141 165;0,00113;
апрель 2023;126 924;0,00109;
май 2023;136 246;0,00120;
июнь 2023;136 964;0,00133;
июль 2023;143 439;0,00142;
август 2023;139 100;0,00138;
сентябрь 2023;138 712;0,00128;
октябрь 2023;152 631;0,00127;
ноябрь 2023;131 031;0,00111;
декабрь 2023;98 687;0,00082;
январь 2024;115 490;0,00095;
февраль 2024;116 503;0,00103;
март 2024;120 781;0,00104;
апрель 2024;123 379;0,00113;
май 2024;124 725;0,00117;
июнь 2024;109 918;0,00117;
июль 2024;120 238;0,00129;
август 2024;114 348;0,00122;
сентябрь 2024;101 728;0,00102;
октябрь 2024;111 906;0,00099;
ноябрь 2024;116 397;0,00100;
декабрь 2024;105 089;0,00087;
январь 2025;117 549;0,00099;
февраль 2025;111 302;0,00097;
март 2025;106 727;0,00089;
апрель 2025;104 790;0,00091;
май 2025;109 732;0,00102;
июнь 2025;119 477;0,00113;
