Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Профили для гипсокартона», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;41 479;0,00053;
февраль 2018;40 296;0,00051;
март 2018;45 763;0,00054;
апрель 2018;39 907;0,00052;
май 2018;39 590;0,00052;
июнь 2018;40 640;0,00058;
июль 2018;43 813;0,00062;
август 2018;45 556;0,00064;
сентябрь 2018;42 960;0,00054;
октябрь 2018;49 960;0,00054;
ноябрь 2018;49 280;0,00057;
декабрь 2018;41 238;0,00048;
январь 2019;46 490;0,00052;
февраль 2019;46 646;0,00055;
март 2019;49 397;0,00056;
апрель 2019;45 876;0,00055;
май 2019;42 705;0,00054;
июнь 2019;42 946;0,00059;
июль 2019;46 675;0,00063;
август 2019;43 604;0,00059;
сентябрь 2019;41 242;0,00052;
октябрь 2019;48 824;0,00055;
ноябрь 2019;47 754;0,00053;
декабрь 2019;46 269;0,00049;
январь 2020;54 194;0,00055;
февраль 2020;52 855;0,00057;
март 2020;53 018;0,00053;
апрель 2020;54 983;0,00046;
май 2020;59 569;0,00055;
июнь 2020;55 497;0,00062;
июль 2020;54 797;0,00065;
август 2020;53 866;0,00064;
сентябрь 2020;51 258;0,00053;
октябрь 2020;57 306;0,00053;
ноябрь 2020;63 434;0,00055;
декабрь 2020;56 002;0,00050;
январь 2021;59 835;0,00057;
февраль 2021;60 872;0,00060;
март 2021;70 380;0,00064;
апрель 2021;71 147;0,00066;
май 2021;64 731;0,00062;
июнь 2021;72 911;0,00073;
июль 2021;76 028;0,00078;
август 2021;81 500;0,00081;
сентябрь 2021;74 177;0,00069;
октябрь 2021;72 912;0,00064;
ноябрь 2021;79 339;0,00068;
декабрь 2021;70 453;0,00059;
январь 2022;77 309;0,00064;
февраль 2022;75 100;0,00063;
март 2022;85 334;0,00066;
апрель 2022;76 510;0,00064;
май 2022;73 193;0,00061;
июнь 2022;67 881;0,00063;
июль 2022;69 401;0,00066;
август 2022;69 934;0,00064;
сентябрь 2022;61 220;0,00052;
октябрь 2022;62 150;0,00050;
ноябрь 2022;67 728;0,00053;
декабрь 2022;60 045;0,00047;
январь 2023;65 639;0,00053;
февраль 2023;68 535;0,00060;
март 2023;77 504;0,00062;
апрель 2023;65 269;0,00056;
май 2023;65 219;0,00057;
июнь 2023;65 558;0,00063;
июль 2023;71 065;0,00070;
август 2023;68 281;0,00067;
сентябрь 2023;64 096;0,00059;
октябрь 2023;76 441;0,00064;
ноябрь 2023;76 685;0,00065;
декабрь 2023;61 663;0,00051;
январь 2024;66 667;0,00055;
февраль 2024;76 379;0,00068;
март 2024;76 133;0,00066;
апрель 2024;69 461;0,00064;
май 2024;69 168;0,00064;
июнь 2024;61 722;0,00066;
июль 2024;66 476;0,00071;
август 2024;65 759;0,00070;
сентябрь 2024;62 307;0,00062;
октябрь 2024;70 693;0,00062;
ноябрь 2024;72 955;0,00062;
декабрь 2024;67 356;0,00056;
январь 2025;76 603;0,00064;
февраль 2025;73 843;0,00064;
март 2025;75 852;0,00063;
апрель 2025;67 481;0,00059;
май 2025;65 187;0,00061;
июнь 2025;73 231;0,00069;
