Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Циркуляционные насосы», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;142 810;0,00183;
февраль 2018;122 735;0,00158;
март 2018;111 206;0,00132;
апрель 2018;82 689;0,00109;
май 2018;77 910;0,00103;
июнь 2018;81 571;0,00117;
июль 2018;84 356;0,00120;
август 2018;107 480;0,00152;
сентябрь 2018;161 036;0,00203;
октябрь 2018;231 037;0,00250;
ноябрь 2018;218 877;0,00257;
декабрь 2018;180 871;0,00211;
январь 2019;150 346;0,00170;
февраль 2019;127 889;0,00152;
март 2019;105 170;0,00119;
апрель 2019;92 574;0,00112;
май 2019;82 229;0,00104;
июнь 2019;82 227;0,00113;
июль 2019;90 467;0,00123;
август 2019;104 196;0,00143;
сентябрь 2019;164 794;0,00209;
октябрь 2019;198 439;0,00224;
ноябрь 2019;215 841;0,00243;
декабрь 2019;174 644;0,00188;
январь 2020;151 825;0,00156;
февраль 2020;133 207;0,00144;
март 2020;106 306;0,00108;
апрель 2020;92 988;0,00077;
май 2020;102 810;0,00095;
июнь 2020;106 520;0,00119;
июль 2020;106 078;0,00125;
август 2020;119 720;0,00142;
сентябрь 2020;181 591;0,00191;
октябрь 2020;233 870;0,00217;
ноябрь 2020;274 563;0,00239;
декабрь 2020;281 308;0,00254;
январь 2021;256 998;0,00246;
февраль 2021;203 270;0,00203;
март 2021;168 402;0,00154;
апрель 2021;135 852;0,00126;
май 2021;120 329;0,00116;
июнь 2021;137 727;0,00138;
июль 2021;142 693;0,00147;
август 2021;164 704;0,00164;
сентябрь 2021;313 074;0,00292;
октябрь 2021;285 534;0,00251;
ноябрь 2021;300 822;0,00259;
декабрь 2021;311 132;0,00262;
январь 2022;239 970;0,00201;
февраль 2022;177 649;0,00150;
март 2022;247 112;0,00193;
апрель 2022;178 729;0,00149;
май 2022;158 982;0,00133;
июнь 2022;155 807;0,00145;
июль 2022;153 155;0,00146;
август 2022;177 812;0,00165;
сентябрь 2022;304 300;0,00260;
октябрь 2022;311 049;0,00251;
ноябрь 2022;369 764;0,00293;
декабрь 2022;343 283;0,00272;
январь 2023;294 156;0,00238;
февраль 2023;210 666;0,00184;
март 2023;184 547;0,00148;
апрель 2023;140 970;0,00122;
май 2023;143 108;0,00126;
июнь 2023;151 341;0,00147;
июль 2023;149 169;0,00147;
август 2023;180 403;0,00179;
сентябрь 2023;243 905;0,00226;
октябрь 2023;389 743;0,00326;
ноябрь 2023;359 761;0,00306;
декабрь 2023;353 553;0,00296;
январь 2024;325 343;0,00269;
февраль 2024;229 736;0,00204;
март 2024;179 962;0,00156;
апрель 2024;144 491;0,00133;
май 2024;149 102;0,00139;
июнь 2024;141 131;0,00151;
июль 2024;151 034;0,00162;
август 2024;169 764;0,00181;
сентябрь 2024;238 208;0,00239;
октябрь 2024;376 281;0,00335;
ноябрь 2024;367 354;0,00315;
декабрь 2024;340 255;0,00283;
январь 2025;255 180;0,00215;
февраль 2025;248 635;0,00217;
март 2025;186 299;0,00155;
апрель 2025;152 609;0,00133;
май 2025;141 103;0,00132;
июнь 2025;155 366;0,00147;
