Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Точилки», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;106 206;0,00136;
февраль 2018;100 834;0,00130;
март 2018;101 057;0,00120;
апрель 2018;75 832;0,00100;
май 2018;69 543;0,00092;
июнь 2018;63 922;0,00092;
июль 2018;69 045;0,00098;
август 2018;89 199;0,00126;
сентябрь 2018;105 421;0,00133;
октябрь 2018;127 350;0,00138;
ноябрь 2018;125 644;0,00147;
декабрь 2018;125 857;0,00147;
январь 2019;139 649;0,00158;
февраль 2019;129 926;0,00154;
март 2019;123 945;0,00141;
апрель 2019;95 732;0,00115;
май 2019;82 825;0,00104;
июнь 2019;72 145;0,00099;
июль 2019;84 620;0,00115;
август 2019;103 290;0,00142;
сентябрь 2019;119 907;0,00152;
октябрь 2019;125 556;0,00141;
ноябрь 2019;141 907;0,00159;
декабрь 2019;151 932;0,00163;
январь 2020;162 301;0,00166;
февраль 2020;146 220;0,00159;
март 2020;121 623;0,00123;
апрель 2020;119 203;0,00099;
май 2020;123 140;0,00114;
июнь 2020;105 074;0,00117;
июль 2020;112 281;0,00133;
август 2020;125 714;0,00149;
сентябрь 2020;151 516;0,00159;
октябрь 2020;158 653;0,00147;
ноябрь 2020;187 418;0,00163;
декабрь 2020;189 416;0,00171;
январь 2021;191 732;0,00183;
февраль 2021;180 499;0,00180;
март 2021;172 494;0,00158;
апрель 2021;142 223;0,00131;
май 2021;119 670;0,00115;
июнь 2021;105 817;0,00106;
июль 2021;117 691;0,00121;
август 2021;155 856;0,00155;
сентябрь 2021;181 914;0,00169;
октябрь 2021;170 988;0,00150;
ноябрь 2021;184 489;0,00159;
декабрь 2021;194 492;0,00164;
январь 2022;211 242;0,00177;
февраль 2022;195 527;0,00165;
март 2022;161 730;0,00126;
апрель 2022;148 014;0,00123;
май 2022;139 614;0,00117;
июнь 2022;123 405;0,00115;
июль 2022;130 357;0,00125;
август 2022;159 437;0,00147;
сентябрь 2022;183 726;0,00157;
октябрь 2022;198 978;0,00160;
ноябрь 2022;200 844;0,00159;
декабрь 2022;198 077;0,00157;
январь 2023;196 105;0,00159;
февраль 2023;183 132;0,00160;
март 2023;208 065;0,00167;
апрель 2023;154 988;0,00134;
май 2023;138 828;0,00122;
июнь 2023;120 405;0,00117;
июль 2023;129 283;0,00128;
август 2023;143 969;0,00143;
сентябрь 2023;167 364;0,00155;
октябрь 2023;181 137;0,00151;
ноябрь 2023;186 321;0,00158;
декабрь 2023;186 664;0,00156;
январь 2024;188 378;0,00156;
февраль 2024;176 795;0,00157;
март 2024;163 181;0,00141;
апрель 2024;147 748;0,00136;
май 2024;132 324;0,00124;
июнь 2024;103 708;0,00111;
июль 2024;111 764;0,00120;
август 2024;135 967;0,00145;
сентябрь 2024;142 553;0,00143;
октябрь 2024;154 425;0,00137;
ноябрь 2024;170 111;0,00146;
декабрь 2024;179 872;0,00149;
январь 2025;184 872;0,00155;
февраль 2025;178 671;0,00156;
март 2025;166 762;0,00139;
апрель 2025;140 737;0,00123;
май 2025;114 924;0,00107;
июнь 2025;113 009;0,00107;
