Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Доборные, притворные планки», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;12 715;0,00016;
февраль 2018;13 906;0,00017;
март 2018;15 961;0,00018;
апрель 2018;16 052;0,00021;
май 2018;17 433;0,00023;
июнь 2018;17 182;0,00024;
июль 2018;20 218;0,00028;
август 2018;21 188;0,00030;
сентябрь 2018;20 001;0,00025;
октябрь 2018;22 223;0,00024;
ноябрь 2018;15 856;0,00018;
декабрь 2018;13 874;0,00016;
январь 2019;12 480;0,00014;
февраль 2019;13 058;0,00015;
март 2019;21 799;0,00024;
апрель 2019;20 242;0,00024;
май 2019;18 802;0,00023;
июнь 2019;19 096;0,00026;
июль 2019;19 704;0,00026;
август 2019;19 542;0,00026;
сентябрь 2019;18 820;0,00023;
октябрь 2019;19 222;0,00021;
ноябрь 2019;16 668;0,00018;
декабрь 2019;16 550;0,00017;
январь 2020;17 979;0,00018;
февраль 2020;17 825;0,00019;
март 2020;17 237;0,00017;
апрель 2020;17 188;0,00014;
май 2020;21 508;0,00020;
июнь 2020;22 621;0,00025;
июль 2020;23 672;0,00028;
август 2020;22 523;0,00026;
сентябрь 2020;22 291;0,00023;
октябрь 2020;23 949;0,00022;
ноябрь 2020;23 024;0,00020;
декабрь 2020;21 640;0,00019;
январь 2021;18 635;0,00017;
февраль 2021;18 327;0,00018;
март 2021;21 648;0,00019;
апрель 2021;19 709;0,00018;
май 2021;19 634;0,00019;
июнь 2021;22 008;0,00022;
июль 2021;22 755;0,00023;
август 2021;23 775;0,00023;
сентябрь 2021;22 281;0,00020;
октябрь 2021;21 451;0,00018;
ноябрь 2021;18 769;0,00016;
декабрь 2021;15 706;0,00013;
январь 2022;14 054;0,00011;
февраль 2022;15 124;0,00012;
март 2022;18 043;0,00014;
апрель 2022;19 734;0,00016;
май 2022;20 400;0,00017;
июнь 2022;21 470;0,00020;
июль 2022;22 450;0,00021;
август 2022;23 912;0,00022;
сентябрь 2022;20 670;0,00017;
октябрь 2022;19 875;0,00016;
ноябрь 2022;18 300;0,00014;
декабрь 2022;14 421;0,00011;
январь 2023;13 706;0,00011;
февраль 2023;14 920;0,00013;
март 2023;18 723;0,00015;
апрель 2023;19 383;0,00016;
май 2023;20 850;0,00018;
июнь 2023;21 068;0,00020;
июль 2023;22 863;0,00022;
август 2023;23 910;0,00023;
сентябрь 2023;23 094;0,00021;
октябрь 2023;23 314;0,00019;
ноябрь 2023;19 569;0,00016;
декабрь 2023;14 391;0,00012;
январь 2024;13 724;0,00011;
февраль 2024;16 440;0,00014;
март 2024;18 966;0,00016;
апрель 2024;20 645;0,00019;
май 2024;21 352;0,00020;
июнь 2024;21 745;0,00023;
июль 2024;24 169;0,00025;
август 2024;22 731;0,00024;
сентябрь 2024;23 403;0,00023;
октябрь 2024;23 376;0,00020;
ноябрь 2024;20 486;0,00017;
декабрь 2024;18 233;0,00015;
январь 2025;16 678;0,00014;
февраль 2025;19 708;0,00017;
март 2025;20 583;0,00017;
апрель 2025;21 993;0,00019;
май 2025;21 305;0,00019;
июнь 2025;24 304;0,00023;
