Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Тостеры», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;109 862;0,00141;
февраль 2018;99 466;0,00128;
март 2018;118 783;0,00141;
апрель 2018;77 758;0,00102;
май 2018;72 270;0,00096;
июнь 2018;70 934;0,00102;
июль 2018;74 187;0,00106;
август 2018;90 693;0,00128;
сентябрь 2018;92 765;0,00117;
октябрь 2018;107 359;0,00116;
ноябрь 2018;116 121;0,00136;
декабрь 2018;151 469;0,00177;
январь 2019;131 982;0,00149;
февраль 2019;128 702;0,00153;
март 2019;119 126;0,00135;
апрель 2019;79 839;0,00096;
май 2019;84 657;0,00107;
июнь 2019;75 167;0,00103;
июль 2019;85 542;0,00116;
август 2019;100 288;0,00137;
сентябрь 2019;107 429;0,00136;
октябрь 2019;115 979;0,00131;
ноябрь 2019;136 864;0,00154;
декабрь 2019;182 678;0,00196;
январь 2020;149 190;0,00153;
февраль 2020;143 021;0,00155;
март 2020;135 700;0,00138;
апрель 2020;132 606;0,00111;
май 2020;147 544;0,00137;
июнь 2020;128 659;0,00144;
июль 2020;127 558;0,00151;
август 2020;138 118;0,00164;
сентябрь 2020;157 074;0,00165;
октябрь 2020;181 726;0,00168;
ноябрь 2020;215 922;0,00188;
декабрь 2020;309 098;0,00279;
январь 2021;249 142;0,00238;
февраль 2021;228 035;0,00228;
март 2021;218 626;0,00200;
апрель 2021;165 452;0,00153;
май 2021;153 000;0,00148;
июнь 2021;157 317;0,00158;
июль 2021;167 709;0,00172;
август 2021;203 651;0,00203;
сентябрь 2021;239 268;0,00223;
октябрь 2021;252 732;0,00222;
ноябрь 2021;280 333;0,00241;
декабрь 2021;304 051;0,00256;
январь 2022;275 842;0,00231;
февраль 2022;246 794;0,00208;
март 2022;253 158;0,00198;
апрель 2022;201 359;0,00168;
май 2022;200 976;0,00168;
июнь 2022;244 038;0,00227;
июль 2022;189 935;0,00182;
август 2022;195 129;0,00181;
сентябрь 2022;210 482;0,00180;
октябрь 2022;210 719;0,00170;
ноябрь 2022;236 353;0,00187;
декабрь 2022;279 913;0,00222;
январь 2023;236 751;0,00192;
февраль 2023;216 374;0,00189;
март 2023;231 435;0,00186;
апрель 2023;170 692;0,00147;
май 2023;148 935;0,00131;
июнь 2023;145 893;0,00142;
июль 2023;141 501;0,00140;
август 2023;156 904;0,00156;
сентябрь 2023;170 654;0,00158;
октябрь 2023;206 927;0,00173;
ноябрь 2023;201 753;0,00171;
декабрь 2023;229 179;0,00191;
январь 2024;217 901;0,00180;
февраль 2024;202 021;0,00179;
март 2024;166 940;0,00144;
апрель 2024;129 349;0,00119;
май 2024;140 627;0,00132;
июнь 2024;107 607;0,00115;
июль 2024;108 541;0,00116;
август 2024;110 111;0,00117;
сентябрь 2024;115 900;0,00116;
октябрь 2024;139 877;0,00124;
ноябрь 2024;169 296;0,00145;
декабрь 2024;196 270;0,00163;
январь 2025;176 403;0,00148;
февраль 2025;157 484;0,00138;
март 2025;148 620;0,00124;
апрель 2025;113 295;0,00099;
май 2025;107 143;0,00100;
июнь 2025;102 759;0,00097;
