Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Кладочные смеси», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;6 712;0,000086;
февраль 2018;7 797;0,000100;
март 2018;10 148;0,000120;
апрель 2018;13 230;0,000174;
май 2018;15 729;0,000209;
июнь 2018;15 737;0,000226;
июль 2018;17 043;0,000243;
август 2018;16 726;0,000236;
сентябрь 2018;13 933;0,000175;
октябрь 2018;15 076;0,000163;
ноябрь 2018;10 195;0,000119;
декабрь 2018;8 293;0,000096;
январь 2019;7 898;0,000089;
февраль 2019;9 774;0,000116;
март 2019;12 642;0,000143;
апрель 2019;16 922;0,000204;
май 2019;18 101;0,000228;
июнь 2019;17 120;0,000236;
июль 2019;18 172;0,000247;
август 2019;16 402;0,000225;
сентябрь 2019;16 546;0,000210;
октябрь 2019;16 138;0,000182;
ноябрь 2019;11 787;0,000132;
декабрь 2019;11 577;0,000124;
январь 2020;11 132;0,000114;
февраль 2020;10 406;0,000113;
март 2020;13 978;0,000142;
апрель 2020;18 293;0,000153;
май 2020;20 731;0,000193;
июнь 2020;21 682;0,000243;
июль 2020;21 654;0,000257;
август 2020;19 944;0,000237;
сентябрь 2020;18 844;0,000198;
октябрь 2020;16 941;0,000157;
ноябрь 2020;13 196;0,000115;
декабрь 2020;10 713;0,000096;
январь 2021;9 364;0,000089;
февраль 2021;10 112;0,000101;
март 2021;14 296;0,000131;
апрель 2021;19 676;0,000182;
май 2021;21 675;0,000210;
июнь 2021;24 508;0,000247;
июль 2021;25 116;0,000258;
август 2021;26 616;0,000265;
сентябрь 2021;22 920;0,000213;
октябрь 2021;18 771;0,000165;
ноябрь 2021;16 025;0,000138;
декабрь 2021;11 639;0,000098;
январь 2022;11 462;0,000096;
февраль 2022;14 209;0,000120;
март 2022;19 363;0,000151;
апрель 2022;23 887;0,000199;
май 2022;28 116;0,000235;
июнь 2022;28 068;0,000261;
июль 2022;27 705;0,000265;
август 2022;27 906;0,000259;
сентябрь 2022;21 198;0,000181;
октябрь 2022;17 202;0,000139;
ноябрь 2022;14 220;0,000112;
декабрь 2022;10 123;0,000080;
январь 2023;10 202;0,000082;
февраль 2023;11 202;0,000098;
март 2023;16 467;0,000132;
апрель 2023;21 691;0,000187;
май 2023;25 688;0,000227;
июнь 2023;27 594;0,000269;
июль 2023;33 105;0,000328;
август 2023;27 024;0,000269;
сентябрь 2023;23 701;0,000220;
октябрь 2023;19 557;0,000163;
ноябрь 2023;14 542;0,000123;
декабрь 2023;10 239;0,000085;
январь 2024;10 306;0,000085;
февраль 2024;12 917;0,000115;
март 2024;16 399;0,000142;
апрель 2024;22 230;0,000204;
май 2024;25 446;0,000238;
июнь 2024;24 848;0,000266;
июль 2024;26 440;0,000284;
август 2024;24 887;0,000266;
сентябрь 2024;22 749;0,000229;
октябрь 2024;20 605;0,000183;
ноябрь 2024;16 594;0,000142;
декабрь 2024;13 646;0,000113;
январь 2025;13 305;0,000112;
февраль 2025;15 209;0,000133;
март 2025;20 233;0,000168;
апрель 2025;23 289;0,000204;
май 2025;25 789;0,000241;
июнь 2025;28 427;0,000269;
