Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Биде», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;85 253;0,00109;
февраль 2018;79 679;0,00102;
март 2018;90 401;0,00107;
апрель 2018;84 053;0,00110;
май 2018;78 751;0,00104;
июнь 2018;84 720;0,00122;
июль 2018;87 344;0,00124;
август 2018;95 383;0,00135;
сентябрь 2018;85 853;0,00108;
октябрь 2018;103 160;0,00111;
ноябрь 2018;93 030;0,00109;
декабрь 2018;88 369;0,00103;
январь 2019;109 918;0,00124;
февраль 2019;107 856;0,00128;
март 2019;107 203;0,00122;
апрель 2019;87 132;0,00105;
май 2019;83 985;0,00106;
июнь 2019;86 290;0,00119;
июль 2019;92 964;0,00126;
август 2019;88 481;0,00121;
сентябрь 2019;87 626;0,00111;
октябрь 2019;96 458;0,00109;
ноябрь 2019;105 527;0,00118;
декабрь 2019;102 457;0,00110;
январь 2020;115 922;0,00119;
февраль 2020;111 158;0,00120;
март 2020;119 948;0,00122;
апрель 2020;96 661;0,00080;
май 2020;108 118;0,00100;
июнь 2020;103 729;0,00116;
июль 2020;108 071;0,00128;
август 2020;110 246;0,00131;
сентябрь 2020;105 916;0,00111;
октябрь 2020;124 337;0,00115;
ноябрь 2020;130 012;0,00113;
декабрь 2020;126 270;0,00114;
январь 2021;135 793;0,00130;
февраль 2021;123 895;0,00123;
март 2021;132 960;0,00122;
апрель 2021;121 027;0,00112;
май 2021;121 047;0,00117;
июнь 2021;126 209;0,00127;
июль 2021;137 251;0,00141;
август 2021;137 989;0,00137;
сентябрь 2021;122 654;0,00114;
октябрь 2021;123 156;0,00108;
ноябрь 2021;136 151;0,00117;
декабрь 2021;126 726;0,00106;
январь 2022;132 155;0,00110;
февраль 2022;121 372;0,00102;
март 2022;139 081;0,00109;
апрель 2022;120 780;0,00101;
май 2022;113 393;0,00095;
июнь 2022;107 754;0,00100;
июль 2022;106 920;0,00102;
август 2022;114 102;0,00105;
сентябрь 2022;103 045;0,00088;
октябрь 2022;109 019;0,00088;
ноябрь 2022;123 699;0,00098;
декабрь 2022;111 919;0,00088;
январь 2023;119 871;0,00097;
февраль 2023;112 359;0,00098;
март 2023;121 201;0,00097;
апрель 2023;107 134;0,00092;
май 2023;109 581;0,00096;
июнь 2023;112 908;0,00110;
июль 2023;115 382;0,00114;
август 2023;113 813;0,00113;
сентябрь 2023;107 426;0,00099;
октябрь 2023;132 321;0,00110;
ноябрь 2023;123 492;0,00105;
декабрь 2023;127 246;0,00106;
январь 2024;132 285;0,00109;
февраль 2024;113 154;0,00100;
март 2024;114 029;0,00098;
апрель 2024;104 918;0,00096;
май 2024;109 235;0,00102;
июнь 2024;105 099;0,00112;
июль 2024;105 009;0,00112;
август 2024;100 158;0,00107;
сентябрь 2024;94 121;0,00094;
октябрь 2024;108 881;0,00096;
ноябрь 2024;118 413;0,00101;
декабрь 2024;113 990;0,00095;
январь 2025;121 170;0,00102;
февраль 2025;112 280;0,00098;
март 2025;114 825;0,00095;
апрель 2025;105 935;0,00092;
май 2025;105 128;0,00098;
июнь 2025;107 147;0,00101;
