Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Кухонные стулья», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;44 959;0,00057;
февраль 2018;42 169;0,00054;
март 2018;42 466;0,00050;
апрель 2018;33 673;0,00044;
май 2018;32 476;0,00043;
июнь 2018;35 117;0,00050;
июль 2018;39 949;0,00057;
август 2018;45 471;0,00064;
сентябрь 2018;43 059;0,00054;
октябрь 2018;51 940;0,00056;
ноябрь 2018;52 445;0,00061;
декабрь 2018;54 491;0,00063;
январь 2019;54 341;0,00061;
февраль 2019;47 430;0,00056;
март 2019;45 959;0,00052;
апрель 2019;37 676;0,00045;
май 2019;36 015;0,00045;
июнь 2019;35 881;0,00049;
июль 2019;43 682;0,00059;
август 2019;46 829;0,00064;
сентябрь 2019;50 919;0,00064;
октябрь 2019;62 972;0,00071;
ноябрь 2019;65 341;0,00073;
декабрь 2019;72 627;0,00078;
январь 2020;70 341;0,00072;
февраль 2020;58 902;0,00064;
март 2020;53 070;0,00054;
апрель 2020;46 301;0,00038;
май 2020;59 050;0,00055;
июнь 2020;59 279;0,00066;
июль 2020;61 065;0,00072;
август 2020;67 398;0,00080;
сентябрь 2020;65 909;0,00069;
октябрь 2020;85 546;0,00079;
ноябрь 2020;97 922;0,00085;
декабрь 2020;93 606;0,00084;
январь 2021;85 285;0,00081;
февраль 2021;71 444;0,00071;
март 2021;73 236;0,00067;
апрель 2021;65 870;0,00061;
май 2021;61 585;0,00059;
июнь 2021;61 533;0,00062;
июль 2021;72 456;0,00074;
август 2021;87 974;0,00087;
сентябрь 2021;89 710;0,00083;
октябрь 2021;85 454;0,00075;
ноябрь 2021;98 297;0,00084;
декабрь 2021;104 292;0,00088;
январь 2022;92 984;0,00077;
февраль 2022;83 524;0,00070;
март 2022;94 924;0,00074;
апрель 2022;75 497;0,00063;
май 2022;64 664;0,00054;
июнь 2022;57 267;0,00053;
июль 2022;65 017;0,00062;
август 2022;72 764;0,00067;
сентябрь 2022;64 288;0,00054;
октябрь 2022;71 395;0,00057;
ноябрь 2022;79 444;0,00062;
декабрь 2022;77 779;0,00061;
январь 2023;76 337;0,00061;
февраль 2023;65 483;0,00057;
март 2023;67 595;0,00054;
апрель 2023;54 319;0,00047;
май 2023;50 068;0,00044;
июнь 2023;50 482;0,00049;
июль 2023;56 489;0,00056;
август 2023;62 591;0,00062;
сентябрь 2023;60 590;0,00056;
октябрь 2023;77 541;0,00065;
ноябрь 2023;77 927;0,00066;
декабрь 2023;72 634;0,00060;
январь 2024;72 248;0,00059;
февраль 2024;64 008;0,00057;
март 2024;57 656;0,00049;
апрель 2024;47 006;0,00043;
май 2024;45 594;0,00042;
июнь 2024;41 072;0,00043;
июль 2024;47 704;0,00051;
август 2024;50 517;0,00054;
сентябрь 2024;47 456;0,00047;
октябрь 2024;56 973;0,00050;
ноябрь 2024;68 610;0,00059;
декабрь 2024;72 101;0,00060;
январь 2025;71 719;0,00060;
февраль 2025;57 770;0,00050;
март 2025;53 962;0,00045;
апрель 2025;43 611;0,00038;
май 2025;37 513;0,00035;
июнь 2025;42 191;0,00039;
