Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Такелаж», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;16 131;0,00020;
февраль 2018;18 065;0,00023;
март 2018;18 457;0,00021;
апрель 2018;16 803;0,00022;
май 2018;15 790;0,00021;
июнь 2018;14 361;0,00020;
июль 2018;14 723;0,00021;
август 2018;16 615;0,00023;
сентябрь 2018;16 130;0,00020;
октябрь 2018;19 407;0,00021;
ноябрь 2018;17 348;0,00020;
декабрь 2018;17 016;0,00019;
январь 2019;19 469;0,00022;
февраль 2019;20 183;0,00024;
март 2019;21 710;0,00024;
апрель 2019;18 753;0,00022;
май 2019;17 443;0,00022;
июнь 2019;15 892;0,00021;
июль 2019;16 232;0,00022;
август 2019;17 523;0,00024;
сентябрь 2019;16 297;0,00020;
октябрь 2019;18 814;0,00021;
ноябрь 2019;17 794;0,00020;
декабрь 2019;16 740;0,00018;
январь 2020;18 250;0,00018;
февраль 2020;18 562;0,00020;
март 2020;17 516;0,00017;
апрель 2020;18 980;0,00015;
май 2020;20 720;0,00019;
июнь 2020;20 510;0,00022;
июль 2020;19 107;0,00022;
август 2020;17 778;0,00021;
сентябрь 2020;18 937;0,00019;
октябрь 2020;21 203;0,00019;
ноябрь 2020;19 960;0,00017;
декабрь 2020;20 024;0,00018;
январь 2021;18 885;0,00018;
февраль 2021;21 981;0,00021;
март 2021;21 710;0,00019;
апрель 2021;21 706;0,00020;
май 2021;19 418;0,00018;
июнь 2021;19 955;0,00020;
июль 2021;19 248;0,00019;
август 2021;20 398;0,00020;
сентябрь 2021;21 132;0,00019;
октябрь 2021;21 617;0,00019;
ноябрь 2021;23 359;0,00020;
декабрь 2021;22 307;0,00018;
январь 2022;22 215;0,00018;
февраль 2022;21 442;0,00018;
март 2022;22 877;0,00017;
апрель 2022;22 987;0,00019;
май 2022;21 415;0,00017;
июнь 2022;22 363;0,00020;
июль 2022;22 406;0,00021;
август 2022;22 673;0,00021;
сентябрь 2022;21 238;0,00018;
октябрь 2022;21 591;0,00017;
ноябрь 2022;22 844;0,00018;
декабрь 2022;21 201;0,00016;
январь 2023;20 144;0,00016;
февраль 2023;20 898;0,00018;
март 2023;24 118;0,00019;
апрель 2023;20 698;0,00017;
май 2023;19 844;0,00017;
июнь 2023;19 604;0,00019;
июль 2023;19 689;0,00019;
август 2023;19 187;0,00019;
сентябрь 2023;17 767;0,00016;
октябрь 2023;24 084;0,00020;
ноябрь 2023;22 463;0,00019;
декабрь 2023;20 010;0,00016;
январь 2024;21 227;0,00017;
февраль 2024;21 460;0,00019;
март 2024;24 283;0,00021;
апрель 2024;23 412;0,00021;
май 2024;22 494;0,00021;
июнь 2024;20 752;0,00022;
июль 2024;20 763;0,00022;
август 2024;20 629;0,00022;
сентябрь 2024;19 664;0,00019;
октябрь 2024;22 708;0,00020;
ноябрь 2024;25 097;0,00021;
декабрь 2024;23 514;0,00019;
январь 2025;23 976;0,00020;
февраль 2025;24 425;0,00021;
март 2025;24 950;0,00020;
апрель 2025;23 771;0,00020;
май 2025;22 334;0,00020;
июнь 2025;23 047;0,00021;
