Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Душевые комплекты», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;3 952;0,000050;
февраль 2018;4 476;0,000057;
март 2018;5 159;0,000061;
апрель 2018;4 380;0,000057;
май 2018;4 277;0,000056;
июнь 2018;4 976;0,000071;
июль 2018;5 143;0,000073;
август 2018;5 412;0,000076;
сентябрь 2018;4 983;0,000062;
октябрь 2018;5 788;0,000062;
ноябрь 2018;6 459;0,000076;
декабрь 2018;5 052;0,000059;
январь 2019;4 999;0,000056;
февраль 2019;5 736;0,000068;
март 2019;6 435;0,000073;
апрель 2019;5 687;0,000068;
май 2019;5 304;0,000067;
июнь 2019;5 703;0,000078;
июль 2019;6 268;0,000085;
август 2019;5 908;0,000081;
сентябрь 2019;5 526;0,000070;
октябрь 2019;5 909;0,000066;
ноябрь 2019;6 080;0,000068;
декабрь 2019;6 252;0,000067;
январь 2020;6 227;0,000064;
февраль 2020;7 097;0,000077;
март 2020;7 903;0,000080;
апрель 2020;6 652;0,000055;
май 2020;7 852;0,000073;
июнь 2020;8 199;0,000091;
июль 2020;8 925;0,000105;
август 2020;8 658;0,000103;
сентябрь 2020;8 617;0,000090;
октябрь 2020;9 399;0,000087;
ноябрь 2020;10 386;0,000090;
декабрь 2020;9 582;0,000086;
январь 2021;9 402;0,000090;
февраль 2021;12 432;0,000124;
март 2021;14 752;0,000135;
апрель 2021;13 389;0,000124;
май 2021;12 576;0,000121;
июнь 2021;14 323;0,000144;
июль 2021;14 938;0,000153;
август 2021;15 671;0,000156;
сентябрь 2021;14 785;0,000138;
октябрь 2021;15 831;0,000139;
ноябрь 2021;18 339;0,000158;
декабрь 2021;15 907;0,000134;
январь 2022;17 563;0,000147;
февраль 2022;18 983;0,000160;
март 2022;25 666;0,000201;
апрель 2022;16 935;0,000141;
май 2022;14 760;0,000123;
июнь 2022;14 249;0,000132;
июль 2022;13 604;0,000130;
август 2022;13 888;0,000128;
сентябрь 2022;12 596;0,000107;
октябрь 2022;12 380;0,000100;
ноябрь 2022;15 012;0,000118;
декабрь 2022;12 917;0,000102;
январь 2023;12 554;0,000101;
февраль 2023;13 290;0,000116;
март 2023;16 784;0,000134;
апрель 2023;13 935;0,000120;
май 2023;14 800;0,000130;
июнь 2023;14 970;0,000146;
июль 2023;16 266;0,000161;
август 2023;16 556;0,000164;
сентябрь 2023;15 118;0,000140;
октябрь 2023;17 956;0,000150;
ноябрь 2023;18 644;0,000158;
декабрь 2023;15 032;0,000125;
январь 2024;16 129;0,000133;
февраль 2024;16 632;0,000148;
март 2024;16 408;0,000142;
апрель 2024;14 209;0,000130;
май 2024;14 634;0,000137;
июнь 2024;13 458;0,000144;
июль 2024;13 988;0,000150;
август 2024;13 243;0,000141;
сентябрь 2024;12 150;0,000122;
октябрь 2024;13 887;0,000123;
ноябрь 2024;15 464;0,000133;
декабрь 2024;14 471;0,000120;
январь 2025;14 007;0,000118;
февраль 2025;14 196;0,000124;
март 2025;14 449;0,000120;
апрель 2025;13 940;0,000122;
май 2025;12 533;0,000117;
июнь 2025;13 956;0,000132;
