Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Водосток пластиковый», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;2 519;0,000032;
февраль 2018;2 710;0,000034;
март 2018;4 197;0,000049;
апрель 2018;7 427;0,000098;
май 2018;10 768;0,000143;
июнь 2018;11 368;0,000163;
июль 2018;12 659;0,000181;
август 2018;11 781;0,000166;
сентябрь 2018;10 165;0,000128;
октябрь 2018;8 302;0,000090;
ноябрь 2018;3 326;0,000039;
декабрь 2018;1 485;0,000017;
январь 2019;1 825;0,000020;
февраль 2019;2 695;0,000032;
март 2019;4 879;0,000055;
апрель 2019;6 438;0,000077;
май 2019;8 632;0,000109;
июнь 2019;8 458;0,000116;
июль 2019;9 713;0,000132;
август 2019;8 772;0,000120;
сентябрь 2019;7 751;0,000098;
октябрь 2019;5 829;0,000065;
ноябрь 2019;3 173;0,000035;
декабрь 2019;2 008;0,000021;
январь 2020;2 380;0,000024;
февраль 2020;2 879;0,000031;
март 2020;4 436;0,000045;
апрель 2020;6 471;0,000054;
май 2020;13 595;0,000126;
июнь 2020;13 969;0,000156;
июль 2020;13 448;0,000159;
август 2020;14 484;0,000172;
сентябрь 2020;9 296;0,000097;
октябрь 2020;7 716;0,000071;
ноябрь 2020;4 424;0,000038;
декабрь 2020;2 281;0,000020;
январь 2021;2 501;0,000023;
февраль 2021;2 812;0,000028;
март 2021;5 214;0,000047;
апрель 2021;9 242;0,000085;
май 2021;13 057;0,000126;
июнь 2021;13 738;0,000138;
июль 2021;14 726;0,000151;
август 2021;17 384;0,000173;
сентябрь 2021;14 344;0,000133;
октябрь 2021;10 138;0,000089;
ноябрь 2021;6 829;0,000058;
декабрь 2021;3 701;0,000031;
январь 2022;2 910;0,000024;
февраль 2022;5 227;0,000044;
март 2022;7 835;0,000061;
апрель 2022;11 701;0,000097;
май 2022;16 218;0,000135;
июнь 2022;16 218;0,000151;
июль 2022;16 588;0,000159;
август 2022;16 101;0,000149;
сентябрь 2022;12 693;0,000108;
октябрь 2022;9 052;0,000073;
ноябрь 2022;5 232;0,000041;
декабрь 2022;2 597;0,000020;
январь 2023;2 007;0,000016;
февраль 2023;2 712;0,000023;
март 2023;6 607;0,000053;
апрель 2023;9 061;0,000078;
май 2023;12 898;0,000114;
июнь 2023;12 725;0,000124;
июль 2023;14 885;0,000147;
август 2023;15 253;0,000151;
сентябрь 2023;14 506;0,000134;
октябрь 2023;12 201;0,000102;
ноябрь 2023;6 424;0,000054;
декабрь 2023;3 003;0,000025;
январь 2024;3 448;0,000028;
февраль 2024;3 916;0,000034;
март 2024;6 986;0,000060;
апрель 2024;11 177;0,000103;
май 2024;12 960;0,000121;
июнь 2024;14 730;0,000157;
июль 2024;14 488;0,000155;
август 2024;15 679;0,000167;
сентябрь 2024;12 440;0,000125;
октябрь 2024;9 257;0,000082;
ноябрь 2024;5 443;0,000046;
декабрь 2024;2 745;0,000022;
январь 2025;3 057;0,000025;
февраль 2025;3 224;0,000028;
март 2025;7 034;0,000058;
апрель 2025;9 617;0,000084;
май 2025;13 008;0,000121;
июнь 2025;14 747;0,000139;
