Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Диспенсеры для жидкого мыла», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;6 533;0,000084;
февраль 2018;7 019;0,000090;
март 2018;7 915;0,000094;
апрель 2018;6 500;0,000085;
май 2018;7 185;0,000095;
июнь 2018;6 570;0,000094;
июль 2018;7 328;0,000104;
август 2018;8 157;0,000115;
сентябрь 2018;6 580;0,000083;
октябрь 2018;9 227;0,000100;
ноябрь 2018;8 892;0,000104;
декабрь 2018;8 043;0,000094;
январь 2019;7 980;0,000090;
февраль 2019;8 310;0,000099;
март 2019;8 092;0,000092;
апрель 2019;6 815;0,000082;
май 2019;5 893;0,000074;
июнь 2019;5 826;0,000080;
июль 2019;6 791;0,000092;
август 2019;7 335;0,000100;
сентябрь 2019;8 039;0,000102;
октябрь 2019;9 036;0,000102;
ноябрь 2019;8 885;0,000100;
декабрь 2019;9 359;0,000100;
январь 2020;9 152;0,000094;
февраль 2020;10 367;0,000112;
март 2020;23 175;0,000235;
апрель 2020;13 121;0,000109;
май 2020;11 622;0,000108;
июнь 2020;11 948;0,000133;
июль 2020;11 806;0,000140;
август 2020;13 211;0,000157;
сентябрь 2020;13 225;0,000139;
октябрь 2020;12 974;0,000120;
ноябрь 2020;13 390;0,000116;
декабрь 2020;12 390;0,000112;
январь 2021;11 425;0,000109;
февраль 2021;12 136;0,000121;
март 2021;12 920;0,000118;
апрель 2021;11 293;0,000104;
май 2021;9 827;0,000095;
июнь 2021;10 890;0,000109;
июль 2021;11 970;0,000123;
август 2021;13 132;0,000130;
сентябрь 2021;13 195;0,000123;
октябрь 2021;14 331;0,000126;
ноябрь 2021;15 383;0,000132;
декабрь 2021;15 319;0,000129;
январь 2022;15 107;0,000126;
февраль 2022;14 753;0,000124;
март 2022;14 545;0,000114;
апрель 2022;13 056;0,000109;
май 2022;11 898;0,000099;
июнь 2022;11 065;0,000103;
июль 2022;11 947;0,000114;
август 2022;14 030;0,000130;
сентябрь 2022;12 195;0,000104;
октябрь 2022;12 917;0,000104;
ноябрь 2022;15 238;0,000120;
декабрь 2022;13 325;0,000105;
январь 2023;13 723;0,000111;
февраль 2023;12 597;0,000110;
март 2023;14 517;0,000116;
апрель 2023;12 303;0,000106;
май 2023;11 761;0,000103;
июнь 2023;11 447;0,000111;
июль 2023;12 341;0,000122;
август 2023;13 615;0,000135;
сентябрь 2023;14 220;0,000132;
октябрь 2023;16 385;0,000137;
ноябрь 2023;17 180;0,000146;
декабрь 2023;15 524;0,000130;
январь 2024;15 877;0,000131;
февраль 2024;15 111;0,000134;
март 2024;14 737;0,000127;
апрель 2024;12 288;0,000113;
май 2024;11 811;0,000110;
июнь 2024;9 886;0,000105;
июль 2024;11 358;0,000122;
август 2024;11 423;0,000122;
сентябрь 2024;11 147;0,000112;
октябрь 2024;12 426;0,000110;
ноябрь 2024;13 209;0,000113;
декабрь 2024;12 861;0,000107;
январь 2025;13 129;0,000110;
февраль 2025;12 830;0,000112;
март 2025;12 661;0,000105;
апрель 2025;10 591;0,000092;
май 2025;9 215;0,000086;
июнь 2025;9 645;0,000091;
