Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Тепловентиляторы», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;92 688;0,00119;
февраль 2018;64 341;0,00083;
март 2018;53 331;0,00063;
апрель 2018;39 155;0,00051;
май 2018;41 407;0,00055;
июнь 2018;41 273;0,00059;
июль 2018;33 252;0,00047;
август 2018;49 558;0,00070;
сентябрь 2018;109 997;0,00138;
октябрь 2018;119 790;0,00129;
ноябрь 2018;120 487;0,00141;
декабрь 2018;106 474;0,00124;
январь 2019;85 064;0,00096;
февраль 2019;61 655;0,00073;
март 2019;42 572;0,00048;
апрель 2019;37 296;0,00045;
май 2019;38 445;0,00048;
июнь 2019;29 445;0,00040;
июль 2019;36 057;0,00049;
август 2019;57 881;0,00079;
сентябрь 2019;145 230;0,00184;
октябрь 2019;102 975;0,00116;
ноябрь 2019;131 673;0,00148;
декабрь 2019;91 447;0,00098;
январь 2020;68 698;0,00070;
февраль 2020;59 647;0,00064;
март 2020;44 491;0,00045;
апрель 2020;42 307;0,00035;
май 2020;76 951;0,00071;
июнь 2020;42 738;0,00047;
июль 2020;39 084;0,00046;
август 2020;57 184;0,00068;
сентябрь 2020;132 202;0,00139;
октябрь 2020;112 112;0,00104;
ноябрь 2020;149 119;0,00130;
декабрь 2020;166 445;0,00150;
январь 2021;140 656;0,00134;
февраль 2021;115 250;0,00115;
март 2021;63 951;0,00058;
апрель 2021;58 848;0,00054;
май 2021;49 877;0,00048;
июнь 2021;52 796;0,00053;
июль 2021;53 114;0,00054;
август 2021;78 139;0,00077;
сентябрь 2021;258 244;0,00241;
октябрь 2021;139 801;0,00122;
ноябрь 2021;154 573;0,00133;
декабрь 2021;193 293;0,00163;
январь 2022;122 713;0,00102;
февраль 2022;74 320;0,00062;
март 2022;84 167;0,00066;
апрель 2022;60 154;0,00050;
май 2022;109 348;0,00091;
июнь 2022;50 262;0,00046;
июль 2022;46 676;0,00044;
август 2022;68 729;0,00063;
сентябрь 2022;214 292;0,00183;
октябрь 2022;125 341;0,00101;
ноябрь 2022;180 595;0,00143;
декабрь 2022;174 180;0,00138;
январь 2023;142 656;0,00115;
февраль 2023;74 589;0,00065;
март 2023;58 210;0,00046;
апрель 2023;49 006;0,00042;
май 2023;76 251;0,00067;
июнь 2023;55 819;0,00054;
июль 2023;44 135;0,00043;
август 2023;75 084;0,00074;
сентябрь 2023;132 106;0,00122;
октябрь 2023;192 248;0,00161;
ноябрь 2023;166 772;0,00142;
декабрь 2023;205 635;0,00172;
январь 2024;177 253;0,00147;
февраль 2024;91 532;0,00081;
март 2024;58 758;0,00050;
апрель 2024;49 918;0,00046;
май 2024;96 236;0,00090;
июнь 2024;48 839;0,00052;
июль 2024;54 570;0,00058;
август 2024;66 378;0,00070;
сентябрь 2024;117 926;0,00118;
октябрь 2024;170 022;0,00151;
ноябрь 2024;157 000;0,00135;
декабрь 2024;147 936;0,00123;
январь 2025;92 554;0,00077;
февраль 2025;92 879;0,00081;
март 2025;57 001;0,00047;
апрель 2025;50 914;0,00044;
май 2025;66 877;0,00062;
июнь 2025;45 344;0,00042;
