Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Гидроизоляционные ленты», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;3 235;0,000041;
февраль 2018;3 772;0,000048;
март 2018;4 324;0,000051;
апрель 2018;4 505;0,000059;
май 2018;4 863;0,000064;
июнь 2018;4 911;0,000070;
июль 2018;6 515;0,000093;
август 2018;6 522;0,000092;
сентябрь 2018;6 640;0,000083;
октябрь 2018;6 234;0,000067;
ноябрь 2018;4 904;0,000057;
декабрь 2018;4 077;0,000047;
январь 2019;3 954;0,000044;
февраль 2019;4 560;0,000054;
март 2019;5 125;0,000058;
апрель 2019;5 560;0,000067;
май 2019;5 580;0,000070;
июнь 2019;5 852;0,000080;
июль 2019;7 618;0,000103;
август 2019;7 267;0,000099;
сентябрь 2019;6 495;0,000082;
октябрь 2019;6 847;0,000077;
ноябрь 2019;6 145;0,000069;
декабрь 2019;5 264;0,000056;
январь 2020;4 943;0,000050;
февраль 2020;5 751;0,000062;
март 2020;5 910;0,000060;
апрель 2020;5 911;0,000049;
май 2020;7 336;0,000068;
июнь 2020;8 201;0,000091;
июль 2020;8 979;0,000106;
август 2020;8 718;0,000103;
сентябрь 2020;8 476;0,000089;
октябрь 2020;8 097;0,000075;
ноябрь 2020;7 366;0,000064;
декабрь 2020;5 996;0,000054;
январь 2021;5 833;0,000055;
февраль 2021;6 500;0,000065;
март 2021;7 968;0,000073;
апрель 2021;8 965;0,000083;
май 2021;9 291;0,000090;
июнь 2021;9 820;0,000098;
июль 2021;10 909;0,000112;
август 2021;12 152;0,000121;
сентябрь 2021;11 456;0,000106;
октябрь 2021;9 901;0,000087;
ноябрь 2021;9 557;0,000082;
декабрь 2021;8 289;0,000069;
январь 2022;8 578;0,000071;
февраль 2022;8 601;0,000072;
март 2022;10 267;0,000080;
апрель 2022;11 709;0,000097;
май 2022;11 809;0,000098;
июнь 2022;12 880;0,000120;
июль 2022;13 860;0,000132;
август 2022;14 735;0,000136;
сентябрь 2022;13 171;0,000112;
октябрь 2022;11 781;0,000095;
ноябрь 2022;10 518;0,000083;
декабрь 2022;8 347;0,000066;
январь 2023;8 280;0,000067;
февраль 2023;8 705;0,000076;
март 2023;11 498;0,000092;
апрель 2023;11 047;0,000095;
май 2023;12 831;0,000113;
июнь 2023;12 399;0,000120;
июль 2023;14 433;0,000143;
август 2023;14 323;0,000142;
сентябрь 2023;13 006;0,000120;
октябрь 2023;13 359;0,000111;
ноябрь 2023;12 017;0,000102;
декабрь 2023;9 226;0,000077;
январь 2024;9 319;0,000077;
февраль 2024;10 592;0,000094;
март 2024;12 070;0,000104;
апрель 2024;12 860;0,000118;
май 2024;14 197;0,000133;
июнь 2024;13 941;0,000149;
июль 2024;15 411;0,000165;
август 2024;15 308;0,000163;
сентябрь 2024;13 199;0,000132;
октябрь 2024;13 728;0,000122;
ноябрь 2024;12 585;0,000108;
декабрь 2024;10 680;0,000089;
январь 2025;11 043;0,000093;
февраль 2025;11 930;0,000104;
март 2025;13 182;0,000109;
апрель 2025;13 803;0,000121;
май 2025;13 517;0,000126;
июнь 2025;15 896;0,000150;
