Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Буры, пики и зубила», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;510 303;0,0065;
февраль 2018;579 739;0,0074;
март 2018;561 664;0,0066;
апрель 2018;497 514;0,0065;
май 2018;528 272;0,0070;
июнь 2018;434 466;0,0062;
июль 2018;453 331;0,0064;
август 2018;453 010;0,0064;
сентябрь 2018;477 854;0,0060;
октябрь 2018;584 028;0,0063;
ноябрь 2018;573 623;0,0067;
декабрь 2018;582 021;0,0068;
январь 2019;600 100;0,0068;
февраль 2019;576 813;0,0068;
март 2019;583 402;0,0066;
апрель 2019;567 440;0,0068;
май 2019;576 952;0,0072;
июнь 2019;466 140;0,0064;
июль 2019;467 733;0,0063;
август 2019;442 860;0,0060;
сентябрь 2019;479 712;0,0060;
октябрь 2019;569 433;0,0064;
ноябрь 2019;589 733;0,0066;
декабрь 2019;638 324;0,0068;
январь 2020;649 942;0,0066;
февраль 2020;673 955;0,0073;
март 2020;685 408;0,0069;
апрель 2020;1 100 865;0,0092;
май 2020;1 009 765;0,0094;
июнь 2020;641 773;0,0071;
июль 2020;560 313;0,0066;
август 2020;587 683;0,0070;
сентябрь 2020;645 702;0,0068;
октябрь 2020;754 153;0,0070;
ноябрь 2020;829 833;0,0072;
декабрь 2020;857 750;0,0077;
январь 2021;734 222;0,0070;
февраль 2021;730 094;0,0073;
март 2021;850 244;0,0078;
апрель 2021;877 991;0,0081;
май 2021;765 658;0,0074;
июнь 2021;650 588;0,0065;
июль 2021;589 165;0,0060;
август 2021;601 113;0,0059;
сентябрь 2021;691 948;0,0064;
октябрь 2021;820 024;0,0072;
ноябрь 2021;819 511;0,0070;
декабрь 2021;888 260;0,0074;
январь 2022;843 773;0,0070;
февраль 2022;911 037;0,0077;
март 2022;869 586;0,0068;
апрель 2022;878 006;0,0073;
май 2022;883 717;0,0074;
июнь 2022;722 615;0,0067;
июль 2022;679 204;0,0065;
август 2022;683 023;0,0063;
сентябрь 2022;742 825;0,0063;
октябрь 2022;917 764;0,0074;
ноябрь 2022;885 588;0,0070;
декабрь 2022;898 341;0,0071;
январь 2023;881 906;0,0071;
февраль 2023;892 021;0,0078;
март 2023;984 485;0,0079;
апрель 2023;955 121;0,0082;
май 2023;918 213;0,0081;
июнь 2023;714 224;0,0069;
июль 2023;673 310;0,0066;
август 2023;668 593;0,0066;
сентябрь 2023;776 857;0,0072;
октябрь 2023;991 930;0,0083;
ноябрь 2023;896 981;0,0076;
декабрь 2023;917 764;0,0076;
январь 2024;906 843;0,0075;
февраль 2024;929 813;0,0082;
март 2024;957 943;0,0083;
апрель 2024;1 057 566;0,0097;
май 2024;995 592;0,0093;
июнь 2024;659 779;0,0070;
июль 2024;656 468;0,0070;
август 2024;704 550;0,0075;
сентябрь 2024;830 354;0,0083;
октябрь 2024;1 076 889;0,0095;
ноябрь 2024;1 038 008;0,0089;
декабрь 2024;1 088 518;0,0090;
январь 2025;960 105;0,0080;
февраль 2025;1 038 442;0,0091;
март 2025;1 080 584;0,0090;
апрель 2025;1 209 651;0,0106;
май 2025;1 080 837;0,0101;
июнь 2025;772 087;0,0073;
