Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Поролон», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;189 733;0,0024;
февраль 2018;186 759;0,0024;
март 2018;206 655;0,0024;
апрель 2018;169 858;0,0022;
май 2018;165 703;0,0022;
июнь 2018;159 618;0,0023;
июль 2018;168 978;0,0024;
август 2018;173 032;0,0024;
сентябрь 2018;183 822;0,0023;
октябрь 2018;230 255;0,0024;
ноябрь 2018;229 515;0,0027;
декабрь 2018;237 099;0,0027;
январь 2019;216 903;0,0024;
февраль 2019;213 354;0,0025;
март 2019;224 072;0,0025;
апрель 2019;195 571;0,0023;
май 2019;180 767;0,0022;
июнь 2019;177 979;0,0024;
июль 2019;193 935;0,0026;
август 2019;188 063;0,0025;
сентябрь 2019;190 019;0,0024;
октябрь 2019;222 886;0,0025;
ноябрь 2019;241 780;0,0027;
декабрь 2019;263 794;0,0028;
январь 2020;258 007;0,0026;
февраль 2020;246 592;0,0026;
март 2020;220 114;0,0022;
апрель 2020;207 609;0,0017;
май 2020;249 021;0,0023;
июнь 2020;248 501;0,0027;
июль 2020;233 619;0,0027;
август 2020;226 505;0,0027;
сентябрь 2020;226 587;0,0023;
октябрь 2020;267 164;0,0024;
ноябрь 2020;306 553;0,0026;
декабрь 2020;296 886;0,0026;
январь 2021;303 943;0,0029;
февраль 2021;251 624;0,0025;
март 2021;271 547;0,0024;
апрель 2021;249 677;0,0023;
май 2021;232 427;0,0022;
июнь 2021;234 142;0,0023;
июль 2021;227 402;0,0023;
август 2021;244 305;0,0024;
сентябрь 2021;252 701;0,0023;
октябрь 2021;268 518;0,0023;
ноябрь 2021;289 783;0,0025;
декабрь 2021;297 427;0,0025;
январь 2022;288 696;0,0024;
февраль 2022;258 184;0,0021;
март 2022;275 953;0,0021;
апрель 2022;277 122;0,0023;
май 2022;270 702;0,0022;
июнь 2022;256 574;0,0023;
июль 2022;254 896;0,0024;
август 2022;260 135;0,0024;
сентябрь 2022;239 071;0,0020;
октябрь 2022;265 651;0,0021;
ноябрь 2022;310 735;0,0024;
декабрь 2022;282 414;0,0022;
январь 2023;279 180;0,0022;
февраль 2023;276 089;0,0024;
март 2023;300 854;0,0024;
апрель 2023;248 086;0,0021;
май 2023;248 372;0,0021;
июнь 2023;234 737;0,0022;
июль 2023;254 144;0,0025;
август 2023;239 565;0,0023;
сентябрь 2023;230 807;0,0021;
октябрь 2023;272 990;0,0022;
ноябрь 2023;294 844;0,0025;
декабрь 2023;267 646;0,0022;
январь 2024;264 590;0,0021;
февраль 2024;261 769;0,0023;
март 2024;264 694;0,0022;
апрель 2024;238 531;0,0021;
май 2024;233 071;0,0021;
июнь 2024;211 064;0,0022;
июль 2024;219 223;0,0023;
август 2024;214 739;0,0022;
сентябрь 2024;214 808;0,0021;
октябрь 2024;258 912;0,0023;
ноябрь 2024;284 748;0,0024;
декабрь 2024;282 038;0,0023;
январь 2025;272 285;0,0022;
февраль 2025;264 316;0,0023;
март 2025;260 714;0,0021;
апрель 2025;231 391;0,0020;
май 2025;219 893;0,0020;
июнь 2025;233 781;0,0022;
