Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Готовые кухни», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;45 505;0,00058;
февраль 2018;42 269;0,00054;
март 2018;46 934;0,00055;
апрель 2018;39 818;0,00052;
май 2018;37 614;0,00050;
июнь 2018;38 564;0,00055;
июль 2018;43 766;0,00062;
август 2018;48 161;0,00068;
сентябрь 2018;45 307;0,00057;
октябрь 2018;56 292;0,00061;
ноябрь 2018;48 384;0,00056;
декабрь 2018;42 177;0,00049;
январь 2019;49 772;0,00056;
февраль 2019;46 633;0,00055;
март 2019;47 379;0,00053;
апрель 2019;40 312;0,00048;
май 2019;35 632;0,00045;
июнь 2019;35 893;0,00049;
июль 2019;40 370;0,00054;
август 2019;40 220;0,00055;
сентябрь 2019;39 428;0,00050;
октябрь 2019;45 840;0,00051;
ноябрь 2019;51 301;0,00057;
декабрь 2019;51 101;0,00055;
январь 2020;58 805;0,00060;
февраль 2020;50 595;0,00055;
март 2020;49 266;0,00050;
апрель 2020;47 342;0,00039;
май 2020;62 494;0,00058;
июнь 2020;58 042;0,00065;
июль 2020;60 629;0,00071;
август 2020;62 162;0,00074;
сентябрь 2020;61 121;0,00064;
октябрь 2020;73 897;0,00068;
ноябрь 2020;83 965;0,00073;
декабрь 2020;74 137;0,00067;
январь 2021;74 838;0,00071;
февраль 2021;65 158;0,00065;
март 2021;73 728;0,00067;
апрель 2021;66 603;0,00061;
май 2021;66 631;0,00064;
июнь 2021;61 802;0,00062;
июль 2021;68 789;0,00070;
август 2021;75 727;0,00075;
сентябрь 2021;71 758;0,00066;
октябрь 2021;74 361;0,00065;
ноябрь 2021;87 111;0,00075;
декабрь 2021;86 407;0,00072;
январь 2022;89 062;0,00074;
февраль 2022;94 436;0,00079;
март 2022;88 977;0,00069;
апрель 2022;72 228;0,00060;
май 2022;62 524;0,00052;
июнь 2022;55 362;0,00051;
июль 2022;63 615;0,00061;
август 2022;75 642;0,00070;
сентябрь 2022;72 792;0,00062;
октябрь 2022;50 215;0,00040;
ноябрь 2022;54 909;0,00043;
декабрь 2022;48 006;0,00038;
январь 2023;52 663;0,00042;
февраль 2023;49 104;0,00043;
март 2023;55 493;0,00044;
апрель 2023;46 277;0,00040;
май 2023;46 018;0,00040;
июнь 2023;46 077;0,00044;
июль 2023;49 628;0,00049;
август 2023;53 341;0,00053;
сентябрь 2023;52 363;0,00048;
октябрь 2023;61 345;0,00051;
ноябрь 2023;59 171;0,00050;
декабрь 2023;49 019;0,00041;
январь 2024;56 091;0,00046;
февраль 2024;52 311;0,00046;
март 2024;49 380;0,00042;
апрель 2024;43 845;0,00040;
май 2024;42 244;0,00039;
июнь 2024;38 522;0,00041;
июль 2024;42 433;0,00045;
август 2024;46 524;0,00049;
сентябрь 2024;38 030;0,00038;
октябрь 2024;45 807;0,00040;
ноябрь 2024;50 331;0,00043;
декабрь 2024;45 892;0,00038;
январь 2025;59 966;0,00050;
февраль 2025;52 178;0,00045;
март 2025;45 344;0,00037;
апрель 2025;38 648;0,00033;
май 2025;35 967;0,00033;
июнь 2025;40 889;0,00038;
