Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Маркеры и карандаши», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;326;0,0000041;
февраль 2018;347;0,0000044;
март 2018;372;0,0000044;
апрель 2018;331;0,0000043;
май 2018;274;0,0000036;
июнь 2018;272;0,0000039;
июль 2018;253;0,0000036;
август 2018;199;0,0000028;
сентябрь 2018;309;0,0000038;
октябрь 2018;387;0,0000041;
ноябрь 2018;389;0,0000045;
декабрь 2018;455;0,0000053;
январь 2019;462;0,0000052;
февраль 2019;535;0,0000063;
март 2019;428;0,0000048;
апрель 2019;505;0,0000061;
май 2019;353;0,0000044;
июнь 2019;238;0,0000032;
июль 2019;255;0,0000034;
август 2019;318;0,0000043;
сентябрь 2019;321;0,0000040;
октябрь 2019;551;0,0000062;
ноябрь 2019;469;0,0000052;
декабрь 2019;667;0,0000071;
январь 2020;707;0,0000072;
февраль 2020;703;0,0000076;
март 2020;726;0,0000073;
апрель 2020;1 028;0,0000086;
май 2020;1 235;0,0000115;
июнь 2020;677;0,0000075;
июль 2020;649;0,0000077;
август 2020;569;0,0000067;
сентябрь 2020;701;0,0000073;
октябрь 2020;1 172;0,0000108;
ноябрь 2020;1 432;0,0000124;
декабрь 2020;1 183;0,0000107;
январь 2021;1 294;0,0000123;
февраль 2021;1 281;0,0000128;
март 2021;1 288;0,0000118;
апрель 2021;1 206;0,0000111;
май 2021;1 061;0,0000102;
июнь 2021;970;0,0000097;
июль 2021;1 023;0,0000105;
август 2021;1 051;0,0000104;
сентябрь 2021;1 218;0,0000113;
октябрь 2021;1 535;0,0000134;
ноябрь 2021;1 388;0,0000119;
декабрь 2021;1 762;0,0000148;
январь 2022;2 195;0,0000184;
февраль 2022;2 044;0,0000173;
март 2022;1 947;0,0000152;
апрель 2022;1 507;0,0000126;
май 2022;1 539;0,0000128;
июнь 2022;1 083;0,0000101;
июль 2022;1 079;0,0000103;
август 2022;1 241;0,0000115;
сентябрь 2022;1 220;0,0000104;
октябрь 2022;2 126;0,0000171;
ноябрь 2022;2 100;0,0000166;
декабрь 2022;1 995;0,0000158;
январь 2023;2 251;0,0000182;
февраль 2023;1 912;0,0000167;
март 2023;1 944;0,0000156;
апрель 2023;1 636;0,0000141;
май 2023;1 459;0,0000128;
июнь 2023;1 679;0,0000163;
июль 2023;1 373;0,0000136;
август 2023;1 363;0,0000135;
сентябрь 2023;1 378;0,0000128;
октябрь 2023;1 793;0,0000150;
ноябрь 2023;1 807;0,0000153;
декабрь 2023;1 835;0,0000153;
январь 2024;1 539;0,0000127;
февраль 2024;1 660;0,0000147;
март 2024;1 895;0,0000164;
апрель 2024;1 947;0,0000179;
май 2024;1 584;0,0000148;
июнь 2024;1 172;0,0000125;
июль 2024;1 014;0,0000108;
август 2024;965;0,0000103;
сентябрь 2024;1 300;0,0000130;
октябрь 2024;3 761;0,0000335;
ноябрь 2024;2 857;0,0000245;
декабрь 2024;1 650;0,0000137;
январь 2025;1 663;0,0000140;
февраль 2025;1 617;0,0000141;
март 2025;1 627;0,0000135;
апрель 2025;1 907;0,0000167;
май 2025;1 331;0,0000124;
июнь 2025;1 243;0,0000117;
