Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Компрессоры», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;1 089 595;0,014;
февраль 2018;1 168 462;0,015;
март 2018;1 320 446;0,015;
апрель 2018;1 369 003;0,018;
май 2018;1 593 633;0,021;
июнь 2018;1 568 592;0,022;
июль 2018;1 693 625;0,024;
август 2018;1 570 620;0,022;
сентябрь 2018;1 326 438;0,016;
октябрь 2018;1 758 758;0,019;
ноябрь 2018;1 426 041;0,016;
декабрь 2018;1 202 781;0,014;
январь 2019;1 249 014;0,014;
февраль 2019;1 317 611;0,015;
март 2019;1 504 318;0,017;
апрель 2019;1 628 746;0,019;
май 2019;1 623 155;0,020;
июнь 2019;1 729 273;0,023;
июль 2019;1 550 893;0,021;
август 2019;1 405 767;0,019;
сентябрь 2019;1 355 269;0,017;
октябрь 2019;1 493 192;0,016;
ноябрь 2019;1 404 003;0,015;
декабрь 2019;1 415 278;0,015;
январь 2020;1 547 986;0,015;
февраль 2020;1 507 972;0,016;
март 2020;1 577 283;0,016;
апрель 2020;1 544 898;0,012;
май 2020;1 887 591;0,017;
июнь 2020;2 196 959;0,024;
июль 2020;2 069 877;0,024;
август 2020;1 697 546;0,020;
сентябрь 2020;1 630 375;0,017;
октябрь 2020;1 710 283;0,015;
ноябрь 2020;1 684 399;0,014;
декабрь 2020;1 613 063;0,014;
январь 2021;1 532 228;0,014;
февраль 2021;1 606 426;0,016;
март 2021;1 881 612;0,017;
апрель 2021;2 022 887;0,018;
май 2021;2 107 956;0,020;
июнь 2021;2 425 165;0,024;
июль 2021;2 413 419;0,024;
август 2021;2 073 164;0,020;
сентябрь 2021;1 805 953;0,016;
октябрь 2021;1 781 387;0,015;
ноябрь 2021;1 815 293;0,015;
декабрь 2021;1 727 972;0,014;
январь 2022;1 687 554;0,014;
февраль 2022;1 710 062;0,014;
март 2022;2 018 730;0,015;
апрель 2022;2 149 017;0,017;
май 2022;2 207 780;0,018;
июнь 2022;2 531 016;0,023;
июль 2022;2 391 354;0,022;
август 2022;2 254 017;0,020;
сентябрь 2022;1 733 722;0,014;
октябрь 2022;1 767 393;0,014;
ноябрь 2022;1 868 839;0,014;
декабрь 2022;1 652 181;0,013;
январь 2023;1 671 696;0,013;
февраль 2023;1 684 147;0,014;
март 2023;2 043 357;0,016;
апрель 2023;2 108 974;0,018;
май 2023;2 279 679;0,020;
июнь 2023;2 309 281;0,022;
июль 2023;2 286 802;0,022;
август 2023;2 211 485;0,022;
сентябрь 2023;1 814 269;0,016;
октябрь 2023;2 018 284;0,016;
ноябрь 2023;1 888 653;0,016;
декабрь 2023;1 661 354;0,013;
январь 2024;1 732 892;0,014;
февраль 2024;1 822 426;0,016;
март 2024;1 960 783;0,017;
апрель 2024;2 253 228;0,020;
май 2024;2 290 034;0,021;
июнь 2024;2 557 717;0,027;
июль 2024;2 660 144;0,028;
август 2024;1 937 897;0,020;
сентябрь 2024;1 756 732;0,017;
октябрь 2024;1 922 618;0,017;
ноябрь 2024;1 889 985;0,016;
декабрь 2024;1 774 129;0,014;
январь 2025;1 746 275;0,014;
февраль 2025;1 835 148;0,016;
март 2025;2 051 692;0,017;
апрель 2025;2 190 282;0,019;
май 2025;2 180 060;0,020;
июнь 2025;2 553 219;0,024;
