Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Фены настенные», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;2 962;0,000038;
февраль 2018;3 108;0,000040;
март 2018;3 203;0,000038;
апрель 2018;2 620;0,000034;
май 2018;2 420;0,000032;
июнь 2018;2 582;0,000037;
июль 2018;2 811;0,000040;
август 2018;3 168;0,000044;
сентябрь 2018;3 161;0,000039;
октябрь 2018;4 110;0,000044;
ноябрь 2018;3 879;0,000045;
декабрь 2018;2 849;0,000033;
январь 2019;3 049;0,000034;
февраль 2019;3 365;0,000040;
март 2019;3 387;0,000038;
апрель 2019;3 171;0,000038;
май 2019;2 389;0,000030;
июнь 2019;2 257;0,000031;
июль 2019;2 579;0,000035;
август 2019;2 571;0,000035;
сентябрь 2019;2 941;0,000037;
октябрь 2019;3 467;0,000039;
ноябрь 2019;3 542;0,000039;
декабрь 2019;2 937;0,000031;
январь 2020;3 407;0,000035;
февраль 2020;3 515;0,000038;
март 2020;3 422;0,000034;
апрель 2020;1 853;0,000015;
май 2020;2 221;0,000020;
июнь 2020;2 160;0,000024;
июль 2020;2 685;0,000031;
август 2020;2 666;0,000031;
сентябрь 2020;2 986;0,000031;
октябрь 2020;3 294;0,000030;
ноябрь 2020;3 532;0,000030;
декабрь 2020;3 240;0,000029;
январь 2021;3 286;0,000031;
февраль 2021;3 759;0,000037;
март 2021;4 335;0,000039;
апрель 2021;4 110;0,000038;
май 2021;3 417;0,000033;
июнь 2021;3 203;0,000032;
июль 2021;3 066;0,000031;
август 2021;3 594;0,000035;
сентябрь 2021;4 190;0,000039;
октябрь 2021;4 036;0,000035;
ноябрь 2021;4 339;0,000037;
декабрь 2021;4 003;0,000033;
январь 2022;4 127;0,000034;
февраль 2022;4 505;0,000038;
март 2022;4 653;0,000036;
апрель 2022;5 113;0,000042;
май 2022;4 882;0,000040;
июнь 2022;4 329;0,000040;
июль 2022;4 514;0,000043;
август 2022;4 610;0,000042;
сентябрь 2022;4 002;0,000034;
октябрь 2022;4 347;0,000035;
ноябрь 2022;5 158;0,000040;
декабрь 2022;3 993;0,000031;
январь 2023;4 054;0,000032;
февраль 2023;4 092;0,000035;
март 2023;4 592;0,000036;
апрель 2023;3 943;0,000034;
май 2023;3 909;0,000034;
июнь 2023;3 783;0,000036;
июль 2023;3 704;0,000036;
август 2023;4 232;0,000042;
сентябрь 2023;4 666;0,000043;
октябрь 2023;5 924;0,000049;
ноябрь 2023;5 141;0,000043;
декабрь 2023;4 049;0,000033;
январь 2024;4 205;0,000034;
февраль 2024;4 724;0,000042;
март 2024;4 526;0,000039;
апрель 2024;3 922;0,000036;
май 2024;4 178;0,000039;
июнь 2024;3 384;0,000036;
июль 2024;3 904;0,000041;
август 2024;3 608;0,000038;
сентябрь 2024;3 507;0,000035;
октябрь 2024;4 419;0,000039;
ноябрь 2024;4 753;0,000040;
декабрь 2024;3 991;0,000033;
январь 2025;3 967;0,000033;
февраль 2025;4 545;0,000039;
март 2025;4 071;0,000033;
апрель 2025;3 593;0,000031;
май 2025;3 107;0,000029;
июнь 2025;3 414;0,000032;
