Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Малярные скребки», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;143;0,0000018;
февраль 2018;124;0,0000015;
март 2018;164;0,0000019;
апрель 2018;177;0,0000023;
май 2018;130;0,0000017;
июнь 2018;130;0,0000018;
июль 2018;117;0,0000016;
август 2018;119;0,0000016;
сентябрь 2018;97;0,0000012;
октябрь 2018;117;0,0000012;
ноябрь 2018;113;0,0000013;
декабрь 2018;117;0,0000013;
январь 2019;196;0,0000022;
февраль 2019;199;0,0000023;
март 2019;161;0,0000018;
апрель 2019;146;0,0000017;
май 2019;126;0,0000015;
июнь 2019;131;0,0000018;
июль 2019;114;0,0000015;
август 2019;124;0,0000017;
сентябрь 2019;107;0,0000013;
октябрь 2019;134;0,0000015;
ноябрь 2019;178;0,0000020;
декабрь 2019;116;0,0000012;
январь 2020;144;0,0000014;
февраль 2020;162;0,0000017;
март 2020;142;0,0000014;
апрель 2020;181;0,0000015;
май 2020;185;0,0000017;
июнь 2020;139;0,0000015;
июль 2020;144;0,0000017;
август 2020;136;0,0000016;
сентябрь 2020;187;0,0000019;
октябрь 2020;194;0,0000018;
ноябрь 2020;187;0,0000016;
декабрь 2020;207;0,0000018;
январь 2021;244;0,0000023;
февраль 2021;249;0,0000024;
март 2021;231;0,0000021;
апрель 2021;261;0,0000024;
май 2021;221;0,0000021;
июнь 2021;255;0,0000025;
июль 2021;232;0,0000023;
август 2021;271;0,0000027;
сентябрь 2021;267;0,0000024;
октябрь 2021;240;0,0000021;
ноябрь 2021;221;0,0000019;
декабрь 2021;236;0,0000019;
январь 2022;321;0,0000026;
февраль 2022;288;0,0000024;
март 2022;290;0,0000022;
апрель 2022;233;0,0000019;
май 2022;265;0,0000022;
июнь 2022;223;0,0000020;
июль 2022;255;0,0000024;
август 2022;231;0,0000021;
сентябрь 2022;181;0,0000015;
октябрь 2022;274;0,0000022;
ноябрь 2022;276;0,0000021;
декабрь 2022;195;0,0000015;
январь 2023;291;0,0000023;
февраль 2023;204;0,0000017;
март 2023;224;0,0000018;
апрель 2023;199;0,0000017;
май 2023;229;0,0000020;
июнь 2023;224;0,0000021;
июль 2023;251;0,0000024;
август 2023;264;0,0000026;
сентябрь 2023;255;0,0000023;
октябрь 2023;280;0,0000023;
ноябрь 2023;305;0,0000025;
декабрь 2023;213;0,0000017;
январь 2024;242;0,0000020;
февраль 2024;287;0,0000025;
март 2024;257;0,0000022;
апрель 2024;237;0,0000021;
май 2024;194;0,0000018;
июнь 2024;241;0,0000025;
июль 2024;244;0,0000026;
август 2024;206;0,0000022;
сентябрь 2024;226;0,0000022;
октябрь 2024;354;0,0000031;
ноябрь 2024;261;0,0000022;
декабрь 2024;270;0,0000022;
январь 2025;214;0,0000018;
февраль 2025;259;0,0000022;
март 2025;255;0,0000021;
апрель 2025;320;0,0000028;
май 2025;344;0,0000032;
июнь 2025;271;0,0000025;
